gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,8683.54,21315.6
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,1110.4,11244.7
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,59.8092,874.543
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,196.711,717.83
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,87.9387,1658.21
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,602.728,1550.3
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,8317.77,28121.9
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,207.39,1150.61
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,289.862,1060.77
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,96.3799,1113.22
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,5091.09,17909.5
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,1330.66,11903.2
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,294.474,1274.31
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,751.8,577.945
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,693.748,1492.37
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,82.8309,1005.39
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,1687.28,7778.71
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,643.136,1446.08
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,45.0793,161368
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,191.823,7357.4
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,282.227,1673.79
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,811.278,6961.8
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,502.922,2879.42
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,279.859,1327.21
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,85.3851,1496.65
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,77.5861,1546.34
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,97.286,1144.35
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,322.647,1968.79
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,56.9642,2805.8
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,281.539,1094.97
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1143.81,1225.22
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,4803.87,1239.85
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,2713.35,9796.03
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1800.38,4772.88
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,781.992,1232.81
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,651.667,1115.6
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1367.96,1030.35
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,620.799,1668.77
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,2154.09,2069.36
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,877.903,1181.64
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,762.906,905.366
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,615.954,3024.82
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,619.746,1524.36
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1576.11,942.528
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1276.18,1692.53
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,17369.6,25045.7
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,3373.62,6137.49
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,9284.82,4521.85
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,10179.4,7258.12
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,6955.04,9159.62
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,5984.78,12894.5
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2727.73,10127.5
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,4627.02,8313.36
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,5071.03,13535.6
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,7250.87,12315.8
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4307.57,11565.3
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3050,10734
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,6422.11,10622.4
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4684.2,10714.5
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4039.18,11038.7
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1986.15,9686.47
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,420.245,23770.2
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,6821.2,9015.94
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1487.24,8701.64
