gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,676.8060546874999,1139.6050781249999
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,205.02586263020834,1383.0890625
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,219.39215494791665,1166.0890625
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,546.6411458333333,1294.2098958333333
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,263.35655924479164,1244.3205729166666
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,1119.4895833333333,1378.7886718749999
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,1216.900390625,1282.017578125
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,243.397802734375,1273.5828125
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,1046.1481770833334,1253.47734375
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,782.4438151041667,1319.719140625
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,190.36542968749998,1531.2813802083333
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,141.10491536458335,1371.4510416666667
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,355.4673828125,1276.5947916666667
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,1316.5180989583332,1317.6625
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,559.5615885416667,1357.352734375
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,667.7625,1805.2296875
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,403.1554036458333,1674.6513020833333
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,671.9587239583333,1513.034765625
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,1410.7384114583333,1517.2170572916666
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,614.0457682291667,1461.5394531250001
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,458.4349609375,1827.9268229166667
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,535.4056315104167,1828.1221354166664
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,26.21988525390625,1820.6018229166666
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,138.19552408854165,1715.5093749999999
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,237.28559570312498,1548.5501302083333
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,279.8265950520833,1983.5816406249999
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,227.52400716145834,1774.9449218749999
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,663.71640625,1770.2774739583333
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,13.188126627604166,1663.794140625
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,414.6348958333333,1488.0430989583333
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,9804.797916666666,10010.237500000001
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,10266.083333333334,10251.65
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,11751.392708333333,10043.455208333333
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,10382.684374999999,10316.845833333333
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,4365.665885416667,10743.61875
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,8661.167708333332,10644.36875
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,6195.394791666667,10863.982291666667
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,2424.664583333333,14678.116666666667
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,3215.15859375,12722.790625
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,5875.296354166666,11220.634375
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,6089.277083333333,11206.188541666666
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,6935.894791666667,12257.369791666666
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,3628.84140625,12138.808333333332
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,2144.46484375,14555.758333333333
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,5663.384375,11733.077083333334
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,18679.118749999998,16150.363541666668
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,15877.214583333334,15567.427083333334
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,12997.81875,13159.771875
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,12480.575,12611.267708333333
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,11438.872916666667,11612.707291666666
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,12266.516666666668,14797.688541666665
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,13752.546874999998,14480.645833333334
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,13879.523958333333,13981.345833333333
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,12126.777083333334,13648.704166666666
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,15481.253125000001,15384.952083333334
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,12259.842708333334,13509.428125
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,10760.768750000001,14459.961458333333
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,7445.200520833333,15861.99375
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,3997.57890625,18554.204166666666
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,7637.0625,17426.1125
