gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nch,Nhh,Th,lnLh,AICh
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0,9936.726704,787.633698,10428.53012,-1785273.458,3570552.915
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0t120,9949.511687,804.5543239,10361.02731,-2733420.603,5466847.206
g1,n10e4,constant,constant,n500,n20,wgs,bot,all,9856.093282,10.00007551,12089.54589,-4417971.899,8835949.798
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0,10053.08901,1085.134185,9801.24876,-1793424.233,3586854.465
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0t120,10067.04922,1091.428381,9794.61368,-2739605.93,5479217.86
g1,n10e4,constant,constant,n500,n20,wgs,bot,all,9831.310958,10.00618246,12180.7703,-4436535.842,8873077.684
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0,9983.49722,769.7686394,10511.40863,-1792249.131,3584504.263
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0t120,10004.68392,894.7722377,10243.13782,-2729996.831,5459999.662
g1,n10e4,constant,constant,n500,n20,wgs,bot,all,9807.490309,10.00004334,12148.74123,-4419975.711,8839957.423
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0,9977.117967,958.3296405,10072.81776,-1787923.92,3575853.839
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0t120,9989.387447,963.4389196,10043.81632,-2730137.198,5460280.395
g1,n10e4,constant,constant,n500,n20,wgs,bot,all,9816.396476,10.49300788,12114.46583,-4426154.362,8852314.723
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0,10028.81184,928.0120005,10119.56286,-1790203.124,3580412.248
g1,n10e4,constant,constant,n500,n20,wgs,bot,t0t120,10035.76125,960.8178656,10020.53942,-2730008.204,5460022.409
g1,n10e4,constant,constant,n500,n20,wgs,bot,all,10063.4471,1065.391957,9777.613171,-4423782.433,8847570.867
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0,10319.75537,984.7074645,9873.672434,-11178.93336,22363.86673
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0t120,10485.96423,872.5932409,10268.77527,-16841.50606,33689.01213
g1,n10e4,constant,constant,n500,n200,rad10k,bot,all,9881.649587,615.7536476,10306.03071,-27797.65645,55601.3129
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0,10290.16847,1157.665798,10106.92916,-11348.49905,22702.99809
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0t120,10332.13122,62.39376138,12719.59539,-17130.86388,34267.72776
g1,n10e4,constant,constant,n500,n200,rad10k,bot,all,10504.69626,1106.313556,10316.99224,-28335.70081,56677.40161
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0,10221.46628,10.48189839,12049.21243,-11101.78674,22209.57349
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0t120,10429.2499,10,12250.12913,-16826.02495,33658.04989
g1,n10e4,constant,constant,n500,n200,rad10k,bot,all,10229.81791,10,12010.79719,-27846.26968,55698.53936
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0,9708.159873,772.1762303,10537.71655,-10809.30434,21624.60868
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0t120,9796.05108,124.4672292,12153.49778,-16376.86499,32759.72997
g1,n10e4,constant,constant,n500,n200,rad10k,bot,all,9803.913672,456.5590819,11403.49893,-27061.2415,54128.483
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0,9899.108544,552.1129888,11262.72416,-11016.07868,22038.15736
g1,n10e4,constant,constant,n500,n200,rad10k,bot,t0t120,9679.256828,197.353286,11874.56355,-16781.29457,33568.58914
g1,n10e4,constant,constant,n500,n200,rad10k,bot,all,10022.91537,10,12490.92124,-27683.63847,55373.27694
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0,10229.21235,1321.737637,9245.793929,-55454.93683,110915.8737
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0t120,10391.48443,1432.606285,9113.035209,-84103.90819,168213.8164
g1,n10e4,constant,constant,n500,n200,rad50k,bot,all,10199.67026,1251.394992,9411.584304,-138653.0089,277312.0178
