gentime,NeAnc,td,lambda,sampn,data,Model,scheme,Neh,Nec,lnL,AIC_cons,Neh_change,Nec_change,T,lnL_change,AIC_change,delta
g3,n10e3,td190,l95,n200,rad10k,Constant,all,639.0576999,639.0576999,-5893.072663,11788.14533,574.8295074,597.3469206,10.03645929,-5891.538067,11789.07613,-0.9308
g3,n10e3,td190,l95,n200,rad10k,Constant,all,507.741006,507.741006,-4583.975256,9169.950512,418.6947154,451.4876367,10.00000004,-4578.074626,9162.149253,7.801259
g3,n10e3,td190,l95,n200,rad50k,Constant,all,572.2722581,572.2722581,-26464.63978,52931.27957,499.328726,525.737501,10.01100265,-26449.62399,52905.24798,26.03159
g3,n10e3,td190,l95,n200,rad50k,Constant,all,571.4570662,571.4570662,-26393.45541,52788.91083,488.6715355,519.1571561,10.00000247,-26373.16653,52752.33307,36.57776
g3,n10e3,td190,l95,n200,rad50k,Constant,all,527.8726542,527.8726542,-26033.21021,52068.42042,466.5563489,488.2976753,10.00267277,-26021.07827,52048.15653,20.26389
g3,n10e3,td190,l95,n200,rad50k,Constant,all,603.6114453,603.6114453,-26423.23326,52848.46652,509.1730419,543.3362813,10.00224598,-26400.6298,52807.2596,41.20692
g3,n10e3,td190,l95,n200,rad50k,Constant,all,543.1907501,543.1907501,-26816.60227,53635.20454,494.1128689,510.9530278,10.09542483,-26810.34862,53626.69724,8.5073
g3,n10e3,td190,l95,n20,wgs,Constant,all,993.6066908,993.6066908,-925340.512,1850683.024,994.4659095,954.2494266,63.62196611,-925339.8433,1850685.687,-2.663
g3,n10e3,td190,l95,n20,wgs,Constant,all,998.1770833,998.1770833,-917164.6276,1834331.255,988.5182256,1792.857702,62.68849857,-917078.5416,1834163.083,168.172
g3,n10e3,td190,l95,n20,wgs,Constant,all,1002.262875,1002.262875,-913488.9229,1826979.846,993.7474417,1620.015063,62.82814107,-913428.0896,1826862.179,117.667
g3,n10e3,td190,l95,n20,wgs,Constant,all,998.6268526,998.6268526,-920293.8452,1840589.69,990.6568967,1565.623341,62.78784952,-920241.0147,1840488.029,101.661
g3,n10e3,td190,l95,n20,wgs,Constant,all,963.4344676,963.4344676,-915157.8029,1830317.606,968.6971301,691.9050298,119.3687351,-915138.2357,1830282.471,35.135
g3,n10e3,td190,l95,n50,rad10k,Constant,all,597.0439271,597.0439271,-2487.089603,4976.179205,486.7733833,1340.051819,66.25167425,-2482.563083,4971.126167,5.053038
g3,n10e3,td190,l95,n50,rad10k,Constant,all,1094.351345,1094.351345,-3200.492723,6402.985446,1112.247005,5020.284258,10.05037022,-3196.128637,6398.257274,4.728172
g3,n10e3,td190,l95,n50,rad10k,Constant,all,877.299666,877.299666,-2926.973521,5855.947042,931.7669685,478.0662419,119.9787984,-2926.012814,5858.025628,-2.078586
g3,n10e3,td190,l95,n50,rad10k,Constant,all,732.5230533,732.5230533,-2663.560354,5329.120708,777.1636615,478.1011843,119.9681178,-2662.927086,5331.854171,-2.733463
g3,n10e3,td190,l95,n50,rad10k,Constant,all,967.6682161,967.6682161,-3164.556873,6331.113746,1002.054433,644.6390378,119.9969758,-3164.142975,6334.285951,-3.172205
g3,n10e3,td190,l95,n50,rad50k,Constant,all,751.4968558,751.4968558,-14430.59325,28863.18651,739.8770623,763.9228752,22.32818746,-14430.39327,28866.78654,-3.60003
g3,n10e3,td190,l95,n50,rad50k,Constant,all,870.1213379,870.1213379,-14654.85947,29311.71895,836.1245514,888.2560514,10.00494594,-14652.55883,29311.11766,0.60129
g3,n10e3,td190,l95,n50,rad50k,Constant,all,779.9578999,779.9578999,-14215.50583,28433.01165,749.5773307,784.6069434,10.00160418,-14214.0018,28434.00359,-0.99194
