gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,8911.152083,8925.396875
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,11989.65208,6442.859896
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,10487.21979,5017.388021
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,2926.379427,9143.214583
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,9049.994792,9045.517708
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,15334.29271,13406.64792
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,4764.572917,9807.579167
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,121.6448568,11539.48438
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,1661.703516,9898.6625
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,10471.1375,10950.19479
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4946.623958,11681.12396
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4330.7375,11183.60729
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3692.790885,11710.39063
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,6318.585417,11751.64583
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,1505.851693,9725.984375
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,6356.052083,9271.9125
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,470.8319987,11371.04583
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,7210.410938,9051.933333
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,9628.810417,9637.921875
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,5724.153646,10212.5625
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2625.432552,10034.02813
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,754.891276,16480.59688
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2212.226823,12656.04688
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,6603.151042,8608.136979
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2252.227604,9962.480208
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2831.122656,11651.79792
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,7187.234896,15888.46563
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,4039.692708,12746.49792
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,647.271875,16086.78229
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,619.7099609,14206.11667
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,627.5533203,15257.30208
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,10653.825,10269.67604
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,8706.438021,10339.98333
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,3250.70625,12293.69167
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,24938.62292,16322.53854
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,13633.4375,14940.5875
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,6076.625521,10325.50729
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,8064.024479,10647.18854
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,1968.616667,12962.10104
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,23900.60625,9555.1625
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,7348.900521,16823.03229
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10017.80937,10859.86354
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10407.74583,11344.03646
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9548.186458,13185.32812
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9449.291667,12710.91563
