gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,206.022,907.606
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,276.492,854.897
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,254.253,1116.82
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,371.885,2244.69
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,324.211,940.024
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,295.45,893.228
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,369.747,1152.26
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,255.804,1094.97
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,355.361,1151.57
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,342.259,906.965
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,304.587,1054.48
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,339.137,1067.83
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,331.192,928.115
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,325.032,890.952
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,331.896,1011.25
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,169.566,1328.42
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,240.295,993.256
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,110.511,795.16
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,290.288,1229.76
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,301.994,1201.79
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,271.229,1133.87
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,367.371,1118.29
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,167.022,964.879
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,300.389,1354.72
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,221.198,1106.67
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,307.799,1244.67
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,317.6,1090.03
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,216.112,1043.91
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,294.283,1253.82
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,311.044,1208.38
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1201.98,1356.13
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,930.905,1105.42
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1610.21,1051.68
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,821.212,824.563
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1142.15,924.362
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1102.65,1095.06
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,773.74,905.133
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,990.718,879.687
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,820.187,1088.62
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1102.28,1307.32
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1059.83,1047.81
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,896.068,1088.43
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1109.47,999.98
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,915.761,1074.9
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1086.66,955.606
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,1788.91,5711.69
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4509.45,10545
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,2494.11,4700.19
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,2551.71,15378.5
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,5614.2,10197.4
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2553.42,8782.26
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2776.87,8691.47
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3206.11,9240.55
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3613.36,10729.7
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3802.64,9612.07
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,2919.34,10513.9
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3363.56,9744.69
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3327.98,9789.76
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3941.51,11826.7
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3485.32,8326.07
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,4574.72,10570.8
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1515,10602.5
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,5410.2,12798
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1165.45,12404.5
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1574.46,8633.21
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2606.94,9602.74
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2857.77,11558.2
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2933.14,10792.3
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2265.45,8737.54
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,3141.9,11473.8
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2742.67,10514.6
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2750.8,9753.46
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2847.86,10036.3
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2881.01,9791.61
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,3219.86,12101.2
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,10580.8,12102.6
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,4434.45,4247.18
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,19453.2,11357.8
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,11471.7,12460.4
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,4968.54,7728.92
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,6923.9,10000.2
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,8322.27,9543.36
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,9561.43,10467.2
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,11288.6,12041.3
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,8442.71,9890.91
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9537.22,10196.1
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9399.57,10626.2
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9061.1,10095.1
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10676.8,10802.9
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,8708.56,9563.35
