gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,T1C,lnL1C,AIC1C,NhC,NcC,lnL,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Th,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10229.06213,9021.074541,100401.0645,84.56242945,10384.97133,-30559074.44,61118158.89,74926.65919,54.67250344,119.6638136,-30809029.37,61618064.74,64566.02459,64566.02459,-32139491.43,64278984.87,-499905.8491,-3160825.982,10077.92422,99792.27758,10078.80308,-30559093.07,61118192.14,-33.2483814,499872.6016,3160792.732
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10052.85598,10161.39529,99606.2807,90.55123485,9995.400577,-46637726.74,93275463.49,65661.2889,409.2854178,29.11259794,-48108049.1,96216104.21,64082.68275,64082.68275,-48273875.45,96547752.89,-2940640.719,-3272289.403,10066.93363,99629.95358,10012.44577,-46637727.53,93275461.06,2.430207402,2940643.15,3272291.83
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9886.774387,12398.60139,99185.03707,106.8629436,9729.88288,-82614777.21,165229564.4,65110.91959,7702.82447,57.57891243,-84185213.82,168370433.6,64770.6085,64770.6085,-84279427.77,168558857.5,-3140869.231,-3329293.126,10204.66021,100685.9407,10342.65312,-82615200.16,165230406.3,-841.911088,3140027.289,3328451.189
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10206.0261,9161.439095,101585.1006,84.36450331,10562.62136,-30597472.72,61194955.45,75178.37905,53.44435485,118.7658102,-30819773.59,61639553.18,64663.52904,64663.52904,-32158022.84,64316047.69,-444597.7351,-3121092.241,10024.81723,99898.37763,10053.3959,-30525755.86,61051517.71,143437.7378,588035.4678,3264529.978
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10051.08823,11542.38435,100823.567,92.00559707,10196.39808,-46660656.54,93321323.08,65797.80763,427.6768115,29.11748249,-48120607,96241220.01,64286.0444,64286.0444,-48275363.05,96550728.09,-2919896.925,-3229405.009,9983.181134,99904.68532,10017.58638,-46589819.58,93179645.16,141677.9186,3061574.849,3371082.929
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9951.525508,13060.00781,101039.6578,107.7679981,10129.0172,-82672540.2,165345090.4,65323.05319,22768.80717,29.48752439,-84170541.94,168341089.9,65029.57228,65029.57228,-84242764.23,168485530.5,-2995999.486,-3140440.064,10009.26972,100434.2239,10163.7463,-82519906.93,165039819.9,305270.531,3301270.031,3445710.631
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9552.53707,64554.70571,98976.97317,106.4421563,9375.29258,-17934993.76,35869997.53,81575.56713,30.93212514,115.475746,-17920507.05,35841020.11,64422.8704,64422.8704,-18706562.34,37413126.68,28977.42256,-1543129.145,12195.41947,211348.4988,32609.88628,-17936796.04,35873598.08,-3600.55359,-32577.97359,1539528.596
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10007.23844,5536.5402,100143.548,58.51109573,10051.65741,-27523111.36,55046232.72,65330.24682,532.2828759,87.33570792,-28285696.21,56571398.43,64678.22722,64678.22722,-28332442.51,56664887.02,-1525165.704,-1618654.297,9899.822703,99702.73556,9840.876509,-27523122.9,55046251.8,-19.0786043,1525146.631,1618635.221
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,9965.800385,9861.323351,100012.4291,20.64079073,9989.982605,-47521144.33,95042298.67,64807.5955,920.5144786,118.8252662,-48193011.03,96386028.06,64640.97074,64640.97074,-48208838.82,96417679.63,-1343729.391,-1375380.964,9911.345387,99769.65458,9878.154696,-47521145.79,95042297.59,1.083719805,1343730.474,1375382.044
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9329.978729,115123.4598,99459.7087,106.7433529,9262.57822,-17892153.78,35784317.55,81363.91492,24.47478082,92.54700159,-17959632.41,35919270.82,64488.83506,64488.83506,-18740864.56,37481731.13,-134953.2638,-1697413.573,12007.7837,205900.542,31270.83134,-17977544.18,35955094.36,-170776.8115,-35823.5415,1526636.768
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10043.93626,3314.144944,100628.018,59.9479377,10232.32213,-27510733.58,55021477.17,65325.6074,804.4612238,112.8243191,-28282312.92,56564631.84,64723.7676,64723.7676,-28321910.16,56643822.32,-1543154.669,-1622345.157,10254.00889,101880.4921,10647.57015,-27563971.38,55127948.77,-106471.5989,1436683.071,1515873.551
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10296.80082,10651.50914,100923.6997,21.13942854,10631.02583,-47402139.6,94804289.21,65057.0568,1790.243549,74.20718365,-48300331.89,96600669.79,64722.88743,64722.88743,-48330767.99,96661537.98,-1796380.583,-1857248.769,9825.623089,100869.7217,9934.978545,-47590190.99,95180387.97,-376098.7641,1420281.816,1481150.006
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9026.141513,302630.0996,98498.32687,105.9881938,8647.156897,-17975879.65,35951769.3,81739.45975,31.82680494,118.1990761,-17966801.83,35933609.66,64584.07767,64584.07767,-18753517.45,37507036.9,18159.63584,-1555267.61,12150.32811,202739.5945,31398.73166,-17933512.85,35867031.7,84737.59919,66577.95919,1640005.199
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10024.49334,19416.58285,100879.8375,79.43215028,10177.57274,-27563910,55127830,65439.34223,771.3271162,112.8261976,-28334132.38,56668270.76,64814.98429,64814.98429,-28376545.65,56753093.3,-1540440.765,-1625263.305,10052.96564,99646.40764,10026.30548,-27510365.95,55020737.91,107092.0932,1647532.853,1732355.393
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,9992.725851,9481.092412,101696.3141,22.16181446,10293.27824,-47590161.81,95180333.63,65177.38505,2229.245649,70.38754069,-48337159.64,96674325.29,64861.82107,64861.82107,-48365135.52,96730273.04,-1493991.66,-1549939.414,9737.85576,98032.02797,9330.178767,-47519775.42,95039556.85,140776.7801,1634768.44,1690716.19
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,10942.04114,4965.918035,104479.332,103.0432568,12103.23783,-17938052.32,35876114.63,81978.61058,30.83959079,115.3756866,-18003631.92,36007269.84,64723.96729,64723.96729,-18795422.02,37590846.04,-131155.2064,-1714731.404,11992.60407,205178.2094,31274.46253,-17893708.27,35787422.53,88692.09709,219847.3071,1803423.507
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,9947.722067,5900.871853,99766.14891,59.66259815,9893.991616,-27557868.55,55115747.11,65555.26196,728.8142667,98.20083145,-28347447.06,56694900.12,64989.08323,64989.08323,-28383938.4,56767878.79,-1579153.015,-1652131.685,9584.078634,98822.41481,9356.583152,-27510961.23,55021928.46,93818.65235,1672971.662,1745950.332
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10435.46615,10277.94507,101936.9494,20.96075105,10937.85971,-47554534.83,95109079.67,65318.10554,14844.05677,30.33966169,-48388331.19,96776668.38,65027.0045,65027.0045,-48416399.72,96832801.44,-1667588.714,-1723721.775,10357.54786,101186.2108,10755.3077,-47402148.29,94804302.58,304777.0864,1972365.796,2028498.856
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9200.295558,168676.2217,97810.87439,106.2421572,8763.569724,-17931667.87,35863345.74,81323.20682,24.53110611,92.54692196,-17963241.42,35926488.84,64485.99984,64485.99984,-18742707.89,37485417.79,-63143.09975,-1622072.046,12052.15075,204765.8993,31324.31307,-17939570.97,35879147.93,-15802.19292,47340.90708,1606269.857
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10073.25199,6491.462924,99502.99149,59.4491559,10013.49873,-27510367.6,55020745.2,65387.08607,792.2667142,112.8250571,-28300264.39,56600534.79,64793.17916,64793.17916,-28341120.67,56682243.34,-1579789.584,-1661498.139,9847.18208,99329.03034,9691.918386,-27557876.71,55115759.43,-95014.22848,1484775.362,1566483.912
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10100.56335,5279.398203,99352.56011,119.9408058,9990.087642,-47519494.2,95038998.4,65072.76367,12007.89399,34.6565188,-48309406.44,96618818.87,64774.03296,64774.03296,-48337147.23,96674296.45,-1579820.465,-1635298.05,10435.57741,102032.2719,10959.24649,-47554536.92,95109079.84,-70081.44055,1509739.029,1565216.609
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,9894.035577,12638.60025,102146.5338,13.05615717,10339.4915,-71687.21617,143384.4323,71889.94039,78.26214006,119.9094878,-73280.60209,146567.2042,64596.9305,64596.9305,-76161.73188,152325.4638,-3182.771841,-8941.031408,9771.060005,92452.46516,8025.492939,-72561.74517,145129.4903,-1745.058039,1437.713861,7195.973461
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10256.13612,5030.1497,104485.7407,55.1751266,11211.79287,-110469.0133,220948.0265,66005.17709,1761.59523,78.66462474,-114528.2825,229062.565,61379.95556,61379.95556,-115254.984,230511.968,-8114.538458,-9563.941437,10001.71067,94280.7403,8300.285759,-111137.2654,222280.5309,-1332.504387,6782.034113,8231.437113
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,10013.24617,9088.668175,102736.0778,98.74467435,10562.80438,-196528.8825,393067.7649,65162.80417,31393.84289,22.47010204,-201233.6775,402473.355,64176.20859,64176.20859,-201534.3923,403070.7845,-9405.59007,-10003.01956,10255.80562,94250.82107,8710.545592,-197831.2791,395668.5582,-2600.793262,6804.796838,7402.226338
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10202.49231,11984.9917,102017.4062,13.67663968,10644.21096,-72045.76345,144101.5269,71752.89324,40.27858854,66.20540035,-73158.85788,146323.7158,64474.15807,64474.15807,-75851.60355,151705.2071,-2222.188877,-7603.680213,10444.5971,97304.90725,9914.516286,-72312.6454,144631.2908,-529.7639067,1692.424993,7073.916293
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10436.61125,29748.28124,102726.4074,61.62816481,11069.56741,-111266.1836,222542.3672,65778.86785,1839.947744,78.65421817,-114247.5738,228501.1476,61288.82873,61288.82873,-114933.0336,229868.0672,-5958.780393,-7325.699951,10375.87809,96744.39717,9549.809685,-110927.5832,221861.1663,681.2008599,6639.98126,8006.90086
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9973.223603,11570.7981,100723.2996,98.77957013,10034.40725,-196745.0224,393500.0448,65126.19697,11659.95033,54.90221057,-200302.5928,400611.1856,64153.50765,64153.50765,-200580.811,401163.6219,-7111.140779,-7663.577079,10539.2396,97744.14579,9892.547465,-196904.2703,393814.5406,-314.4958428,6796.644957,7349.081257
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,9690.098401,13476.02598,92270.46596,12.61493061,7912.279522,-72561.70201,145133.404,72661.08758,71.89890425,118.5646427,-72749.29539,145504.5908,64843.00791,64843.00791,-75569.07892,151140.1578,-371.1867626,-6006.753833,10248.20744,102305.8623,10763.05134,-72045.77481,144097.5496,1035.854376,1407.041176,7042.608176
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10005.92647,10172.8913,94258.3737,62.24774403,8297.687349,-111137.2614,222284.5228,66115.89473,1286.071195,62.04351852,-113786.9547,227579.9093,61402.64201,61402.64201,-114542.7113,229087.4225,-5295.386517,-6802.899722,9585.181722,98194.03851,9486.495315,-111271.5474,222549.0948,-264.5719931,5030.814507,6538.327707
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9484.213974,13499.36154,91809.38396,119.9917993,7676.446489,-197826.6058,395663.2116,65624.0852,17299.16194,40.49298131,-199378.8306,398763.6613,64532.47529,64532.47529,-199703.0977,399408.1954,-3100.449712,-3744.983841,10357.14282,102727.7197,10789.44169,-196746.0833,393498.1666,2165.045,5265.4947,5910.0288
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10635.30215,5239.920502,111460.5404,14.43628761,13192.79744,-71909.75236,143829.5047,72696.9535,49.09528785,87.24743886,-72498.63793,145003.2759,64607.03297,64607.03297,-75368.55635,150739.1127,-1173.771143,-6909.607974,10338.11739,108725.8008,12211.76871,-71910.14472,143826.2894,3.215265631,1176.986466,6912.823266
