gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,T1C,lnL1C,AIC1C,NhC,NcC,lnL,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Th,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,10527.3026,10989.92942,103531.8451,57.67538927,11381.03293,-60935.54688,121881.0938,75540.02918,12.26813137,33.63680589,-60999.12095,122004.2419,64593.32496,64593.32496,-63695.66637,127393.3327,-123.148151,-5512.238975,10841.43254,483993.3941,47073.00283,-60696.03971,121398.0794,483.0143794,606.1624794,5995.253279
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10474.78749,7949.91414,104178.0441,86.0118897,11375.92619,-92968.41755,185946.8351,65875.13911,162.9573316,14.97404269,-95642.81573,191291.6315,64124.53246,64124.53246,-96040.66654,192083.3331,-5344.796366,-6136.497984,10509.03485,108077.7844,12103.92466,-92484.55347,184975.1069,971.7281627,6316.524563,7108.226163
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,10254.57289,10533.2429,103415.3584,14.2399025,10888.17075,-164278.5355,328567.0709,65296.18998,4689.543739,74.37635905,-167080.7559,334167.5117,64964.37544,64964.37544,-167246.0463,334494.0925,-5600.440782,-5927.021615,10524.72124,107580.958,12045.77022,-163568.1082,327142.2165,1424.854444,7025.295244,7351.876044
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,9871.340389,33816.51411,96315.96619,60.50894439,9088.774146,-61067.77478,122145.5496,74767.86052,54.95280984,116.935268,-61411.28463,122828.5693,64699.51108,64699.51108,-63985.7813,127973.5626,-683.0196937,-5828.013032,11555.04019,567733.0939,54348.2794,-61078.79379,122163.5876,-18.03798936,664.9817106,5809.975011
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,9556.796692,16601.16742,94775.39998,90.44158337,8452.042437,-92817.22623,185644.4525,65909.3802,164.8908128,14.36613646,-95837.71021,191681.4204,64237.04139,64237.04139,-96201.61126,192405.2225,-6036.967964,-6760.770057,10311.91701,97357.28826,9620.260507,-92819.89894,185645.7979,-1.345389551,6035.62251,6759.42461
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,10159.48821,9963.163541,95929.495,13.47577958,9234.762123,-164507.6388,329025.2777,65456.64046,27071.8357,24.37686269,-167247.8784,334501.7568,65141.41675,65141.41675,-167398.7981,334799.5963,-5476.479139,-5774.318584,9979.327267,95307.37232,8948.398225,-164507.925,329021.85,3.427654491,5479.906754,5777.746254
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,10429.96574,6065.968685,104875.5775,56.75139729,11576.01781,-60559.12319,121128.2464,74296.22312,24.8066439,56.7570248,-61558.70682,123123.4136,64506.13482,64506.13482,-64064.16194,128130.3239,-1995.167256,-7002.07751,11286.44323,342487.8172,41186.77355,-60941.56443,121889.1289,-760.8824557,1234.284744,6241.195044
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10232.4127,6688.287449,105675.1233,86.11045299,11450.07949,-92724.91575,185459.8315,65618.43378,1632.481892,83.85310304,-95707.74599,191421.492,64155.20925,64155.20925,-95985.444,191972.888,-5961.660469,-6513.056499,10022.47307,101617.3191,10385.70337,-92969.31374,185944.6275,-484.7959702,5476.86453,6028.26053
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9926.962547,9960.354941,103933.5249,11.35688087,10752.64853,-164079.505,328169.0101,65043.71979,30707.13072,20.215944,-167401.8845,334809.769,64681.82263,64681.82263,-167577.6291,335157.2582,-6640.758923,-6988.248119,10460.12296,104441.3601,11317.13884,-164278.9128,328563.8256,-394.8154642,6245.943436,6593.432636
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,10864.97043,5591.824172,112125.0005,57.0135005,13660.0064,-60691.05974,121392.1195,75780.32608,10.00921221,28.04660533,-61154.79006,122315.5801,64811.33951,64811.33951,-63825.01638,127652.0328,-923.4606386,-6259.913285,10704.84215,528588.2132,48446.42128,-60567.10626,121140.2125,251.906984,1175.367584,6511.820284
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10032.64414,13821.32616,104758.2441,90.51950642,10916.78739,-92483.55786,184977.1157,65987.25024,146.639516,11.45351133,-95432.33956,190870.6791,64540.88605,64540.88605,-95719.68481,191441.3696,-5893.563395,-6464.25389,9491.638628,101264.8204,9818.017659,-92727.34643,185460.6929,-483.5771541,5409.986246,5980.676746
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9907.323223,17037.8808,104435.4691,119.9869629,10733.94648,-163564.3002,327138.6004,65512.77636,30795.95946,21.6664829,-166584.1626,333174.3252,65189.69976,65189.69976,-166710.9159,333423.8319,-6035.724853,-6285.231484,9962.566654,104164.5392,10836.20565,-164079.5164,328165.0329,-1026.432454,5009.292346,5258.799046
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,9307.857673,9492.671168,90967.32408,108.8896456,7262.335527,-61266.09336,122542.1867,74563.95491,48.11799565,102.9274794,-61623.51415,123253.0283,64594.04826,64594.04826,-64340.7302,128683.4604,-710.8415771,-6141.273685,9337.815138,91021.09692,7299.566214,-61266.09447,122538.1889,3.99776413,714.8393641,6145.271464
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,8765.541971,5000000,89755.61575,92.87794306,6563.316104,-93358.12283,186726.2457,65736.27354,2273.320118,109.2685079,-96258.22533,192522.4507,64271.70254,64271.70254,-96530.49766,193062.9953,-5796.204991,-6336.749665,10096.0839,93279.0867,8273.596186,-93367.34624,186740.6925,-14.44677953,5781.75822,6322.30282
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9676.329439,21808.08702,92241.74548,119.8445057,7904.277189,-165170.7903,330351.5806,65290.3899,31609.62858,21.24378141,-168071.9277,336149.8554,65005.03596,65005.03596,-168186.5282,336375.0564,-5798.274872,-6023.475802,10560.68254,94873.80441,9158.08692,-165177.6656,330361.3312,-9.750559999,5788.52424,6013.72524
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10553.05772,7499.548665,100262.6363,59.2836013,10538.03322,-306545.8696,613101.7391,75363.52804,52.74454852,118.3047768,-306399.5197,612805.0394,64752.65809,64752.65809,-319693.0103,639388.0206,296.6997617,-26286.28146,11216.24792,487088.902,48919.69605,-306601.6164,613209.2328,-107.4936925,-404.1933925,26178.78781
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,9898.694889,9606.687429,97887.50645,87.0312917,9326.960903,-467321.9974,934653.9949,65960.7064,2116.058898,109.2854643,-478937.3997,957880.7995,64420.19117,64420.19117,-480442.4333,960886.8666,-23226.80458,-26232.87174,9847.99482,97654.68783,9233.102916,-467322.0541,934650.1081,3.886772762,23230.69137,26236.75847
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10241.24646,9842.113246,98990.42369,12.0812511,9884.823989,-827299.6152,1654609.23,65359.68327,6904.314004,61.42546204,-838252.3855,1676510.771,65038.167,65038.167,-839144.8217,1678291.643,-21901.54053,-23682.41299,9784.629908,97165.55415,9083.634271,-827307.4834,1654620.967,-11.73677185,21889.80423,23670.67623
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10374.09372,8026.402521,103028.2897,57.26990417,11182.69176,-302621.7659,605253.5318,75726.93198,52.14499676,118.2425229,-305940.1698,611886.3397,64723.7541,64723.7541,-319277.1752,638556.3505,-6632.807888,-33302.8187,10928.36983,502795.4964,48502.35434,-302658.6085,605323.217,-69.68515835,6563.122742,33233.13354
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10060.1214,13260.17066,101737.4585,87.28782317,10502.52356,-461109.4243,922228.8485,65848.0964,211.642751,16.90544083,-478163.2183,956332.4365,64268.66492,64268.66492,-479837.3521,959676.7041,-34103.588,-37447.8556,10441.05243,103757.7996,11307.28066,-461112.7601,922231.5202,-2.671723762,34100.91628,37445.18388
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10101.2055,10303.91774,102179.9368,15.2929878,10602.80874,-817732.433,1635474.866,65222.01092,9683.890264,53.90810674,-837386.1098,1674778.22,64989.25637,64989.25637,-838115.9424,1676233.885,-39303.35365,-40759.01897,10233.00506,102624.5791,10835.06262,-817733.3968,1635472.794,2.07231077,39305.42631,40761.09131
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10155.3557,10123.06704,102454.4518,104.8822881,10662.95255,-304141.0994,608292.1987,74864.77147,53.96885977,119.6999754,-304865.869,609737.738,64396.84256,64396.84256,-318040.3775,636082.755,-1445.539218,-27790.55623,10871.45383,459654.7289,46101.22768,-303727.5544,607461.1087,831.0899716,2276.629272,28621.64627
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10238.83379,11028.39416,102059.0995,103.1838989,10658.07691,-464454.0429,928918.0858,65558.49975,1048.742757,59.47906149,-475597.726,951201.452,64079.80698,64079.80698,-477034.2135,954070.4271,-22283.36616,-25152.34125,9994.766064,101666.5196,10299.84612,-463587.2879,927180.5758,1737.509978,24020.87618,26889.85128
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10165.18682,9029.692951,102596.3143,67.90096597,10669.42447,-823375.1771,1646760.354,65070.94372,12867.49538,45.02193814,-832536.4538,1665078.908,64765.17653,64765.17653,-833298.5365,1666599.073,-18318.55353,-19838.71891,10149.47752,102536.1953,10670.81703,-822484.2011,1644974.402,1785.951823,20104.50582,21624.67082
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,9696.013071,11377.68345,101888.493,111.9905777,9952.919943,-304125.6987,608261.3974,75852.40321,51.77540847,119.5634413,-306332.397,612670.7941,64906.40046,64906.40046,-319911.8041,639825.6083,-4409.39672,-31564.21091,10936.78931,505819.0825,48531.75912,-304178.3761,608362.7522,-101.3548234,4308.041877,31462.85608
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10062.14033,10439.79459,102642.3683,103.6549439,10565.63126,-464461.2646,928932.5291,66013.21628,2006.144765,109.3013593,-479076.8334,958159.6669,64415.08636,64415.08636,-480708.6582,961419.3165,-29227.13772,-32486.78734,10385.23994,102850.183,10968.40552,-464454.5354,928915.0709,17.4582006,29244.596,32504.2456
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10029.68928,11753.99106,102000.2625,70.83646794,10391.31151,-821931.0473,1643872.095,65434.02721,9339.198404,54.88658837,-836850.46,1673706.92,65120.54442,65120.54442,-837579.5148,1675161.03,-29834.82554,-31288.93508,9905.597522,101246.4603,10137.66609,-823377.8723,1646761.745,-2889.64961,26945.17539,28399.28539
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10062.29402,10783.22612,102991.539,57.71671502,10680.61061,-303693.5286,607397.0571,75202.16786,13.20854235,33.57083407,-308746.3397,617498.6794,64968.02308,64968.02308,-321911.4179,643824.8359,-10101.62229,-36427.77875,9922.993628,102870.5083,10419.3966,-304126.1668,608258.3337,-861.276587,9240.345713,35566.50221
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10001.18943,9957.999434,101695.1499,86.95149072,10311.843,-463587.2866,927184.5732,66055.31453,1407.310552,83.87774517,-481772.532,963551.0641,64388.39115,64388.39115,-483528.9302,967059.8604,-36366.49088,-39875.28716,10689.92494,509401.4059,47547.54643,-464502.7036,929011.4072,-1826.834045,34539.65686,38048.45316
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,9973.459326,11077.5926,101847.6637,71.3734323,10345.65895,-822482.6243,1644975.249,65436.38366,13522.26842,41.5972794,-841953.9163,1683913.833,65082.62412,65082.62412,-842957.8939,1685917.788,-38938.58404,-40942.53914,10327.50503,103597.5961,11019.60659,-821934.6169,1643875.234,1100.015187,40038.59919,42042.55419
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,9964.883067,11129.55042,99585.23415,84.53305156,9881.14637,-30586978.23,61173966.46,74831.54901,53.56355078,117.3597705,-30778602.32,61557210.63,64490.17661,64490.17661,-32108348.4,64216698.8,-383244.1764,-3042732.345,10091.64677,101365.9965,10383.85994,-30597487.05,61194980.11,-21013.64973,362230.5203,3021718.69
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10025.31661,10363.31191,99683.52995,90.42921689,9982.30488,-46658466.02,93316942.04,65633.02246,408.6136778,29.11497879,-48084607.03,96169220.06,64055.50126,64055.50126,-48250587.43,96501176.87,-2852278.023,-3184234.834,10275.08813,101943.3998,10645.07092,-46660771.54,93321549.07,-4607.031229,2847670.989,3179627.799
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9986.055846,8901.211294,99499.61131,107.0039048,9880.481231,-82703748.61,165407507.2,65097.98811,8737.896986,57.6382253,-84105644.64,168211295.3,64827.37136,64827.37136,-84175113.6,168350229.2,-2803788.06,-2942721.981,11033.49548,188299.3077,26263.44086,-82676805.2,165353616.4,53890.80027,2857678.9,2996612.8
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10233.27506,8623.856499,100763.7912,84.5672733,10482.5476,-30525721.61,61051453.21,74859.41716,54.54932902,119.9805367,-30743780.79,61487567.58,64458.38428,64458.38428,-32078649.7,64157301.41,-436114.3667,-3105848.196,10091.93247,100086.0892,10132.72947,-30586991.25,61173988.51,-122535.2996,313579.0704,2983312.9
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10012.72982,9870.05116,100124.5721,90.57328361,10092.75417,-46589817.94,93179645.88,65582.91132,403.2100069,29.12469326,-48039278.78,96078563.56,63982.51825,63982.51825,-48208747.12,96417496.24,-2898917.682,-3237850.369,10071.90194,99792.90263,10047.02006,-46658472.49,93316950.99,-137305.1058,2761612.574,3100545.254
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,10133.17691,9313.795147,101081.3596,107.1860484,10419.64547,-82519841.83,165039693.7,65066.21966,7988.636367,57.36858027,-83999244.64,167998495.3,64728.39794,64728.39794,-84086421.29,168172844.6,-2958801.627,-3133150.915,10687.09432,223108.6267,29403.58108,-82709675.75,165419357.5,-379663.7969,2579137.803,2753487.103
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10014.66574,9348.60398,99207.04979,84.51562213,9868.99409,-30552550.11,61105110.23,74960.1448,38.31077141,88.33771783,-30768054.25,61536114.51,64497.35012,64497.35012,-32109161.88,64218325.76,-431004.2828,-3113215.539,9931.548759,98892.60064,9709.008403,-30552555.73,61105117.46,-7.230302602,430997.0497,3113208.3
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10040.90124,13189.86237,99595.58749,93.08985553,9956.852089,-46567098.71,93134207.42,65650.94764,447.4836128,29.08438051,-48019615.89,96039237.79,64208.20329,64208.20329,-48163149.4,96326300.8,-2905030.363,-3192093.38,10466.78127,101552.9354,10774.4834,-46567528.2,93135062.41,-854.988102,2904175.382,3191238.392
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9990.983634,10525.05329,99419.98278,106.9624353,9878.502833,-82618443.51,165236897,65072.3596,8406.816549,57.58653414,-84106386.76,168212779.5,64795.15642,64795.15642,-84183268.25,168366538.5,-2975882.51,-3129641.477,10061.47779,99704.74305,9996.100248,-82618465.86,165236937.7,-40.71269399,2975841.787,3129600.787
