gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,256.043,947.375
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,286.295,877.897
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,363.438,1155.18
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,320.164,1256.64
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,361.573,1147.21
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,262.162,1087.78
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,319.188,964.52
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,294.843,1040.86
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,339.193,1066.43
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,309.702,778.728
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,284.198,1006.23
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,311.812,991.315
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,314.533,1110.12
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,336.414,833.114
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,339.256,895.844
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,399.001,816.291
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,429.489,1028.47
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,555.082,823.496
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,411.419,529.311
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,393.374,1213.46
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,433.792,1203.29
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,400.867,942.221
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,533.442,944.329
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,468.715,1071.28
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,366.211,862.38
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,430.305,1226.27
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,446.704,916.231
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,500.37,956.661
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,493.045,999.184
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,373.328,894.401
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,323.098,814.435
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,430.613,1636.17
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,633.72,1828.75
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,889.482,899.909
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,466.541,1068.57
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,515.725,1102.58
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,458.62,1024.01
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,565.002,1342.73
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,599.339,1061.38
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,613.948,1347.8
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,493.719,1173.72
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,564.171,956.284
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,574.839,1316.96
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,593.885,1014.84
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,604.296,1228.8
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,793.691,1314.25
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,1005.2,759.445
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,1272.75,2713.65
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,875.311,1811.99
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,776.341,698.31
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,589.956,1261.39
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,873.7,1064.44
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,1061.64,1441.16
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,809.416,1210.39
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,839.544,1393.59
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,701.69,1233.86
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,781.699,926.39
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,1079.48,1462.98
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,915.135,1225.55
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,837.108,1121.92
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,288.127,1089.74
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,263.696,847.631
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,159.016,730.078
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,404.452,1156.08
