gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,T1C,lnL1C,AIC1C,NhC,NcC,lnL,AICC,AIC2C-AIC1C,AIC2C-AICC
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10032.64414,13821.32616,104758.2441,90.51950642,10916.78739,-92483.55786,184977.1157,65987.25024,146.639516,11.45351133,-95432.33956,190870.6791,64540.88605,64540.88605,-95719.68481,191441.3696,-5893.563395,-6464.25389
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9907.323223,17037.8808,104435.4691,119.9869629,10733.94648,-163564.3002,327138.6004,65512.77636,30795.95946,21.6664829,-166584.1626,333174.3252,65189.69976,65189.69976,-166710.9159,333423.8319,-6035.724853,-6285.231484
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,9307.857673,9492.671168,90967.32408,108.8896456,7262.335527,-61266.09336,122542.1867,74563.95491,48.11799565,102.9274794,-61623.51415,123253.0283,64594.04826,64594.04826,-64340.7302,128683.4604,-710.8415771,-6141.273685
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,8765.541971,5000000,89755.61575,92.87794306,6563.316104,-93358.12283,186726.2457,65736.27354,2273.320118,109.2685079,-96258.22533,192522.4507,64271.70254,64271.70254,-96530.49766,193062.9953,-5796.204991,-6336.749665
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9676.329439,21808.08702,92241.74548,119.8445057,7904.277189,-165170.7903,330351.5806,65290.3899,31609.62858,21.24378141,-168071.9277,336149.8554,65005.03596,65005.03596,-168186.5282,336375.0564,-5798.274872,-6023.475802
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10553.05772,7499.548665,100262.6363,59.2836013,10538.03322,-306545.8696,613101.7391,75363.52804,52.74454852,118.3047768,-306399.5197,612805.0394,64752.65809,64752.65809,-319693.0103,639388.0206,296.6997617,-26286.28146
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,9898.694889,9606.687429,97887.50645,87.0312917,9326.960903,-467321.9974,934653.9949,65960.7064,2116.058898,109.2854643,-478937.3997,957880.7995,64420.19117,64420.19117,-480442.4333,960886.8666,-23226.80458,-26232.87174
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10241.24646,9842.113246,98990.42369,12.0812511,9884.823989,-827299.6152,1654609.23,65359.68327,6904.314004,61.42546204,-838252.3855,1676510.771,65038.167,65038.167,-839144.8217,1678291.643,-21901.54053,-23682.41299
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10374.09372,8026.402521,103028.2897,57.26990417,11182.69176,-302621.7659,605253.5318,75726.93198,52.14499676,118.2425229,-305940.1698,611886.3397,64723.7541,64723.7541,-319277.1752,638556.3505,-6632.807888,-33302.8187
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10060.1214,13260.17066,101737.4585,87.28782317,10502.52356,-461109.4243,922228.8485,65848.0964,211.642751,16.90544083,-478163.2183,956332.4365,64268.66492,64268.66492,-479837.3521,959676.7041,-34103.588,-37447.8556
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10101.2055,10303.91774,102179.9368,15.2929878,10602.80874,-817732.433,1635474.866,65222.01092,9683.890264,53.90810674,-837386.1098,1674778.22,64989.25637,64989.25637,-838115.9424,1676233.885,-39303.35365,-40759.01897
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10155.3557,10123.06704,102454.4518,104.8822881,10662.95255,-304141.0994,608292.1987,74864.77147,53.96885977,119.6999754,-304865.869,609737.738,64396.84256,64396.84256,-318040.3775,636082.755,-1445.539218,-27790.55623
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10238.83379,11028.39416,102059.0995,103.1838989,10658.07691,-464454.0429,928918.0858,65558.49975,1048.742757,59.47906149,-475597.726,951201.452,64079.80698,64079.80698,-477034.2135,954070.4271,-22283.36616,-25152.34125
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10165.18682,9029.692951,102596.3143,67.90096597,10669.42447,-823375.1771,1646760.354,65070.94372,12867.49538,45.02193814,-832536.4538,1665078.908,64765.17653,64765.17653,-833298.5365,1666599.073,-18318.55353,-19838.71891
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,9696.013071,11377.68345,101888.493,111.9905777,9952.919943,-304125.6987,608261.3974,75852.40321,51.77540847,119.5634413,-306332.397,612670.7941,64906.40046,64906.40046,-319911.8041,639825.6083,-4409.39672,-31564.21091
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10062.14033,10439.79459,102642.3683,103.6549439,10565.63126,-464461.2646,928932.5291,66013.21628,2006.144765,109.3013593,-479076.8334,958159.6669,64415.08636,64415.08636,-480708.6582,961419.3165,-29227.13772,-32486.78734
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10029.68928,11753.99106,102000.2625,70.83646794,10391.31151,-821931.0473,1643872.095,65434.02721,9339.198404,54.88658837,-836850.46,1673706.92,65120.54442,65120.54442,-837579.5148,1675161.03,-29834.82554,-31288.93508
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10062.29402,10783.22612,102991.539,57.71671502,10680.61061,-303693.5286,607397.0571,75202.16786,13.20854235,33.57083407,-308746.3397,617498.6794,64968.02308,64968.02308,-321911.4179,643824.8359,-10101.62229,-36427.77875
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10001.18943,9957.999434,101695.1499,86.95149072,10311.843,-463587.2866,927184.5732,66055.31453,1407.310552,83.87774517,-481772.532,963551.0641,64388.39115,64388.39115,-483528.9302,967059.8604,-36366.49088,-39875.28716
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,9973.459326,11077.5926,101847.6637,71.3734323,10345.65895,-822482.6243,1644975.249,65436.38366,13522.26842,41.5972794,-841953.9163,1683913.833,65082.62412,65082.62412,-842957.8939,1685917.788,-38938.58404,-40942.53914
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,9964.883067,11129.55042,99585.23415,84.53305156,9881.14637,-30586978.23,61173966.46,74831.54901,53.56355078,117.3597705,-30778602.32,61557210.63,64490.17661,64490.17661,-32108348.4,64216698.8,-383244.1764,-3042732.345
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10025.31661,10363.31191,99683.52995,90.42921689,9982.30488,-46658466.02,93316942.04,65633.02246,408.6136778,29.11497879,-48084607.03,96169220.06,64055.50126,64055.50126,-48250587.43,96501176.87,-2852278.023,-3184234.834
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9986.055846,8901.211294,99499.61131,107.0039048,9880.481231,-82703748.61,165407507.2,65097.98811,8737.896986,57.6382253,-84105644.64,168211295.3,64827.37136,64827.37136,-84175113.6,168350229.2,-2803788.06,-2942721.981
