gentime,NeAnc,td,lambda,maxn,sampn,data,botexp,model,scheme,it,Nh,Nc,Na,Td,Ta,lnL,AIC2C,Nh1C,Nc1C,Na1c,Td1C,Ta1c,lnL1C,AIC1C,NhC,NcC,NaC,TdC,TaC,lnLC,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Nha,Tdh,Tah,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,constant,constant,n500,n100,rad10k,exp,2change,all,1,9868.793781,10678.16122,94919.7472,119.9914731,8774.902472,-164507.8259,329025.6518,65005.88031,34741.5802,65005.88031,16.86781551,NA,-167401.8624,334809.7248,64681.81831,64681.81831,64681.81831,NA,NA,-167577.6291,335157.2582,-5784.073044,-6131.606449,9978.699319,9978.699319,95307.36116,NA,8948.156823,-164507.925,329021.85,3.801722705,5787.874767,6135.408172
g1,n10e4,constant,constant,n500,n100,rad10k,exp,2change,all,2,10123.60149,12279.141,102620.5625,76.74070941,10592.38106,-164278.0146,328566.0292,65456.44936,35217.72265,65456.44936,17.0906682,NA,-167247.8781,334501.7562,65141.41367,65141.41367,65141.41367,NA,NA,-167398.7981,334799.5963,-5935.726954,-6233.567052,10462.6211,10462.6211,104550.8128,NA,11340.39133,-164278.9125,328563.8251,2.204137288,5937.931091,6235.77119
g1,n10e4,constant,constant,n500,n100,rad10k,exp,2change,all,3,9905.913139,17035.02816,104400.574,119.9287059,10724.74868,-163564.3009,327138.6018,65404.32522,42652.83511,65404.32522,12.25450434,NA,-166583.9552,333173.9104,65189.69637,65189.69637,65189.69637,NA,NA,-166710.9159,333423.8319,-6035.308611,-6285.230092,10527.51288,10527.51288,108060.1681,NA,12124.8358,-163568.0969,327142.1938,-3.592008641,6031.716603,6281.638083
g1,n10e4,constant,constant,n500,n100,rad10k,exp,2change,all,4,10175.82151,8702.983722,105431.6437,119.9997894,11312.89004,-164079.103,328168.2061,65293.56305,4695.083113,65293.56305,74.34589891,NA,-167080.7558,334167.5116,64964.37219,64964.37219,64964.37219,NA,NA,-167246.0463,334494.0925,-5999.30558,-6325.88647,9949.700454,9949.700454,103921.4341,NA,10771.16191,-164079.5172,328165.0343,3.171742145,6002.477322,6329.058212
g1,n10e4,constant,constant,n500,n100,rad10k,exp,2change,all,5,11232.11688,30506.35188,105217.1984,120,12745.44921,-165182.7044,330375.4088,65263.65801,33274.04475,65263.65801,19.70205106,NA,-168071.9126,336149.8253,65005.03599,65005.03599,65005.03599,NA,NA,-168186.5282,336375.0564,-5774.416486,-5999.647596,10568.52587,10568.52587,94901.8787,NA,9175.498324,-165177.6644,330361.3289,14.07991322,5788.496399,6013.727509
g1,n10e4,td190,l95,n500,n100,rad10k,exp,2change,all,1,10075.75145,7333.71751,95059.26487,109.537913,9637.324472,-160703.4116,321416.8233,63324.17218,4041.023129,63324.17218,76.87082357,NA,-163502.6549,327011.3099,62949.6317,62949.6317,62949.6317,NA,NA,-163690.3883,327382.7765,-5594.48656,-5965.953213,9566.183743,9566.183743,93081.97635,NA,8769.105673,-160705.5453,321417.0906,-0.267301546,5594.219258,5965.685911
g1,n10e4,td190,l95,n500,n100,rad10k,exp,2change,all,2,10986.82633,5352.586294,99429.77604,119.9978294,11178.61135,-163596.7471,327203.4941,64390.50802,2627.482573,64390.50802,89.08461065,NA,-166396.7761,332799.5522,63923.49797,63923.49797,63923.49797,NA,NA,-166617.6494,333237.2988,-5596.058062,-6033.804693,9850.529312,9850.529312,94529.10303,NA,9058.693567,-163607.603,327221.206,-17.71186841,5578.346194,6016.092825
g1,n10e4,td190,l95,n500,n100,rad10k,exp,2change,all,3,10189.40474,6410.895128,99203.34293,119.9911887,10316.56399,-162752.6007,325515.2014,64410.24827,2849.403099,64410.24827,87.67218658,NA,-165644.777,331295.5541,63958.98589,63958.98589,63958.98589,NA,NA,-165848.8939,331699.7878,-5780.352688,-6184.586453,9465.133099,9465.133099,95974.21481,NA,8982.996964,-162756.7147,325519.4293,-4.227955925,5776.124732,6180.358497
g1,n10e4,td190,l95,n500,n100,rad10k,exp,2change,all,4,10481.92894,4669.731864,97810.26857,119.9967375,10242.97898,-163030.1248,326070.2495,64638.72033,41475.42214,64638.72033,11.39248294,NA,-165918.2662,331842.5325,63727.1073,63727.1073,63727.1073,NA,NA,-166140.3445,332282.6891,-5772.282956,-6212.439536,9093.378917,9093.378917,92428.91863,NA,7918.772342,-163044.968,326095.9359,-25.68636481,5746.596591,6186.753171
g1,n10e4,td190,l95,n500,n100,rad10k,exp,2change,all,5,10479.57531,4998.005308,106224.9341,119.9679795,11964.50469,-164262.8305,328535.661,64918.28978,2202.652477,64918.28978,94.01735647,NA,-167224.5465,334455.093,64467.09045,64467.09045,64467.09045,NA,NA,-167459.5889,334921.1778,-5919.432011,-6385.516882,10077.00909,10077.00909,273514.7299,NA,32130.64037,-164284.8349,328575.6698,-40.00889199,5879.423119,6345.50799
