gentime,NeAnc,td,lambda,maxn,sampn,data,botexp,model,scheme,it,Nh,Nc,Na,Td,Ta,lnL,AIC2C,Nh1C,Nc1C,Na1c,Td1C,Ta1c,lnL1C,AIC1C,NhC,NcC,NaC,TdC,TaC,lnLC,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Nha,Tdh,Tah,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,td100,l99,n500,n100,rad10k,exp,2change,all,1,10184.58379,3545.71101,108258.7971,107.0501632,12122.44055,-163857.8594,327725.7189,64747.63591,2605.14936,64747.63591,78.75653589,NA,-166826.2366,333658.4732,64174.61988,64174.61988,64174.61988,NA,NA,-167198.2048,334398.4095,-5932.754357,-6672.69063,7823.716445,7823.716445,94501.28507,NA,7216.611223,-163895.6056,327797.2112,-71.49230427,5861.262052,6601.198326
g1,n10e4,td100,l99,n500,n100,rad10k,exp,2change,all,2,9926.245815,3184.309546,104255.271,119.4483996,10644.7773,-164691.0351,329392.0702,65276.2528,2333.677757,65276.2528,80.74748669,NA,-167702.9777,335411.9553,64678.30298,64678.30298,64678.30298,NA,NA,-168109.6313,336221.2626,-6019.885128,-6829.192421,7441.091993,7441.091993,92722.01306,NA,6297.635939,-164731.545,329469.09,-77.01985219,5942.865276,6752.172569
g1,n10e4,td100,l99,n500,n100,rad10k,exp,2change,all,3,10661.52926,3577.222042,105969.4031,92.67675079,11917.995,-165900.8393,331811.6786,65428.0719,2707.377462,65428.0719,76.03270575,NA,-168822.1584,337650.3168,64817.78787,64817.78787,64817.78787,NA,NA,-169239.8454,338481.6908,-5838.638245,-6670.012196,7778.422987,7778.422987,92008.33747,NA,6545.040985,-165950.1499,331906.2999,-94.62126748,5744.016978,6575.390928
g1,n10e4,td100,l99,n500,n100,rad10k,exp,2change,all,4,9695.263875,2876.493424,99165.9727,119.999889,9502.777085,-164513.8855,329037.771,64764.6921,1760.07371,64764.6921,88.99611097,NA,-167508.4065,335022.8129,64153.91012,64153.91012,64153.91012,NA,NA,-167927.3128,335856.6256,-5985.04198,-6818.854614,6967.626732,6967.626732,89000.68533,NA,5443.204461,-164561.3639,329128.7279,-90.95689493,5894.085085,6727.89772
g1,n10e4,td100,l99,n500,n100,rad10k,exp,2change,all,5,9971.292679,3792.049262,96992.50639,119.9835008,9486.452315,-163633.8301,327277.6603,64502.67303,2766.880216,64502.67303,79.02558395,NA,-166529.1014,333064.2028,63984.13042,63984.13042,63984.13042,NA,NA,-166857.8513,333717.7026,-5786.542502,-6440.04232,8012.482622,8012.482622,89730.06689,NA,6476.090571,-163660.0511,327326.1023,-48.44198401,5738.100518,6391.600336
g1,n10e4,constant,constant,n500,n200,rad10k,exp,2change,all,1,9902.58029,13201.04777,95124.44979,119.3634449,8838.967398,-196901.2398,393812.4797,65079.3052,39175.13613,65079.3052,15.9359826,NA,-200306.4638,400618.9275,64153.49849,64153.49849,64153.49849,NA,NA,-200580.811,401163.6219,-6806.447843,-7351.142233,10525.234,10525.234,97458.19401,NA,9807.973617,-196904.2675,393814.5351,-2.055373034,6804.39247,7349.08686
g1,n10e4,constant,constant,n500,n200,rad10k,exp,2change,all,2,9956.552608,11301.15102,100606.2452,76.20672069,9993.816526,-196744.9968,393499.9936,66231.89893,43507.08226,66231.89893,12.89950516,NA,-200213.1257,400432.2514,64352.97727,64352.97727,64352.97727,NA,NA,-200507.6097,401017.2194,-6932.25777,-7517.225807,10350.55262,10350.55262,102556.086,NA,10745.66767,-196746.0842,393498.1684,1.825234035,6934.083004,7519.051041
g1,n10e4,constant,constant,n500,n200,rad10k,exp,2change,all,3,10709.40927,10910.00042,227532.6642,105.1983801,29503.41301,-195899.615,391809.23,65600.16706,17551.48521,65600.16706,40.04242717,NA,-199378.8306,398763.6612,64532.46508,64532.46508,64532.46508,NA,NA,-199703.0977,399408.1954,-6954.431204,-7598.965373,10383.97059,10383.97059,107413.6883,NA,11690.06231,-195893.5499,391793.0997,16.13030922,6970.561514,7615.095682
g1,n10e4,constant,constant,n500,n200,rad10k,exp,2change,all,4,9989.168432,9249.807561,131634.4462,116.9317156,16273.41614,-196534.9455,393079.891,65205.74402,6875.80609,65205.74402,68.05889297,NA,-200001.6781,400009.3561,64040.2888,64040.2888,64040.2888,NA,NA,-200377.1282,400756.2564,-6929.465144,-7676.365415,9751.695023,9751.695023,101369.2446,NA,10054.82587,-196529.3896,393064.7793,15.11169617,6944.57684,7691.477112
g1,n10e4,constant,constant,n500,n200,rad10k,exp,2change,all,5,9478.633365,13522.68437,91767.78971,119.9999809,7663.267937,-197826.6054,395663.2107,65175.24186,21047.69645,65175.24186,34.92415047,NA,-201233.4395,402472.879,64176.19822,64176.19822,64176.19822,NA,NA,-201534.3923,403070.7845,-6809.668347,-7407.573804,10257.97476,10257.97476,94159.14359,NA,8686.835225,-197831.2803,395668.5605,-5.34984207,6804.318505,7402.223962
g1,n10e4,td190,l95,n500,n200,rad10k,exp,2change,all,1,10701.45975,6144.015281,98651.27912,119.9999981,11030.24339,-192569.757,385149.514,63389.24131,3085.179568,63389.24131,95.52610327,NA,-195805.5906,391617.1811,61900.07782,61900.07782,61900.07782,NA,NA,-196265.4014,392532.8027,-6467.667091,-7383.2887,9254.193308,9254.193308,91867.57965,NA,8404.898856,-192585.1031,385176.2061,-26.69210643,6440.974985,7356.596594
g1,n10e4,td190,l95,n500,n200,rad10k,exp,2change,all,2,10927.36419,6113.930694,100553.4053,119.998891,11285.83301,-195718.6799,391447.3598,64443.48699,3586.767029,64443.48699,87.24891106,NA,-199000.8248,398007.6495,62972.14284,62972.14284,62972.14284,NA,NA,-199471.0658,398944.1316,-6560.289778,-7496.771887,9431.982633,9431.982633,93730.81579,NA,8590.61414,-195735.795,391477.59,-30.23023809,6530.05954,7466.541649
g1,n10e4,td190,l95,n500,n200,rad10k,exp,2change,all,3,10718.71676,6069.819246,102409.0011,119.9971039,11552.62593,-195110.503,390231.006,65753.42259,1273812.18,65753.42259,10.85520395,NA,-198796.858,397599.7159,62909.84767,62909.84767,62909.84767,NA,NA,-198920.6707,397843.3415,-7368.709955,-7612.335492,9248.405778,9248.405778,95159.38472,NA,8782.197365,-195126.8371,390259.6742,-28.66818779,7340.041767,7583.667304
g1,n10e4,td190,l95,n500,n200,rad10k,exp,2change,all,4,10968.22767,5154.025019,99520.61269,119.9981761,10919.29481,-195361.4726,390732.9452,62754.22379,22116.58873,62754.22379,30.71341189,NA,-198763.6487,397533.2973,62777.78275,62777.78275,62777.78275,NA,NA,-199213.3236,398428.6471,-6800.352073,-7695.701868,8941.96279,8941.96279,91159.19492,NA,7585.056781,-195391.8229,390789.6458,-56.70059993,6743.651473,7639.001268
g1,n10e4,td190,l95,n500,n200,rad10k,exp,2change,all,5,9018.546843,9103.160223,99431.62745,22.14660783,9117.59353,-196348.5815,392707.1629,65043.30349,2642.128323,65043.30349,101.7777443,NA,-199792.245,399590.49,63589.63076,63589.63076,63589.63076,NA,NA,-200274.986,400551.972,-6883.327063,-7844.809092,9101.616156,9101.616156,99260.00602,NA,9199.375647,-196348.6178,392703.2356,3.927328864,6887.254392,7848.736421
g1,n10e4,td100,l99,n500,n200,rad10k,exp,2change,all,1,10270.01897,3094.905338,109500.7127,119.996626,12334.58781,-196463.1289,392936.2578,64738.64617,2235.342755,64738.64617,87.08711058,NA,-199925.7178,399857.4355,62356.13591,62356.13591,62356.13591,NA,NA,-200944.0061,401890.0122,-6921.177713,-8953.75435,6597.093394,6597.093394,89163.77332,NA,5523.07093,-196566.5643,393139.1287,-202.8708513,6718.306862,8750.883498
g1,n10e4,td100,l99,n500,n200,rad10k,exp,2change,all,2,9913.581764,3591.848136,103728.878,94.50079651,10454.00577,-197446.5794,394903.1588,65088.99624,2648.201954,65088.99624,80.3389585,NA,-200960.5594,401927.1188,62635.73525,62635.73525,62635.73525,NA,NA,-202043.5099,404089.0199,-7023.959987,-9185.861015,6282.039435,6282.039435,87762.41547,NA,4833.160745,-197533.8744,395073.7489,-170.590041,6853.369946,9015.270974
g1,n10e4,td100,l99,n500,n200,rad10k,exp,2change,all,3,10255.79112,3608.158596,103493.641,95.82778704,10725.3639,-198945.3977,397900.7955,65323.8878,2687.542126,65323.8878,80.58342784,NA,-202412.0792,404830.1584,62962.50209,62962.50209,62962.50209,NA,NA,-203460.848,406923.696,-6929.362984,-9022.900523,6488.287895,6488.287895,87243.40313,NA,4886.309416,-199036.6356,398079.2712,-178.4757435,6750.887241,8844.424779
g1,n10e4,td100,l99,n500,n200,rad10k,exp,2change,all,4,9748.529003,3470.051086,98927.46905,119.9997037,9345.143209,-197010.9391,394031.8782,64687.61055,2220.981624,64687.61055,89.9335018,NA,-200523.4046,401052.8092,62553.31808,62553.31808,62553.31808,NA,NA,-201434.1213,402870.2426,-7020.93107,-8838.364489,6713.215135,6713.215135,87374.42804,NA,5092.320505,-197081.6474,394169.2947,-137.4165751,6883.514495,8700.947913
g1,n10e4,td100,l99,n500,n200,rad10k,exp,2change,all,5,10981.63914,3263.47388,280378.0117,109.3071525,35596.38103,-197051.5829,394113.1657,66053.4568,1051469.306,66053.4568,10.00002493,NA,-201139.7962,402285.5923,61993.63214,61993.63214,61993.63214,NA,NA,-201394.4015,402790.803,-8172.426571,-8677.637298,6619.63061,6619.63061,84716.68659,NA,4904.029299,-197130.2691,394266.5383,-153.3725129,8019.054058,8524.264785
g1,n10e4,constant,constant,n500,n50,rad10k,exp,2change,all,1,10221.8865,8602.777986,95450.12977,47.11441686,9239.384324,-134010.5291,268031.0583,65150.50865,5000000,65150.50865,13.64718862,NA,-136451.675,272909.35,64706.40147,64706.40147,64706.40147,NA,NA,-136441.0639,272884.1278,-4878.291726,-4853.069518,9899.90577,9899.90577,94421.63801,NA,8721.715597,-134011.2778,268028.5555,2.502747568,4880.794474,4855.572265
g1,n10e4,constant,constant,n500,n50,rad10k,exp,2change,all,2,10113.63481,15431.81418,102083.7121,79.41217579,10543.02464,-133546.7124,267103.4248,65540.37341,5000000,65540.37341,13.92766909,NA,-136045.298,272096.5961,65151.33428,65151.33428,65151.33428,NA,NA,-136032.455,272066.91,-4993.171256,-4963.485172,10486.13178,10486.13178,104060.0351,NA,11368.45668,-133547.8664,267101.7328,1.692033422,4994.86329,4965.177206
g1,n10e4,constant,constant,n500,n50,rad10k,exp,2change,all,3,9750.621389,11366.90433,102578.1949,76.02121799,10216.72486,-133440.6902,266891.3804,65525.95002,5000000,65525.95002,13.43346572,NA,-135992.9077,271991.8153,65089.29499,65089.29499,65089.29499,NA,NA,-135987.3211,271976.6422,-5100.434926,-5085.261781,9918.386319,9918.386319,103445.2983,NA,10573.08584,-133440.9099,266887.8199,3.560533381,5103.99546,5088.822315
g1,n10e4,constant,constant,n500,n50,rad10k,exp,2change,all,4,10892.39362,11835.70074,147321.7449,10.0000001,20562.33922,-133324.3191,266658.6383,65253.04087,6421.647193,65253.04087,59.74101581,NA,-135784.2923,271574.5847,65092.41498,65092.41498,65092.41498,NA,NA,-135854.7416,271711.4832,-4915.946396,-5052.84491,10174.9154,10174.9154,104488.8477,NA,11095.83995,-133321.2694,266648.5389,10.09943591,4926.045831,5062.944346
g1,n10e4,constant,constant,n500,n50,rad10k,exp,2change,all,5,8719.185839,97429.43654,90007.66542,116.1176914,6582.576314,-134328.6356,268667.2712,65107.93813,34571.31943,65107.93813,17.08850338,NA,-136713.0498,273432.0996,65023.38961,65023.38961,65023.38961,NA,NA,-136765.2417,273532.4835,-4764.82839,-4865.212261,9957.536643,9957.536643,92917.06829,NA,8157.452171,-134339.523,268685.0461,-17.77483953,4747.05355,4847.437422
g1,n10e4,td190,l95,n500,n50,rad10k,exp,2change,all,1,10039.15765,4947.998003,95460.83831,117.1343299,9638.235367,-130663.6704,261337.3408,63309.36527,2989.333008,63309.36527,73.25589935,NA,-132937.1872,265880.3745,63114.23172,63114.23172,63114.23172,NA,NA,-133060.3043,266122.6086,-4543.033654,-4785.26779,9296.823459,9296.823459,92832.11333,NA,8379.134951,-130667.7255,261341.4509,-4.11010263,4538.923551,4781.157687
g1,n10e4,td190,l95,n500,n50,rad10k,exp,2change,all,2,11250.93268,7351.91613,101070.7233,85.1414365,12019.68746,-132222.1787,264454.3575,64279.29819,8311.674488,64279.29819,49.1753058,NA,-134466.9871,268939.9742,64106.43528,64106.43528,64106.43528,NA,NA,-134570.7027,269143.4054,-4485.616752,-4689.047892,10818.93669,10818.93669,98904.86822,NA,11045.25328,-132223.844,264453.6881,0.669405225,4486.286157,4689.717297
g1,n10e4,td190,l95,n500,n50,rad10k,exp,2change,all,3,10198.51031,5640.456882,100376.6812,119.3031914,10598.75983,-132144.884,264299.7679,64302.39273,2083.163636,64302.39273,85.99092406,NA,-134502.2984,269010.5968,64082.27753,64082.27753,64082.27753,NA,NA,-134611.3584,269224.7168,-4710.828877,-4924.948879,9659.498116,9659.498116,97944.1968,NA,9533.771551,-132147.2314,264300.4629,-0.694982133,4710.133895,4924.253897
g1,n10e4,td190,l95,n500,n50,rad10k,exp,2change,all,4,10145.68381,5125.033564,97430.67269,119.9552804,9879.732784,-132302.5479,264615.0958,64474.80276,39050.49921,64474.80276,11.65324189,NA,-134636.2404,269278.4808,64001.39883,64001.39883,64001.39883,NA,NA,-134755.2837,269512.5674,-4663.385037,-4897.47166,9495.753241,9495.753241,94966.27415,NA,8734.564444,-132305.9392,264617.8784,-2.782674637,4660.602363,4894.688985
g1,n10e4,td190,l95,n500,n50,rad10k,exp,2change,all,5,10194.50494,4070.599784,104275.778,119.7773142,11184.32591,-133377.8369,266765.6737,64918.07434,1541.444919,64918.07434,92.69405068,NA,-135807.7294,271621.4587,64671.16683,64671.16683,64671.16683,NA,NA,-135940.479,271882.958,-4855.784985,-5117.284239,10510.70257,10510.70257,301913.9849,NA,35610.68978,-133393.5614,266793.1229,-27.44913536,4828.335849,5089.835103
g1,n10e4,td100,l99,n500,n50,rad10k,exp,2change,all,1,9991.077835,3058.409234,102973.7534,119.9967704,10725.64422,-132814.8563,265639.7126,64701.8698,1667.077465,64701.8698,84.99520381,NA,-135232.6387,270471.2775,64432.73031,64432.73031,64432.73031,NA,NA,-135398.3104,270798.6207,-4831.564922,-5158.908157,8539.2599,8539.2599,96199.18112,NA,7935.237361,-132829.8934,265665.7868,-26.07419774,4805.490725,5132.833959
g1,n10e4,td100,l99,n500,n50,rad10k,exp,2change,all,2,10068.47321,3045.774699,105824.1067,106.3569352,11181.80243,-134119.6657,268249.3314,65376.39663,2363.524677,65376.39663,73.3780913,NA,-136561.0026,273128.0052,65116.29684,65116.29684,65116.29684,NA,NA,-136756.6996,273515.3993,-4878.673799,-5266.067824,8297.10611,8297.10611,97001.60077,NA,7667.423591,-134138.7356,268283.4712,-34.13977675,4844.534023,5231.928047
g1,n10e4,td100,l99,n500,n50,rad10k,exp,2change,all,3,11764.43354,2752.251166,116266.7601,119.1431757,15830.13517,-134342.6385,268695.277,65414.63344,2077.056316,65414.63344,77.39558273,NA,-136657.1758,273320.3516,65130.86448,65130.86448,65130.86448,NA,NA,-136839.0496,273680.0992,-4625.074622,-4984.8222,10261.86701,10261.86701,104071.7973,NA,11312.2818,-134365.7656,268737.5312,-42.2542539,4582.820368,4942.567946
g1,n10e4,td100,l99,n500,n50,rad10k,exp,2change,all,4,9836.493556,2783.532371,101178.5096,119.7554338,10110.75541,-133178.8371,266367.6742,64831.95987,1574.782829,64831.95987,85.34359538,NA,-135605.8802,271217.7604,64526.41243,64526.41243,64526.41243,NA,NA,-135781.4055,271564.8111,-4850.086182,-5197.13692,8212.920043,8212.920043,94455.11214,NA,7262.754637,-133196.8643,266399.7285,-32.05434911,4818.031833,5165.08257
g1,n10e4,td100,l99,n500,n50,rad10k,exp,2change,all,5,10190.98469,3304.299401,97440.43049,118.0974179,9800.286965,-132822.342,265654.684,64492.55052,2345.368635,64492.55052,75.33623666,NA,-135143.846,270293.6919,64238.58398,64238.58398,64238.58398,NA,NA,-135309.9258,270621.8516,-4639.007859,-4967.167545,8849.785573,8849.785573,92756.6826,NA,7596.501546,-132835.6151,265677.2301,-22.54608776,4616.461771,4944.621457
g1,n10e4,constant,constant,n500,n100,rad50k,exp,2change,all,1,10161.22396,8566.093241,98751.08305,75.40817472,9760.892444,-827302.8308,1654615.662,65425.59267,34322.83743,65425.59267,16.9184269,NA,-841955.6202,1683917.24,65082.61938,65082.61938,65082.61938,NA,NA,-842957.8939,1685917.788,-29301.5788,-31302.12609,9789.3718,9789.3718,97148.59133,NA,9092.42552,-827307.4806,1654620.961,-5.29955466,29296.27925,31296.82654
g1,n10e4,constant,constant,n500,n100,rad50k,exp,2change,all,2,9948.856225,11082.71683,101470.8542,76.24892147,10253.55569,-822482.593,1644975.186,65241.26068,35376.57866,65241.26068,17.06977218,NA,-837392.4308,1674790.862,64989.25387,64989.25387,64989.25387,NA,NA,-838115.9424,1676233.885,-29815.67559,-31258.69881,10148.40891,10148.40891,102524.579,NA,10667.4592,-822484.2011,1644974.402,0.78387087,29816.45946,31259.48269
g1,n10e4,constant,constant,n500,n100,rad50k,exp,2change,all,3,10871.01175,11585.25207,107626.5291,64.6872991,12591.47372,-817740.8942,1635491.788,65083.64987,12750.04946,65083.64987,45.29464284,NA,-832536.4542,1665078.908,64765.17425,64765.17425,64765.17425,NA,NA,-833298.5365,1666599.073,-29587.12,-31107.28468,10255.48058,10255.48058,103157.24,NA,10967.41948,-817733.3939,1635472.788,19.00048507,29606.12048,31126.28516
g1,n10e4,constant,constant,n500,n100,rad50k,exp,2change,all,4,10166.83536,8476.388751,102664.2348,119.6210857,10682.97676,-823374.9578,1646759.916,65360.90728,6791.738767,65360.90728,61.90586736,NA,-838252.3928,1676510.786,65038.167,65038.167,65038.167,NA,NA,-839144.8217,1678291.643,-29750.86999,-31531.72781,9905.507149,9905.507149,101243.8847,NA,10136.87791,-823377.8723,1646761.745,-1.82902332,29749.04097,31529.89879
g1,n10e4,constant,constant,n500,n100,rad50k,exp,2change,all,5,10043.59736,12355.64907,102055.5904,106.5116245,10417.42929,-821931.2232,1643872.446,65419.85612,10153.22019,65419.85612,52.40628882,NA,-836850.3079,1673706.616,65120.54442,65120.54442,65120.54442,NA,NA,-837579.5148,1675161.03,-29834.16944,-31288.58322,10333.81706,10333.81706,103724.9633,NA,11055.03863,-821934.6179,1643875.236,-2.78934123,29831.3801,31285.79388
g1,n10e4,td190,l95,n500,n100,rad50k,exp,2change,all,1,10128.62016,6080.394211,101755.4122,119.9980855,10297.37542,-828436.3181,1656882.636,65666.66297,3344.778004,65666.66297,80.33091199,NA,-843422.2189,1686850.438,65179.19854,65179.19854,65179.19854,NA,NA,-844532.1281,1689066.256,-29967.80164,-32183.62014,9320.007147,9320.007147,98100.58873,NA,8817.050387,-828463.1129,1656932.226,-49.58961029,29918.21203,32134.03053
g1,n10e4,td190,l95,n500,n100,rad50k,exp,2change,all,2,10412.85268,5182.735819,103168.8613,119.9998245,11131.61766,-821275.6246,1642561.249,65058.45788,2392.617612,65058.45788,91.23823819,NA,-836013.435,1672032.87,64595.64212,64595.64212,64595.64212,NA,NA,-837201.2801,1674404.56,-29471.62086,-31843.31112,9244.831637,9244.831637,97351.205,NA,8832.687399,-821328.7832,1642663.566,-102.3171636,29369.30369,31740.99396
g1,n10e4,td190,l95,n500,n100,rad50k,exp,2change,all,3,10015.3355,7106.099213,99345.7714,119.9894982,10049.50128,-817664.9329,1635339.866,64591.2281,42138.67196,64591.2281,11.40838258,NA,-832388.8895,1664783.779,64265.08785,64265.08785,64265.08785,NA,NA,-833303.4885,1666608.977,-29443.91334,-31269.11123,9482.791436,9482.791436,96898.77749,NA,9057.847952,-817675.8986,1635357.797,-17.93140512,29425.98193,31251.17983
g1,n10e4,td190,l95,n500,n100,rad50k,exp,2change,all,4,10293.1661,5461.268997,100528.227,119.9943058,10267.0638,-828566.1409,1657142.282,65415.49341,41934.57427,65415.49341,11.61348382,NA,-843470.7901,1686947.58,65079.32606,65079.32606,65079.32606,NA,NA,-844488.3273,1688978.655,-29805.29859,-31836.37296,9234.305884,9234.305884,96042.32913,NA,8406.931463,-828609.2841,1657224.568,-82.28657085,29723.01202,31754.08639
g1,n10e4,td190,l95,n500,n100,rad50k,exp,2change,all,5,10325.34576,5344.883458,99671.49199,119.9791464,10276.3758,-823411.4769,1646832.954,64960.71036,2594.537022,64960.71036,87.82004471,NA,-838006.4667,1676018.933,64528.35013,64528.35013,64528.35013,NA,NA,-839169.0351,1678340.07,-29185.97959,-31507.1164,9228.591698,9228.591698,95046.30027,NA,8345.580468,-823457.8659,1646921.732,-88.77785278,29097.20174,31418.33855
g1,n10e4,td100,l99,n500,n100,rad50k,exp,2change,all,1,10207.74121,2820.966363,99539.39398,119.996646,10230.85587,-820944.4623,1641898.925,64604.40998,1995.417326,64604.40998,84.39548593,NA,-835428.3497,1670862.699,63955.71414,63955.71414,63955.71414,NA,NA,-837545.2205,1675092.441,-28963.77489,-33193.51637,7333.094374,7333.094374,88524.39149,NA,5742.60329,-821215.9073,1642437.815,-538.8900824,28424.88481,32654.62629
g1,n10e4,td100,l99,n500,n100,rad50k,exp,2change,all,2,10036.23571,3066.803781,99132.28594,111.1861217,9701.899098,-829793.121,1659596.242,65233.74562,2291.65612,65233.74562,80.15384039,NA,-844508.6434,1689023.287,64601.80251,64601.80251,64601.80251,NA,NA,-846648.799,1693299.598,-29427.04494,-33703.35599,7218.541773,7218.541773,88967.10862,NA,5530.202879,-830034.3986,1660074.797,-478.5553504,28948.48959,33224.80064
g1,n10e4,td100,l99,n500,n100,rad50k,exp,2change,all,3,9933.418195,3177.32726,99293.85125,114.1692365,9540.838874,-831784.6282,1663579.256,65546.0142,2544.269728,65546.0142,77.559808,NA,-846617.0525,1693240.105,64923.415,64923.415,64923.415,NA,NA,-848723.0544,1697448.109,-29660.84845,-33868.85231,7299.15471,7299.15471,89759.75945,NA,5647.431603,-831999.1865,1664004.373,-425.1165634,29235.73189,33443.73575
g1,n10e4,td100,l99,n500,n100,rad50k,exp,2change,all,4,9912.953964,3463.021786,101998.6835,115.2245061,10145.53391,-827139.4354,1654288.871,65373.35817,2346.904016,65373.35817,81.79666787,NA,-842187.2092,1684380.418,64791.08927,64791.08927,64791.08927,NA,NA,-844058.235,1688118.47,-30091.54772,-33829.59927,7667.876726,7667.876726,92542.50414,NA,6439.857205,-827309.6796,1654625.359,-336.4884226,29755.0593,33493.11085
