gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,3364.31,9762.92
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4177.56,8276.53
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,3451.98,7235
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,1911.82,5684.64
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4861.94,10331.8
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3308.87,9528.02
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3198.75,9141.12
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3059.24,9803.98
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3219.44,8635.09
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,4222,10688.6
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3192.27,9979
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3509.23,9839.18
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3496.61,10872.4
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3249.47,9548.49
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3143.06,9714.12
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,3329.58,10860.3
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1640.41,10009.6
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,4687.59,12796.4
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1736.05,11683.3
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,2346.46,10482.2
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2316.8,9289.35
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2921.44,10248.1
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,3283.03,11728.7
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2548.1,9693.33
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,3433.73,13080.8
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2630.4,10227.8
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,3071.44,11451.5
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2964.82,11131.9
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,3058.96,10861
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,3168.69,11683.9
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,5346.99,8453.34
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,15151.6,19553.8
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,35013.6,10094.3
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,9541.61,11879.6
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,7082.45,13071
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,7543.19,9732.85
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,8863.04,10219.7
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,10249.7,9818.08
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,11139.7,12488.3
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,12366.9,12266.5
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10744.3,11221.4
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10741.9,11109.3
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9889.19,11953.3
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,11032.2,11636.4
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10406.6,10296.2
