gentime,NeAnc,td,lambda,maxn,sampn,data,maf,Model,scheme,Nh,Nc,T,lnL,AIC,Nh_Cons,Nc_Cons,lnL_Cons,AIC_Cons,delta
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12353.97563,241.5034141,119.9344446,-282053.5683,564113.1366,2445.742809,2445.742809,-301277.8342,602557.6685,-38444.53184
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12293.12282,239.1509717,119.9374087,-279967.2408,559940.4816,2436.398733,2436.398733,-299191.1118,598384.2236,-38443.74208
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12385.64517,232.4095706,119.9579281,-278982.4223,557970.8445,2419.749246,2419.749246,-298590.9877,597183.9754,-39213.13092
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12575.85932,229.3504722,119.9464542,-280322.2285,560650.457,2421.464369,2421.464369,-300175.7194,600353.4389,-39702.98184
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12115.16003,240.4060891,119.9909995,-279207.895,558421.79,2424.145443,2424.145443,-298295.0367,596592.0734,-38170.2834
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,25910.31291,19.78799043,117.6720721,-1505014.514,3010035.028,1097.980018,1097.980018,-1792558.795,3585119.59,-575084.5621
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26630.81438,19.80699476,119.9023804,-1505252.938,3010511.875,1097.51282,1097.51282,-1794473.873,3588949.747,-578437.8712
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26348.42395,19.90399574,119.9361725,-1504156.183,3008318.365,1097.773602,1097.773602,-1792847.67,3585697.341,-577378.9753
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26215.74448,20.13383531,119.9330163,-1505661.791,3011329.583,1098.628007,1098.628007,-1793529.156,3587060.313,-575730.73
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26271.72094,20.47844438,119.9296042,-1508187.173,3016380.345,1100.517195,1100.517195,-1795687.468,3591376.936,-574996.5914
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10196.87894,1730.251178,117.6060005,-143591.4005,287188.801,6227.328195,6227.328195,-144887.7273,289777.4545,-2588.653522
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10641.25952,1563.581842,118.0261135,-145206.9323,290419.8646,6225.906812,6225.906812,-146765.5938,293533.1877,-3113.32306
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10456.67171,1730.110495,119.9748166,-146414.8993,292835.7986,6296.170209,6296.170209,-147794.0593,295590.1187,-2754.320067
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10399.0678,1744.09301,119.9608155,-144375.0609,288756.1218,6312.252507,6312.252507,-145720.354,291442.708,-2686.586195
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10437.14385,1636.829108,119.99691,-143737.0605,287480.121,6195.336331,6195.336331,-145203.8746,290409.7491,-2929.628079
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,12686.94518,255.5145943,114.7549065,-57697.06744,115400.1349,2697.401482,2697.401482,-61363.2148,122728.4296,-7328.294717
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11847.00602,268.6155761,119.5136323,-56689.69346,113385.3869,2585.177264,2585.177264,-60251.82512,120505.6502,-7120.263327
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11922.18097,265.4326921,118.7708192,-56387.0348,112780.0696,2621.284039,2621.284039,-59955.26864,119912.5373,-7132.467681
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11714.95478,264.9238252,117.6779622,-56899.83064,113805.6613,2585.190263,2585.190263,-60440.85719,120883.7144,-7078.053113
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11915.76383,255.5064632,118.4198943,-56809.26855,113624.5371,2562.611416,2562.611416,-60451.45613,120904.9123,-7280.375156
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,25262.299,20.99863211,119.4654525,-301584.701,603175.402,1107.52049,1107.52049,-358556.8488,717115.6975,-113940.2955
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,25041.51305,21.39121186,119.6015925,-301620.2241,603246.4482,1110.381843,1110.381843,-358377.6269,716757.2539,-113510.8057
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,24827.75657,21.48914479,119.9701775,-301841.758,603689.5161,1109.364128,1109.364128,-358560.8726,717123.7452,-113434.2291
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,25143.46432,21.15767912,119.7812028,-301249.6872,602505.3745,1111.645933,1111.645933,-358096.2996,716194.5991,-113689.2247
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,26151.72917,21.79569564,119.9739678,-302687.6763,605381.3526,1120.248628,1120.248628,-359598.3743,719198.7485,-113817.3959
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10281.12681,2746.56703,119.3614325,-28484.29033,56974.58065,7665.430397,7665.430397,-28608.30534,57218.61068,-244.0300322
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10967.06974,2536.338473,119.8653152,-29810.332,59626.66401,7884.475152,7884.475152,-29968.08242,59938.16484,-311.5008325
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10135.99784,2700.35916,119.9829659,-28994.48035,57994.96071,7463.593834,7463.593834,-29122.53664,58247.07329,-252.1125808
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10232.29339,2482.494786,119.9869831,-29002.35544,58010.71087,7346.014689,7346.014689,-29149.84097,58301.68195,-290.9710733
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10158.10927,2589.108784,119.9659671,-28804.52388,57615.04776,7314.658935,7314.658935,-28943.83285,57889.6657,-274.6179449
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12174.54092,270.0764091,119.9201147,-284951.3723,569908.7446,2624.838749,2624.838749,-302877.1484,605756.2969,-35847.55232
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12034.65873,272.1694711,119.829277,-283467.8641,566941.7282,2633.183125,2633.183125,-301165.8273,602333.6546,-35391.92633
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12120.06529,273.3939488,119.9569805,-285108.1842,570222.3683,2645.961897,2645.961897,-302815.933,605633.866,-35411.49769
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,11992.20899,273.3424519,119.9648283,-282843.0961,565692.1922,2636.64872,2636.64872,-300481.0646,600964.1292,-35271.93701
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12156.75535,271.0232932,119.9939816,-285153.9197,570313.8394,2624.772629,2624.772629,-303013.1926,606028.3853,-35714.54591
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25502.23785,21.51758914,119.6592572,-1511019.457,3022044.914,1113.402119,1113.402119,-1795254.224,3590510.448,-568465.5343
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25466.13377,21.46567294,119.6894404,-1511214.212,3022434.423,1112.760733,1112.760733,-1795395.559,3590793.118,-568358.6945
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25290.68844,21.43126115,119.8180151,-1509500.44,3019006.881,1112.698745,1112.698745,-1793531.075,3587064.15,-568057.2689
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25227.86848,21.41576353,119.9821731,-1508849.461,3017704.922,1112.804409,1112.804409,-1792843.232,3585688.464,-567983.5417
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25392.33117,21.61072272,119.8764695,-1511331.483,3022668.965,1113.491588,1113.491588,-1795249.596,3590501.192,-567832.2267
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10395.60099,2642.051316,119.9291651,-145308.1876,290622.3753,7582.951286,7582.951286,-145995.9675,291993.9351,-1371.559797
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10361.49177,2683.883043,119.9707889,-144634.6489,289275.2979,7603.623633,7603.623633,-145298.6184,290599.2368,-1323.938853
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10485.32047,2467.08891,119.3726929,-146986.57,293979.1401,7441.262878,7441.262878,-147773.4646,295548.9291,-1569.789068
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10515.50194,2662.445879,119.9955877,-146894.3765,293794.7531,7676.407397,7676.407397,-147583.7407,295169.4814,-1374.728329
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10551.5689,2444.214791,114.5593636,-147124.7173,294255.4346,7485.733753,7485.733753,-147890.5083,295783.0165,-1527.581872
