gentime,NeAnc,td,lambda,maxn,sampn,data,Model,scheme,Nh,Nc,T,lnL,AIC,NhC,NcC,lnLC,AICC,delta
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10297.771,37.17034036,10.0045481,-12344.30417,24694.60833,10039.97336,10039.97336,-12623.8991,25249.7982,-555.1898681
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11386.88936,244.9720755,10.00452034,-18765.80105,37537.6021,10676.04854,10676.04854,-18801.49318,37604.98636,-67.38426301
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11183.2482,5174.774365,58.75238649,-32113.56746,64233.13493,10771.1089,10771.1089,-32134.08516,64270.17032,-37.03539072
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10338.26568,34.47311273,10.012507,-12288.11984,24582.23968,10061.96419,10061.96419,-12581.19562,25164.39125,-582.1515645
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11487.73319,265.1078262,10.00180149,-18847.90973,37701.81946,10842.41837,10842.41837,-18879.15339,37760.30678,-58.48732574
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11225.7828,5592.845657,48.08470884,-32101.37924,64208.75849,10786.52802,10786.52802,-32126.15071,64254.30142,-45.54293019
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10228.31771,36.43855872,10.07776945,-12130.27385,24266.5477,9962.804803,9962.804803,-12414.02712,24830.05424,-563.5065473
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11460.62547,306.558504,10.04360927,-18550.30512,37106.61024,10905.08255,10905.08255,-18574.9771,37151.95419,-45.3439564
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11203.60859,9538.10593,11.34493553,-31639.23137,63284.46274,10835.13851,10835.13851,-31660.54279,63323.08558,-38.62283404
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10164.16479,34.16991852,10.00199135,-12170.04814,24346.09629,9889.51301,9889.51301,-12465.16922,24932.33843,-586.2421449
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11377.86729,296.1699737,10.00181591,-18665.09766,37336.19531,10788.01329,10788.01329,-18691.25735,37384.5147,-48.31938316
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11241.51505,9755.677512,10.2064355,-32079.95457,64165.90913,10852.06479,10852.06479,-32100.48452,64202.96905,-37.05991591
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,9857.727505,36.52013342,10.05592737,-11675.86451,23357.72903,9600.743651,9600.743651,-11949.6859,23901.3718,-543.6427673
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11000.82743,243.3593716,10.03268683,-17926.07959,35858.15919,10303.30213,10303.30213,-17959.75384,35921.50767,-63.34848701
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,10831.94188,8640.785886,16.025343,-30507.76456,61021.52912,10396.70533,10396.70533,-30529.9883,61061.9766,-40.44748586
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10064.30678,39.32112557,10.55249772,-60957.38518,121920.7704,9803.338677,9803.338677,-62378.0685,124758.137,-2837.366631
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11289.35499,287.4230632,10.30829749,-92907.16245,185820.3249,10667.2176,10667.2176,-93049.47644,186100.9529,-280.6279885
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11048.75706,4779.658741,61.76457478,-159029.2008,318064.4016,10605.84208,10605.84208,-159143.9887,318289.9774,-225.5757648
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10232.03019,35.07831253,10.02200259,-61044.22868,122094.4574,9961.070292,9961.070292,-62499.23843,125000.4769,-2906.019495
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11372.09007,257.4640186,10.00400378,-93412.37434,186830.7487,10700.53462,10700.53462,-93574.28945,187150.5789,-319.8302069
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11108.76713,6376.28798,39.86290378,-159329.9537,318665.9074,10683.2582,10683.2582,-159442.6238,318887.2476,-221.3401386
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10027.72394,36.62594487,10.14632594,-59942.51826,119891.0365,9762.983891,9762.983891,-61348.60407,122699.2081,-2808.171625
