gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Model,scheme,Nec,Neh,lnL,AIC_cons,Nec_change,Neh_change,T,lnL_change,AIC_change,delta,verdict
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0,1036.932639,1036.932639,-1410.747512,2823.495024,775.2880746,1038.292947,10.00000001,-1410.659794,2827.319588,-3.824564,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0t120,1113.667471,1113.667471,-2341.062942,4684.125885,1222.526112,1097.561392,61.10804956,-2340.9954,4687.9908,-3.864915,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,all,1066.50021,1066.50021,-3773.845027,7549.690055,1058.431049,1075.918619,40.38535716,-3773.829719,7553.659438,-3.969383,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0,968.6233179,968.6233179,-1306.721085,2615.442169,17093.43203,968.1579851,10.0019749,-1304.730429,2615.460858,-0.018689,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0t120,999.5643113,999.5643113,-2211.858275,4425.716549,963.3489951,1005.903684,61.10207014,-2211.846832,4429.693664,-3.977115,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,all,991.2785684,991.2785684,-3613.01264,7228.02528,1051.989086,939.7486402,46.89944761,-3612.497906,7230.995813,-2.970533,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0,940.8940677,940.8940677,-1342.237309,2686.474619,1006.31552,936.2976143,119.8457225,-1342.16976,2690.339521,-3.864902,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0t120,1066.633871,1066.633871,-2292.76982,4587.53964,639.4563918,1108.771339,26.24844189,-2292.098547,4590.197095,-2.657455,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,all,1035.812602,1035.812602,-3731.812807,7465.625614,1191.953333,988.4510991,119.9799841,-3731.436189,7468.872378,-3.246764,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0,1057.726018,1057.726018,-1405.529947,2813.059893,965.5735555,1060.450463,99.11960499,-1405.437833,2816.875666,-3.815773,RIGHTO
