gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Model,scheme,Nec,Neh,lnL,AIC_cons,Nec_change,Neh_change,T,lnL_change,AIC_change,delta,verdict
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0t120,994.7152052,994.7152052,-2271.899542,4545.799085,491.4882815,1019.203522,10.00343977,-2271.478666,4548.957332,-3.158247,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,all,1086.818613,1086.818613,-3720.033413,7442.066825,1212.591289,1043.849034,103.1101028,-3719.742978,7445.485956,-3.419131,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0,882.202118,882.202118,-1261.147825,2524.295649,1038.615425,875.3711462,119.9725592,-1260.796061,2527.592122,-3.296473,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,t0t120,1029.234065,1029.234065,-2080.27124,4162.542481,1269.724887,953.7683031,119.711162,-2079.187703,4164.375406,-1.832925,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n100,nomaf,Constant,all,1011.091658,1011.091658,-3346.532461,6695.064923,1308.12891,931.6759131,119.9920447,-3345.352606,6696.705212,-1.640289,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0,995.3957708,995.3957708,-6579.856904,13161.71381,942.5445671,996.2252423,99.13835559,-6579.706987,13165.41397,-3.70016,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0t120,1034.260942,1034.260942,-11136.17791,22274.35582,1003.122896,1039.641202,61.10093803,-11136.14055,22278.28111,-3.92529,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,all,1001.295186,1001.295186,-18128.67528,36259.35057,991.9696357,1013.493913,40.34252154,-18128.54577,36263.09154,-3.74097,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0,992.5575866,992.5575866,-6670.165699,13342.3314,726.3206004,998.4905237,56.66070001,-6666.551751,13339.1035,3.2279,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0t120,983.5584302,983.5584302,-11351.02265,22704.0453,411.0444,1018.730497,11.10016928,-11347.86663,22701.73327,2.31203,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,all,990.0276004,990.0276004,-18544.64583,37091.29165,967.0621745,1024.372368,40.43761535,-18543.67819,37093.35637,-2.06472,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0,932.814239,932.814239,-6386.35598,12774.71196,1156.980379,927.5723089,99.18074076,-6383.875674,12773.75135,0.96061,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0t120,957.9666159,957.9666159,-10661.52917,21325.05834,1108.444372,933.9424113,61.14843347,-10660.63534,21327.27068,-2.21234,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,all,979.5073047,979.5073047,-17358.56686,34719.13371,1137.23665,930.7606741,119.7660117,-17356.4257,34718.85141,0.2823,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0,939.2232977,939.2232977,-6440.165074,12882.33015,1122.21633,938.4687517,19.56102142,-6439.827125,12885.65425,-3.3241,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0t120,986.4466685,986.4466685,-10808.50966,21619.01932,1367.506871,970.5721986,21.03481619,-10807.8472,21621.6944,-2.67508,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,all,985.0527149,985.0527149,-17768.93335,35539.8667,1007.413927,972.1173509,72.79405435,-17768.79865,35543.5973,-3.7306,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0,978.7848639,978.7848639,-6845.720822,13693.44164,1164.302402,975.3107975,99.08951378,-6844.074243,13694.14849,-0.70685,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,t0t120,980.0756117,980.0756117,-11486.95264,22975.90528,1044.138748,969.0558607,61.11300648,-11486.77391,22979.54782,-3.64254,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n100,nomaf,Constant,all,1011.489302,1011.489302,-18835.9957,37673.99139,1028.499158,1044.103309,10.13371927,-18834.94276,37675.88552,-1.89413,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0,989.9261938,989.9261938,-676641.7785,1353285.557,1043.54923,988.2416445,115.1370123,-676624.7016,1353255.403,30.154,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0t120,997.9634036,997.9634036,-1124275.31,2248552.621,1040.356766,989.5816878,69.41178568,-1124265.901,2248537.801,14.82,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,all,983.008795,983.008795,-1845864.92,3691731.841,960.7768281,992.9178961,94.82023611,-1845856.86,3691719.721,12.12,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0,1005.984479,1005.984479,-685448.7735,1370899.547,995.6111732,1006.272467,115.1319406,-685448.1243,1370902.249,-2.702,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0t120,1010.008929,1010.008929,-1141484.179,2282970.358,1007.960742,1010.467071,69.41685032,-1141484.163,2282974.326,-3.968,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,all,986.390177,986.390177,-1874018.289,3748038.578,970.2104294,993.7317557,94.81960421,-1874014.013,3748034.026,4.552,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0,1002.525566,1002.525566,-681409.3535,1362820.707,994.2558017,1002.753873,115.1318875,-681408.9412,1362823.882,-3.175,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0t120,1023.25747,1023.25747,-1130485.49,2260972.98,1063.86364,1015.341476,69.44669726,-1130477.332,2260960.663,12.317,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,all,1015.264683,1015.264683,-1856175.893,3712353.786,1032.093574,1008.296494,94.83241334,-1856171.94,3712349.879,3.907,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0,993.1166177,993.1166177,-678450.4906,1356902.981,1010.072926,992.6553896,115.1309956,-678448.7659,1356903.532,-0.551,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0t120,1014.179873,1014.179873,-1125508.699,2251019.397,1071.332312,1003.152517,69.44026461,-1125492.689,2250991.378,28.019,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,all,1022.108733,1022.108733,-1847489.441,3694980.883,1084.254949,1002.258673,111.171309,-1847457.094,3694920.188,60.695,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0,991.5771001,991.5771001,-680598.7764,1361199.553,1022.144485,990.6797889,115.133017,-680593.1461,1361192.292,7.261,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,t0t120,1008.275394,1008.275394,-1131702.479,2263406.958,1032.496671,1003.444257,69.42264609,-1131699.378,2263404.756,2.202,WRONGO
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,Constant,all,1002.090744,1002.090744,-1847751.584,3695505.168,1037.752923,989.7021733,117.2439883,-1847738.312,3695482.623,22.545,WRONGO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0,965.9492482,965.9492482,-1650.646717,3303.293434,3392.32516,968.7621572,10.00011903,-1648.408,3302.816001,0.477433,WRONGO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0t120,959.4070453,959.4070453,-2897.811364,5797.622728,996.8510093,943.694524,114.0081703,-2897.74617,5801.49234,-3.869612,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,all,1018.619188,1018.619188,-4730.668321,9463.336642,1036.644787,1000.658745,56.25225694,-4730.604462,9467.208925,-3.872283,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0,937.8591193,937.8591193,-1692.732574,3387.465148,539.1437602,942.0872555,10.00582323,-1691.763777,3389.527554,-2.062406,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0t120,1056.806324,1056.806324,-2971.811597,5945.623194,1019.427194,1073.175132,114.0095554,-2971.753637,5949.507275,-3.884081,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,all,1080.449058,1080.449058,-4955.885314,9913.770629,1069.121336,1093.0268,56.26376002,-4955.858837,9917.717674,-3.947045,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0,880.3893126,880.3893126,-1592.448078,3186.896157,1072.036753,879.3371499,66.27678002,-1591.931375,3189.86275,-2.966593,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0t120,994.4303024,994.4303024,-2707.4562,5416.912401,1093.198473,955.1523959,114.0078087,-2707.082468,5420.164936,-3.252535,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,all,1014.241575,1014.241575,-4443.578867,8889.157735,1150.097901,946.4446505,95.01545824,-4442.688214,8891.376428,-2.218693,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0,1045.545556,1045.545556,-1777.611045,3557.222091,905.741713,1049.613663,66.31989123,-1777.310702,3560.621404,-3.399313,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0t120,1111.725986,1111.725986,-3003.883626,6009.767252,1108.795887,1112.946502,114.0040872,-3003.883339,6013.766678,-3.999426,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,all,1066.500402,1066.500402,-4987.84687,9977.69374,1119.906353,1032.280549,80.14374271,-4987.641756,9981.283513,-3.589773,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0,1052.841416,1052.841416,-1762.498139,3526.996278,985.8372936,1054.255305,66.31618847,-1762.437496,3530.874991,-3.878713,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,t0t120,1025.176263,1025.176263,-2894.079882,5790.159765,1101.245185,992.5832879,114.0150423,-2893.849656,5793.699312,-3.539547,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n200,nomaf,Constant,all,1052.936613,1052.936613,-4821.79367,9645.58734,1029.564906,1011.08581,10.00191094,-4821.301996,9648.603991,-3.016651,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0,991.1218494,991.1218494,-8272.644333,16547.28867,1002.927599,990.9111394,66.32884397,-8272.634915,16551.26983,-3.98116,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0t120,1021.78066,1021.78066,-14247.0906,28496.18119,980.6030138,1041.126913,119.7068229,-14246.70236,28499.40472,-3.22353,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,all,1032.737085,1032.737085,-23874.92635,47751.85269,1033.871605,1031.495333,56.24580671,-23874.92498,47755.84995,-3.99726,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0,939.392567,939.392567,-8144.784464,16291.56893,1003.807507,937.7359658,66.33688439,-8144.471423,16294.94285,-3.37392,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0t120,972.723721,972.723721,-13862.05059,27726.10118,1000.312743,960.6978221,114.0080398,-13861.87938,27729.75876,-3.65758,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,all,1013.234924,1013.234924,-23270.62451,46543.24901,1060.581444,987.7515205,103.073324,-23270.04635,46546.09269,-2.84368,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0,991.9550983,991.9550983,-8378.306001,16758.612,817.8421306,993.490274,66.38233992,-8375.857865,16757.71573,0.89627,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0t120,971.7712115,971.7712115,-14515.39148,29032.78297,831.7114537,1045.769043,114.0010965,-14509.84311,29025.68622,7.09675,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,all,1013.856122,1013.856122,-24267.27202,48536.54404,1022.134918,1054.712272,20.7424409,-24265.47691,48536.95381,-0.40977,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0,929.5516476,929.5516476,-8045.467697,16092.93539,1094.044881,925.2679191,66.33642839,-8043.581729,16093.16346,-0.22807,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0t120,959.2810499,959.2810499,-13761.3138,27524.62759,1030.215304,929.4550946,114.0077203,-13760.21251,27526.42502,-1.79743,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,all,999.083824,999.083824,-22767.48807,45536.97614,1091.882111,954.5050943,109.0504216,-22765.58523,45537.17046,-0.19432,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0,976.6083855,976.6083855,-8594.515574,17191.03115,1071.718773,974.7351663,66.30664869,-8593.894906,17193.78981,-2.75866,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,t0t120,976.8042998,976.8042998,-14834.24557,29670.49114,1007.422849,963.2125748,114.0086868,-14834.02409,29674.04818,-3.55704,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n200,nomaf,Constant,all,1011.800617,1011.800617,-24822.5304,49647.0608,1023.88237,1041.73244,15.19560248,-24821.43871,49648.87742,-1.81662,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0,1001.682127,1001.682127,-339329.4358,678660.8717,1021.594895,1001.130737,115.1331834,-339328.9775,678663.9549,-3.0832,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0t120,1003.95194,1003.95194,-544826.3997,1089654.799,1031.61973,1001.898008,69.18113714,-544825.8819,1089657.764,-2.965,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,all,1005.606358,1005.606358,-875426.4035,1750854.807,1091.573269,999.3375321,94.76187923,-875418.2362,1750842.472,12.335,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0,1006.649863,1006.649863,-341479.5507,682961.1015,999.1260997,1006.876144,115.1332966,-341479.4832,682964.9665,-3.865,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0t120,1013.105498,1013.105498,-547891.8404,1095785.681,1225.260258,999.4156837,69.1878832,-547868.3645,1095742.729,42.952,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,all,1012.97327,1012.97327,-882697.6314,1765397.263,1122.900993,1005.273689,94.82892915,-882685.1741,1765376.348,20.915,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0,987.8662723,987.8662723,-334432.1292,668866.2583,1032.536371,986.5582803,115.1329059,-334429.8006,668865.6011,0.6572,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0t120,975.02511,975.02511,-537136.612,1074275.224,942.5341808,977.6688273,69.17777169,-537135.7603,1074277.521,-2.297,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,all,994.8704368,994.8704368,-867940.1976,1735882.395,1046.668025,990.9152527,94.82102272,-867936.9961,1735879.992,2.403,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0,992.2037083,992.2037083,-337678.3146,675358.6291,1067.73868,990.202031,115.1296785,-337671.9748,675349.9495,8.6796,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0t120,994.2028582,994.2028582,-538496.8748,1076995.75,1090.008324,987.4189122,69.17956043,-538491.0954,1076988.191,7.559,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,all,1000.86844,1000.86844,-871502.1996,1743006.399,1035.394408,998.3079234,94.73672868,-871500.8228,1743007.646,-1.247,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0,988.8466996,988.8466996,-337357.7212,674717.4424,1034.805727,987.4296372,115.1337186,-337355.1742,674716.3484,1.094,WRONGO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,t0t120,991.0720132,991.0720132,-541562.4042,1083126.808,999.5968067,990.4180973,69.1807089,-541562.3507,1083130.701,-3.893,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,Constant,all,989.2876078,989.2876078,-872575.2832,1745152.566,950.1562398,992.5613169,94.76467487,-872573.157,1745152.314,0.252,WRONGO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0,931.774117,931.774117,-1011.900035,2025.80007,951.0338651,930.9347328,99.11545126,-1011.897149,2029.794299,-3.994229,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0t120,1028.537408,1028.537408,-1693.249206,3388.498411,741.7806032,1074.879147,60.9099643,-1692.775297,3391.550594,-3.052183,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,all,1015.470342,1015.470342,-2754.310624,5510.621247,1042.096011,998.3581975,39.91940423,-2754.25369,5514.507381,-3.886134,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0,1030.018304,1030.018304,-1080.868982,2163.737964,1123.091837,1028.28575,99.11757278,-1080.826012,2167.652024,-3.91406,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0t120,1078.930977,1078.930977,-1730.18571,3462.37142,921.0803487,1100.134103,61.20817402,-1730.089324,3466.178649,-3.807229,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,all,920.735402,920.735402,-2822.535065,5647.07013,739.8719395,1011.727479,62.25855514,-2820.986443,5647.972887,-0.902757,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0,970.951122,970.951122,-993.3060593,1988.612119,991.8602223,970.5666554,99.12023728,-993.3036013,1992.607203,-3.995084,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0t120,1005.310229,1005.310229,-1654.392493,3310.784986,994.0039306,1006.797228,61.05148641,-1654.391989,3314.783977,-3.998991,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,all,974.3898827,974.3898827,-2637.978009,5277.956018,1314.453332,920.179758,119.989753,-2637.326055,5280.65211,-2.696092,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0,1073.178303,1073.178303,-1093.393275,2188.78655,200.2989551,1084.737465,10.00533341,-1091.264278,2188.528555,0.257995,WRONGO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0t120,1061.626416,1061.626416,-1731.87968,3465.759361,1340.532174,991.9609281,119.9371735,-1731.137547,3468.275094,-2.515733,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,all,1010.228996,1010.228996,-2809.376916,5620.753832,1384.647111,947.4607109,119.9996934,-2808.5674,5623.1348,-2.380968,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0,881.1877161,881.1877161,-956.3403805,1914.680761,1183.465264,869.3375998,119.9765308,-955.6832604,1917.366521,-2.68576,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,t0t120,1000.264007,1000.264007,-1534.961138,3071.922275,1296.934054,936.0954192,118.835344,-1534.177822,3074.355645,-2.43337,RIGHTO
g1,n10e3,constant,constant,n500,rad10k,n50,nomaf,Constant,all,993.7351876,993.7351876,-2471.937955,4945.875911,1313.408763,939.8988213,100.9016472,-2471.296699,4948.593398,-2.717487,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0,992.8723476,992.8723476,-5174.009058,10350.01812,829.5101467,998.4333612,99.08867073,-5172.987112,10351.97422,-1.9561,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0t120,984.5365716,984.5365716,-8529.347865,17060.69573,768.2793132,1021.634452,60.97295004,-8527.936807,17061.87361,-1.17788,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,all,984.1692452,984.1692452,-13860.15891,27722.31783,942.3876239,1013.958541,39.75733705,-13859.29993,27724.59986,-2.28203,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0,979.728154,979.728154,-5220.403941,10442.80788,1166.603863,975.2121248,99.11963912,-5219.482414,10444.96483,-2.15695,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0t120,959.7473263,959.7473263,-8665.131559,17332.26312,1030.976177,949.9409986,61.04768392,-8665.024551,17336.0491,-3.78598,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,all,983.6347799,983.6347799,-13866.06049,27734.12098,989.4347357,1002.919585,10.03072391,-13865.60063,27737.20127,-3.08029,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0,931.4256661,931.4256661,-4886.708743,9775.417486,1263.840475,925.0478385,99.12118434,-4884.101546,9774.203093,1.214393,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0t120,939.8583494,939.8583494,-8012.630488,16027.26098,1208.766277,908.5216183,61.09373739,-8011.424846,16028.84969,-1.58871,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,all,967.8095078,967.8095078,-12801.54718,25605.09436,1219.758961,924.9768867,119.7422897,-12799.5995,25605.19899,-0.10463,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0,944.7556098,944.7556098,-4965.933189,9933.866379,2102.271563,942.0086863,18.56730722,-4964.209944,9934.419889,-0.55351,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0t120,969.7650464,969.7650464,-8138.27292,16278.54584,1175.190865,962.1616391,21.24817709,-8138.170738,16282.34148,-3.79564,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,all,950.0392685,950.0392685,-13144.6601,26291.3202,1040.150046,926.2092812,86.35025388,-13144.09752,26294.19505,-2.87485,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0,998.0055589,998.0055589,-5092.703677,10187.40735,966.2258567,998.2353394,99.14022402,-5092.67668,10191.35336,-3.94601,RIGHTO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,t0t120,971.6718415,971.6718415,-8379.52224,16761.04448,776.5035554,1023.370919,93.68806763,-8377.207306,16760.41461,0.62987,WRONGO
g1,n10e3,constant,constant,n500,rad50k,n50,nomaf,Constant,all,983.7767713,983.7767713,-13587.74946,27177.49892,995.5231914,1024.250407,10.02392331,-13585.88332,27177.76665,-0.26773,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0,1002.904767,1002.904767,-523266.7614,1046535.523,1007.367989,1002.783375,115.1293915,-523266.6948,1046539.39,-3.867,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0t120,1009.051531,1009.051531,-849594.1434,1699190.287,1014.600115,1008.262972,69.28647948,-849594.0466,1699194.093,-3.806,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,all,1013.680609,1013.680609,-1380765.257,2761532.515,1048.926497,1005.405271,94.80781317,-1380758.711,2761523.422,9.093,WRONGO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0,990.5246997,990.5246997,-520799.7807,1041601.561,1028.680399,989.4225863,115.1303453,-520794.8729,1041595.746,5.815,WRONGO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0t120,999.001569,999.001569,-848122.4947,1696246.989,1021.596125,995.5769736,69.28072534,-848121.1412,1696248.282,-1.293,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,all,1003.005322,1003.005322,-1372387.724,2744777.449,1030.951704,996.2965066,94.83212046,-1372383.405,2744772.811,4.638,WRONGO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0,988.8915279,988.8915279,-517128.0963,1034258.193,1058.660058,986.801719,115.1316541,-517112.2999,1034230.6,27.593,WRONGO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0t120,982.034503,982.034503,-843288.6525,1686579.305,999.4536015,979.3508803,69.26945267,-843287.7976,1686581.595,-2.29,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,all,977.5258928,977.5258928,-1370175.781,2740353.562,962.4994041,981.3956141,94.77740024,-1370174.353,2740354.706,-1.144,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0,1006.107818,1006.107818,-525974.4539,1051950.908,1004.71694,1006.156386,115.1301915,-525974.4474,1051954.895,-3.987,RIGHTO
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,Constant,t0t120,1001.200685,1001.200685,-858049.5025,1716101.005,1003.701725,1000.868176,69.28335538,-858049.4776,1716104.955,-3.95,RIGHTO
