gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,6002.802083,7801.647917
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,1657.786458,9866.626042
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4226.108073,9467.629167
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,7454.355208,6637.0375
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,1801.806901,9829.76875
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3724.613281,10053.54896
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,6358.847396,10783.73333
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,4515.015625,10047.87813
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2586.607292,9072.805208
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,1636.588411,9163.969792
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3033.048437,10194.98229
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,7833.930729,11917.93542
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,2194.945052,9870.525
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,2759.778646,9906.313542
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3036.358333,10227.44896
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1992.779818,11415.67083
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,2075.68125,10711.05833
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,6758.689063,9814.511458
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,2238.136979,10589.95313
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,7303.024479,8973.680208
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,5495.55625,9900.49375
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,1051.517578,10997.63958
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,5436.070313,9850.35625
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2190.31224,10428.53021
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,6204.401042,9131.832292
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2742.70599,10012.64479
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,4549.91875,11888.84792
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,5397.451563,10413.23333
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,5193.926563,10738.69896
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2061.234245,10111.60625
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,10139.84896,10228.01979
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,9628.558333,10021.025
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,9977.342708,10235.77813
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,9959.282292,9924.890625
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,9255.28125,9808.43125
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,8215.961979,10180.92188
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,8742.205208,10044.10833
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,9568.548958,10157.86875
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,9534.75,10099.2375
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,10015.05,9943.321875
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10949.98125,10073.96667
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,11499.96042,9962.039583
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9963.577083,10028.75417
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,10003.66354,10049.45521
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9934.133333,10104.16771
