gentime,nhist,td,l,nsamp,nloc,scheme,it,timepoint,maf,Ne
1,1.00E+04,100,99,50,10k,contemp,1,t0,0,Infinite
1,1.00E+04,100,99,50,10k,contemp,2,t0,0,215.3
1,1.00E+04,100,99,50,10k,contemp,3,t0,0,388
1,1.00E+04,100,99,50,10k,contemp,4,t0,0,285.9
1,1.00E+04,100,99,50,10k,contemp,5,t0,0,Infinite
1,1.00E+04,100,99,50,10k,2samp,1,t0,0,Infinite
1,1.00E+04,100,99,50,10k,2samp,2,t0,0,Infinite
1,1.00E+04,100,99,50,10k,2samp,3,t0,0,Infinite
1,1.00E+04,100,99,50,10k,2samp,4,t0,0,Infinite
1,1.00E+04,100,99,50,10k,2samp,5,t0,0,Infinite
1,1.00E+04,100,99,50,10k,2samp,1,t120,0,342
1,1.00E+04,100,99,50,10k,2samp,2,t120,0,496.9
1,1.00E+04,100,99,50,10k,2samp,3,t120,0,272.3
1,1.00E+04,100,99,50,10k,2samp,4,t120,0,411.9
1,1.00E+04,100,99,50,10k,2samp,5,t120,0,423.2
1,1.00E+04,100,99,50,10k,serial,1,t0,0,Infinite
1,1.00E+04,100,99,50,10k,serial,2,t0,0,Infinite
1,1.00E+04,100,99,50,10k,serial,3,t0,0,863.6
1,1.00E+04,100,99,50,10k,serial,4,t0,0,355.2
1,1.00E+04,100,99,50,10k,serial,5,t0,0,Infinite
1,1.00E+04,100,99,50,10k,serial,1,t30,0,Infinite
1,1.00E+04,100,99,50,10k,serial,2,t30,0,Infinite
1,1.00E+04,100,99,50,10k,serial,3,t30,0,Infinite
1,1.00E+04,100,99,50,10k,serial,4,t30,0,Infinite
1,1.00E+04,100,99,50,10k,serial,5,t30,0,Infinite
1,1.00E+04,100,99,50,10k,serial,1,t60,0,Infinite
1,1.00E+04,100,99,50,10k,serial,2,t60,0,86.9
1,1.00E+04,100,99,50,10k,serial,3,t60,0,797
1,1.00E+04,100,99,50,10k,serial,4,t60,0,Infinite
1,1.00E+04,100,99,50,10k,serial,5,t60,0,Infinite
1,1.00E+04,100,99,50,10k,serial,1,t90,0,182.1
1,1.00E+04,100,99,50,10k,serial,2,t90,0,Infinite
1,1.00E+04,100,99,50,10k,serial,3,t90,0,315
1,1.00E+04,100,99,50,10k,serial,4,t90,0,Infinite
1,1.00E+04,100,99,50,10k,serial,5,t90,0,Infinite
1,1.00E+04,100,99,50,10k,serial,1,t120,0,Infinite
1,1.00E+04,100,99,50,10k,serial,2,t120,0,Infinite
1,1.00E+04,100,99,50,10k,serial,3,t120,0,Infinite
1,1.00E+04,100,99,50,10k,serial,4,t120,0,Infinite
1,1.00E+04,100,99,50,10k,serial,5,t120,0,Infinite
1,1.00E+04,100,99,50,50k,contemp,1,t0,0,330.6
1,1.00E+04,100,99,50,50k,contemp,2,t0,0,427.1
1,1.00E+04,100,99,50,50k,contemp,3,t0,0,363.2
1,1.00E+04,100,99,50,50k,contemp,4,t0,0,263.4
1,1.00E+04,100,99,50,50k,contemp,5,t0,0,971.2
1,1.00E+04,100,99,50,50k,2samp,1,t0,0,Infinite
1,1.00E+04,100,99,50,50k,2samp,2,t0,0,Infinite
1,1.00E+04,100,99,50,50k,2samp,3,t0,0,Infinite
1,1.00E+04,100,99,50,50k,2samp,4,t0,0,Infinite
1,1.00E+04,100,99,50,50k,2samp,5,t0,0,Infinite
1,1.00E+04,100,99,50,50k,2samp,1,t120,0,365.7
1,1.00E+04,100,99,50,50k,2samp,2,t120,0,544.3
1,1.00E+04,100,99,50,50k,2samp,3,t120,0,491.1
1,1.00E+04,100,99,50,50k,2samp,4,t120,0,365.6
1,1.00E+04,100,99,50,50k,2samp,5,t120,0,555.9
1,1.00E+04,100,99,50,50k,serial,1,t0,0,636.1
1,1.00E+04,100,99,50,50k,serial,2,t0,0,Infinite
1,1.00E+04,100,99,50,50k,serial,3,t0,0,Infinite
1,1.00E+04,100,99,50,50k,serial,4,t0,0,Infinite
1,1.00E+04,100,99,50,50k,serial,5,t0,0,Infinite
1,1.00E+04,100,99,50,50k,serial,1,t30,0,Infinite
1,1.00E+04,100,99,50,50k,serial,2,t30,0,Infinite
1,1.00E+04,100,99,50,50k,serial,3,t30,0,Infinite
1,1.00E+04,100,99,50,50k,serial,4,t30,0,Infinite
1,1.00E+04,100,99,50,50k,serial,5,t30,0,Infinite
1,1.00E+04,100,99,50,50k,serial,1,t60,0,Infinite
1,1.00E+04,100,99,50,50k,serial,2,t60,0,2565.3
1,1.00E+04,100,99,50,50k,serial,3,t60,0,Infinite
1,1.00E+04,100,99,50,50k,serial,4,t60,0,Infinite
1,1.00E+04,100,99,50,50k,serial,5,t60,0,Infinite
1,1.00E+04,100,99,50,50k,serial,1,t90,0,Infinite
1,1.00E+04,100,99,50,50k,serial,2,t90,0,Infinite
1,1.00E+04,100,99,50,50k,serial,3,t90,0,Infinite
1,1.00E+04,100,99,50,50k,serial,4,t90,0,Infinite
1,1.00E+04,100,99,50,50k,serial,5,t90,0,Infinite
1,1.00E+04,100,99,50,50k,serial,1,t120,0,Infinite
1,1.00E+04,100,99,50,50k,serial,2,t120,0,Infinite
1,1.00E+04,100,99,50,50k,serial,3,t120,0,Infinite
1,1.00E+04,100,99,50,50k,serial,4,t120,0,Infinite
1,1.00E+04,100,99,50,50k,serial,5,t120,0,Infinite
1,1.00E+04,100,99,100,10k,contemp,1,t0,0,Infinite
1,1.00E+04,100,99,100,10k,contemp,2,t0,0,587.5
