gentime,nhist,td,l,nsamp,nloc,scheme,it,timepoint,maf,Ne
1,1.00E+04,100,99,100,10k,contemp,3,t0,0,3171
1,1.00E+04,100,99,100,10k,contemp,4,t0,0,814.6
1,1.00E+04,100,99,100,10k,contemp,5,t0,0,1685.5
1,1.00E+04,100,99,100,10k,2samp,1,t0,0,Infinite
1,1.00E+04,100,99,100,10k,2samp,2,t0,0,102.4
1,1.00E+04,100,99,100,10k,2samp,3,t0,0,9485
1,1.00E+04,100,99,100,10k,2samp,4,t0,0,360.3
1,1.00E+04,100,99,100,10k,2samp,5,t0,0,Infinite
1,1.00E+04,100,99,100,10k,2samp,1,t120,0,256.1
1,1.00E+04,100,99,100,10k,2samp,2,t120,0,258.7
1,1.00E+04,100,99,100,10k,2samp,3,t120,0,379.6
1,1.00E+04,100,99,100,10k,2samp,4,t120,0,287.7
1,1.00E+04,100,99,100,10k,2samp,5,t120,0,435
1,1.00E+04,100,99,100,10k,serial,1,t0,0,105.4
1,1.00E+04,100,99,100,10k,serial,2,t0,0,203.6
1,1.00E+04,100,99,100,10k,serial,3,t0,0,Infinite
1,1.00E+04,100,99,100,10k,serial,4,t0,0,366.8
1,1.00E+04,100,99,100,10k,serial,5,t0,0,230
1,1.00E+04,100,99,100,10k,serial,1,t30,0,651.8
1,1.00E+04,100,99,100,10k,serial,2,t30,0,582.9
1,1.00E+04,100,99,100,10k,serial,3,t30,0,Infinite
1,1.00E+04,100,99,100,10k,serial,4,t30,0,Infinite
1,1.00E+04,100,99,100,10k,serial,5,t30,0,Infinite
1,1.00E+04,100,99,100,10k,serial,1,t60,0,1931.1
1,1.00E+04,100,99,100,10k,serial,2,t60,0,421.1
1,1.00E+04,100,99,100,10k,serial,3,t60,0,800.2
1,1.00E+04,100,99,100,10k,serial,4,t60,0,366.8
1,1.00E+04,100,99,100,10k,serial,5,t60,0,Infinite
1,1.00E+04,100,99,100,10k,serial,1,t90,0,135.8
1,1.00E+04,100,99,100,10k,serial,2,t90,0,940.9
1,1.00E+04,100,99,100,10k,serial,3,t90,0,193.9
1,1.00E+04,100,99,100,10k,serial,4,t90,0,Infinite
1,1.00E+04,100,99,100,10k,serial,5,t90,0,Infinite
1,1.00E+04,100,99,100,10k,serial,1,t120,0,Infinite
1,1.00E+04,100,99,100,10k,serial,2,t120,0,241.2
1,1.00E+04,100,99,100,10k,serial,3,t120,0,Infinite
1,1.00E+04,100,99,100,10k,serial,4,t120,0,537.4
1,1.00E+04,100,99,100,10k,serial,5,t120,0,Infinite
1,1.00E+04,100,99,100,50k,contemp,1,t0,0,608.5
1,1.00E+04,100,99,100,50k,contemp,2,t0,0,858.6
1,1.00E+04,100,99,100,50k,contemp,3,t0,0,745.7
1,1.00E+04,100,99,100,50k,contemp,4,t0,0,633.8
1,1.00E+04,100,99,100,50k,contemp,5,t0,0,885.6
1,1.00E+04,100,99,100,50k,2samp,1,t0,0,270.9
1,1.00E+04,100,99,100,50k,2samp,2,t0,0,308.3
1,1.00E+04,100,99,100,50k,2samp,3,t0,0,617.2
1,1.00E+04,100,99,100,50k,2samp,4,t0,0,239.7
1,1.00E+04,100,99,100,50k,2samp,5,t0,0,2306.9
1,1.00E+04,100,99,100,50k,2samp,1,t120,0,277
1,1.00E+04,100,99,100,50k,2samp,2,t120,0,336.3
1,1.00E+04,100,99,100,50k,2samp,3,t120,0,321.7
1,1.00E+04,100,99,100,50k,2samp,4,t120,0,309.1
1,1.00E+04,100,99,100,50k,2samp,5,t120,0,431.7
1,1.00E+04,100,99,100,50k,serial,1,t0,0,133.8
1,1.00E+04,100,99,100,50k,serial,2,t0,0,952.8
1,1.00E+04,100,99,100,50k,serial,3,t0,0,1012.3
1,1.00E+04,100,99,100,50k,serial,4,t0,0,348.6
1,1.00E+04,100,99,100,50k,serial,5,t0,0,498.1
1,1.00E+04,100,99,100,50k,serial,1,t30,0,624.4
1,1.00E+04,100,99,100,50k,serial,2,t30,0,163.3
1,1.00E+04,100,99,100,50k,serial,3,t30,0,2271.9
1,1.00E+04,100,99,100,50k,serial,4,t30,0,798.3
1,1.00E+04,100,99,100,50k,serial,5,t30,0,418.7
1,1.00E+04,100,99,100,50k,serial,1,t60,0,2436.3
1,1.00E+04,100,99,100,50k,serial,2,t60,0,536.5
1,1.00E+04,100,99,100,50k,serial,3,t60,0,Infinite
1,1.00E+04,100,99,100,50k,serial,4,t60,0,528.3
1,1.00E+04,100,99,100,50k,serial,5,t60,0,Infinite
1,1.00E+04,100,99,100,50k,serial,1,t90,0,Infinite
1,1.00E+04,100,99,100,50k,serial,2,t90,0,3216.6
1,1.00E+04,100,99,100,50k,serial,3,t90,0,Infinite
1,1.00E+04,100,99,100,50k,serial,4,t90,0,Infinite
1,1.00E+04,100,99,100,50k,serial,5,t90,0,Infinite
1,1.00E+04,100,99,100,50k,serial,1,t120,0,453.5
1,1.00E+04,100,99,100,50k,serial,2,t120,0,648.2
1,1.00E+04,100,99,100,50k,serial,3,t120,0,1224.8
1,1.00E+04,100,99,100,50k,serial,4,t120,0,933.2
1,1.00E+04,100,99,100,50k,serial,5,t120,0,Infinite
1,1.00E+04,100,99,200,10k,contemp,1,t0,0,1823.2
1,1.00E+04,100,99,200,10k,contemp,2,t0,0,1602.9
1,1.00E+04,100,99,200,10k,contemp,3,t0,0,1091.8
1,1.00E+04,100,99,200,10k,contemp,4,t0,0,1421.3
1,1.00E+04,100,99,200,10k,contemp,5,t0,0,1119.3
1,1.00E+04,100,99,200,10k,2samp,1,t0,0,Infinite
1,1.00E+04,100,99,200,10k,2samp,2,t0,0,531.4
1,1.00E+04,100,99,200,10k,2samp,3,t0,0,817.9
1,1.00E+04,100,99,200,10k,2samp,4,t0,0,751.9
1,1.00E+04,100,99,200,10k,2samp,5,t0,0,1041.4
1,1.00E+04,100,99,200,10k,2samp,1,t120,0,317.1
1,1.00E+04,100,99,200,10k,2samp,2,t120,0,278.5
1,1.00E+04,100,99,200,10k,2samp,3,t120,0,372.3
1,1.00E+04,100,99,200,10k,2samp,4,t120,0,303.8
1,1.00E+04,100,99,200,10k,2samp,5,t120,0,342.9
1,1.00E+04,100,99,200,10k,serial,1,t0,0,265.6
1,1.00E+04,100,99,200,10k,serial,2,t0,0,425.9
1,1.00E+04,100,99,200,10k,serial,3,t0,0,482.3
1,1.00E+04,100,99,200,10k,serial,4,t0,0,353.1
1,1.00E+04,100,99,200,10k,serial,5,t0,0,857.9
1,1.00E+04,100,99,200,10k,serial,1,t30,0,803.1
1,1.00E+04,100,99,200,10k,serial,2,t30,0,913.2
1,1.00E+04,100,99,200,10k,serial,3,t30,0,1364.7
1,1.00E+04,100,99,200,10k,serial,4,t30,0,2623.8
1,1.00E+04,100,99,200,10k,serial,5,t30,0,Infinite
1,1.00E+04,100,99,200,10k,serial,1,t60,0,1573.5
1,1.00E+04,100,99,200,10k,serial,2,t60,0,278.7
1,1.00E+04,100,99,200,10k,serial,3,t60,0,388.3
1,1.00E+04,100,99,200,10k,serial,4,t60,0,735.8
1,1.00E+04,100,99,200,10k,serial,5,t60,0,Infinite
1,1.00E+04,100,99,200,10k,serial,1,t90,0,478.4
1,1.00E+04,100,99,200,10k,serial,2,t90,0,Infinite
1,1.00E+04,100,99,200,10k,serial,3,t90,0,383.9
1,1.00E+04,100,99,200,10k,serial,4,t90,0,669.2
1,1.00E+04,100,99,200,10k,serial,5,t90,0,1962.6
1,1.00E+04,100,99,200,10k,serial,1,t120,0,Infinite
1,1.00E+04,100,99,200,10k,serial,2,t120,0,591.4
1,1.00E+04,100,99,200,10k,serial,3,t120,0,1682.8
1,1.00E+04,100,99,200,10k,serial,4,t120,0,1802.6
1,1.00E+04,100,99,200,10k,serial,5,t120,0,Infinite
1,1.00E+04,100,99,200,50k,contemp,1,t0,0,1070.6
1,1.00E+04,100,99,200,50k,contemp,2,t0,0,1056.3
1,1.00E+04,100,99,200,50k,contemp,3,t0,0,1144.4
1,1.00E+04,100,99,200,50k,contemp,4,t0,0,862.9
1,1.00E+04,100,99,200,50k,contemp,5,t0,0,795.8
1,1.00E+04,100,99,200,50k,2samp,1,t0,0,517.1
1,1.00E+04,100,99,200,50k,2samp,2,t0,0,666.8
1,1.00E+04,100,99,200,50k,2samp,3,t0,0,678.5
1,1.00E+04,100,99,200,50k,2samp,4,t0,0,784
1,1.00E+04,100,99,200,50k,2samp,5,t0,0,751.5
1,1.00E+04,100,99,200,50k,2samp,1,t120,0,318.6
1,1.00E+04,100,99,200,50k,2samp,2,t120,0,330.4
1,1.00E+04,100,99,200,50k,2samp,3,t120,0,338.3
1,1.00E+04,100,99,200,50k,2samp,4,t120,0,318.9
1,1.00E+04,100,99,200,50k,2samp,5,t120,0,328.3
1,1.00E+04,100,99,200,50k,serial,1,t0,0,322.1
1,1.00E+04,100,99,200,50k,serial,2,t0,0,450.2
1,1.00E+04,100,99,200,50k,serial,3,t0,0,1219.2
1,1.00E+04,100,99,200,50k,serial,4,t0,0,337
1,1.00E+04,100,99,200,50k,serial,5,t0,0,534.4
1,1.00E+04,100,99,200,50k,serial,1,t30,0,759.7
1,1.00E+04,100,99,200,50k,serial,2,t30,0,349
1,1.00E+04,100,99,200,50k,serial,3,t30,0,1546.1
1,1.00E+04,100,99,200,50k,serial,4,t30,0,879
1,1.00E+04,100,99,200,50k,serial,5,t30,0,672.8
1,1.00E+04,100,99,200,50k,serial,1,t60,0,828.6
1,1.00E+04,100,99,200,50k,serial,2,t60,0,497.3
1,1.00E+04,100,99,200,50k,serial,3,t60,0,924.3
1,1.00E+04,100,99,200,50k,serial,4,t60,0,1052
1,1.00E+04,100,99,200,50k,serial,5,t60,0,1067.7
1,1.00E+04,100,99,200,50k,serial,1,t90,0,5972.9
1,1.00E+04,100,99,200,50k,serial,2,t90,0,1823.8
1,1.00E+04,100,99,200,50k,serial,3,t90,0,9035.5
1,1.00E+04,100,99,200,50k,serial,4,t90,0,1210.1
1,1.00E+04,100,99,200,50k,serial,5,t90,0,1544.9
1,1.00E+04,100,99,200,50k,serial,1,t120,0,830.8
1,1.00E+04,100,99,200,50k,serial,2,t120,0,2029.8
1,1.00E+04,100,99,200,50k,serial,3,t120,0,1255.8
1,1.00E+04,100,99,200,50k,serial,4,t120,0,1452.1
1,1.00E+04,100,99,200,50k,serial,5,t120,0,935.5
1,1.00E+05,100,99,50,10k,contemp,1,t0,0,Infinite
1,1.00E+05,100,99,50,10k,contemp,2,t0,0,Infinite
1,1.00E+05,100,99,50,10k,contemp,3,t0,0,3044
1,1.00E+05,100,99,50,10k,contemp,4,t0,0,199427.6
1,1.00E+05,100,99,50,10k,contemp,5,t0,0,Infinite
1,1.00E+05,100,99,50,10k,2samp,1,t0,0,Infinite
1,1.00E+05,100,99,50,10k,2samp,2,t0,0,Infinite
1,1.00E+05,100,99,50,10k,2samp,3,t0,0,Infinite
1,1.00E+05,100,99,50,10k,2samp,4,t0,0,Infinite
1,1.00E+05,100,99,50,10k,2samp,5,t0,0,Infinite
1,1.00E+05,100,99,50,10k,2samp,1,t120,0,5853.1
1,1.00E+05,100,99,50,10k,2samp,2,t120,0,3753.2
1,1.00E+05,100,99,50,10k,2samp,3,t120,0,10586
1,1.00E+05,100,99,50,10k,2samp,4,t120,0,4322.5
1,1.00E+05,100,99,50,10k,2samp,5,t120,0,Infinite
1,1.00E+05,100,99,50,10k,serial,1,t0,0,Infinite
1,1.00E+05,100,99,50,10k,serial,2,t0,0,Infinite
1,1.00E+05,100,99,50,10k,serial,3,t0,0,Infinite
1,1.00E+05,100,99,50,10k,serial,4,t0,0,Infinite
1,1.00E+05,100,99,50,10k,serial,5,t0,0,Infinite
1,1.00E+05,100,99,50,10k,serial,1,t30,0,Infinite
1,1.00E+05,100,99,50,10k,serial,2,t30,0,Infinite
1,1.00E+05,100,99,50,10k,serial,3,t30,0,Infinite
1,1.00E+05,100,99,50,10k,serial,4,t30,0,Infinite
1,1.00E+05,100,99,50,10k,serial,5,t30,0,Infinite
1,1.00E+05,100,99,50,10k,serial,1,t60,0,Infinite
1,1.00E+05,100,99,50,10k,serial,2,t60,0,Infinite
1,1.00E+05,100,99,50,10k,serial,3,t60,0,Infinite
1,1.00E+05,100,99,50,10k,serial,4,t60,0,Infinite
1,1.00E+05,100,99,50,10k,serial,5,t60,0,Infinite
1,1.00E+05,100,99,50,10k,serial,1,t90,0,Infinite
1,1.00E+05,100,99,50,10k,serial,2,t90,0,Infinite
1,1.00E+05,100,99,50,10k,serial,3,t90,0,Infinite
1,1.00E+05,100,99,50,10k,serial,4,t90,0,Infinite
1,1.00E+05,100,99,50,10k,serial,5,t90,0,Infinite
1,1.00E+05,100,99,50,10k,serial,1,t120,0,Infinite
1,1.00E+05,100,99,50,10k,serial,2,t120,0,Infinite
1,1.00E+05,100,99,50,10k,serial,3,t120,0,Infinite
1,1.00E+05,100,99,50,10k,serial,4,t120,0,Infinite
1,1.00E+05,100,99,50,10k,serial,5,t120,0,Infinite
1,1.00E+05,100,99,50,50k,contemp,1,t0,0,5999.1
1,1.00E+05,100,99,50,50k,contemp,2,t0,0,8158.8
1,1.00E+05,100,99,50,50k,contemp,3,t0,0,2226.3
1,1.00E+05,100,99,50,50k,contemp,4,t0,0,13964.6
1,1.00E+05,100,99,50,50k,contemp,5,t0,0,6658.1
1,1.00E+05,100,99,50,50k,2samp,1,t0,0,Infinite
1,1.00E+05,100,99,50,50k,2samp,2,t0,0,Infinite
1,1.00E+05,100,99,50,50k,2samp,3,t0,0,Infinite
1,1.00E+05,100,99,50,50k,2samp,4,t0,0,Infinite
1,1.00E+05,100,99,50,50k,2samp,5,t0,0,Infinite
1,1.00E+05,100,99,50,50k,2samp,1,t120,0,8691.7
1,1.00E+05,100,99,50,50k,2samp,2,t120,0,5881.5
1,1.00E+05,100,99,50,50k,2samp,3,t120,0,12416.3
1,1.00E+05,100,99,50,50k,2samp,4,t120,0,2926.2
1,1.00E+05,100,99,50,50k,2samp,5,t120,0,Infinite
1,1.00E+05,100,99,50,50k,serial,1,t0,0,Infinite
1,1.00E+05,100,99,50,50k,serial,2,t0,0,Infinite
1,1.00E+05,100,99,50,50k,serial,3,t0,0,Infinite
1,1.00E+05,100,99,50,50k,serial,4,t0,0,Infinite
1,1.00E+05,100,99,50,50k,serial,5,t0,0,Infinite
1,1.00E+05,100,99,50,50k,serial,1,t30,0,Infinite
1,1.00E+05,100,99,50,50k,serial,2,t30,0,Infinite
1,1.00E+05,100,99,50,50k,serial,3,t30,0,Infinite
1,1.00E+05,100,99,50,50k,serial,4,t30,0,Infinite
1,1.00E+05,100,99,50,50k,serial,5,t30,0,Infinite
1,1.00E+05,100,99,50,50k,serial,1,t60,0,Infinite
1,1.00E+05,100,99,50,50k,serial,2,t60,0,Infinite
1,1.00E+05,100,99,50,50k,serial,3,t60,0,Infinite
1,1.00E+05,100,99,50,50k,serial,4,t60,0,Infinite
1,1.00E+05,100,99,50,50k,serial,5,t60,0,Infinite
1,1.00E+05,100,99,50,50k,serial,1,t90,0,Infinite
1,1.00E+05,100,99,50,50k,serial,2,t90,0,Infinite
1,1.00E+05,100,99,50,50k,serial,3,t90,0,Infinite
1,1.00E+05,100,99,50,50k,serial,4,t90,0,Infinite
1,1.00E+05,100,99,50,50k,serial,5,t90,0,Infinite
1,1.00E+05,100,99,50,50k,serial,1,t120,0,Infinite
1,1.00E+05,100,99,50,50k,serial,2,t120,0,Infinite
1,1.00E+05,100,99,50,50k,serial,3,t120,0,Infinite
1,1.00E+05,100,99,50,50k,serial,4,t120,0,Infinite
1,1.00E+05,100,99,50,50k,serial,5,t120,0,Infinite
1,1.00E+05,100,99,100,10k,contemp,1,t0,0,Infinite
1,1.00E+05,100,99,100,10k,contemp,2,t0,0,Infinite
1,1.00E+05,100,99,100,10k,contemp,3,t0,0,Infinite
1,1.00E+05,100,99,100,10k,contemp,4,t0,0,Infinite
1,1.00E+05,100,99,100,10k,contemp,5,t0,0,7155.5
1,1.00E+05,100,99,100,10k,2samp,1,t0,0,70666.3
1,1.00E+05,100,99,100,10k,2samp,2,t0,0,6282.9
1,1.00E+05,100,99,100,10k,2samp,3,t0,0,1058.5
1,1.00E+05,100,99,100,10k,2samp,4,t0,0,6803.7
1,1.00E+05,100,99,100,10k,2samp,5,t0,0,94247.9
1,1.00E+05,100,99,100,10k,2samp,1,t120,0,4345.5
1,1.00E+05,100,99,100,10k,2samp,2,t120,0,4479.1
1,1.00E+05,100,99,100,10k,2samp,3,t120,0,6038.4
1,1.00E+05,100,99,100,10k,2samp,4,t120,0,4606.5
1,1.00E+05,100,99,100,10k,2samp,5,t120,0,10106.9
1,1.00E+05,100,99,100,10k,serial,1,t0,0,Infinite
1,1.00E+05,100,99,100,10k,serial,2,t0,0,Infinite
1,1.00E+05,100,99,100,10k,serial,3,t0,0,Infinite
1,1.00E+05,100,99,100,10k,serial,4,t0,0,406212.1
1,1.00E+05,100,99,100,10k,serial,5,t0,0,Infinite
1,1.00E+05,100,99,100,10k,serial,1,t30,0,Infinite
1,1.00E+05,100,99,100,10k,serial,2,t30,0,2176.8
1,1.00E+05,100,99,100,10k,serial,3,t30,0,Infinite
1,1.00E+05,100,99,100,10k,serial,4,t30,0,Infinite
1,1.00E+05,100,99,100,10k,serial,5,t30,0,Infinite
1,1.00E+05,100,99,100,10k,serial,1,t60,0,Infinite
1,1.00E+05,100,99,100,10k,serial,2,t60,0,Infinite
1,1.00E+05,100,99,100,10k,serial,3,t60,0,Infinite
1,1.00E+05,100,99,100,10k,serial,4,t60,0,Infinite
1,1.00E+05,100,99,100,10k,serial,5,t60,0,Infinite
1,1.00E+05,100,99,100,10k,serial,1,t90,0,Infinite
1,1.00E+05,100,99,100,10k,serial,2,t90,0,Infinite
1,1.00E+05,100,99,100,10k,serial,3,t90,0,Infinite
1,1.00E+05,100,99,100,10k,serial,4,t90,0,Infinite
1,1.00E+05,100,99,100,10k,serial,5,t90,0,Infinite
1,1.00E+05,100,99,100,10k,serial,1,t120,0,Infinite
1,1.00E+05,100,99,100,10k,serial,2,t120,0,Infinite
1,1.00E+05,100,99,100,10k,serial,3,t120,0,Infinite
1,1.00E+05,100,99,100,10k,serial,4,t120,0,Infinite
1,1.00E+05,100,99,100,10k,serial,5,t120,0,Infinite
1,1.00E+05,100,99,100,50k,contemp,1,t0,0,106740.9
1,1.00E+05,100,99,100,50k,contemp,2,t0,0,Infinite
1,1.00E+05,100,99,100,50k,contemp,3,t0,0,Infinite
1,1.00E+05,100,99,100,50k,contemp,4,t0,0,Infinite
1,1.00E+05,100,99,100,50k,contemp,5,t0,0,7124.1
1,1.00E+05,100,99,100,50k,2samp,1,t0,0,3133.1
1,1.00E+05,100,99,100,50k,2samp,2,t0,0,6635.8
1,1.00E+05,100,99,100,50k,2samp,3,t0,0,1417.8
1,1.00E+05,100,99,100,50k,2samp,4,t0,0,8898.1
1,1.00E+05,100,99,100,50k,2samp,5,t0,0,3689.5
1,1.00E+05,100,99,100,50k,2samp,1,t120,0,3586
1,1.00E+05,100,99,100,50k,2samp,2,t120,0,4938.7
1,1.00E+05,100,99,100,50k,2samp,3,t120,0,5869.6
1,1.00E+05,100,99,100,50k,2samp,4,t120,0,3761.1
1,1.00E+05,100,99,100,50k,2samp,5,t120,0,5721.3
1,1.00E+05,100,99,100,50k,serial,1,t0,0,Infinite
1,1.00E+05,100,99,100,50k,serial,2,t0,0,Infinite
1,1.00E+05,100,99,100,50k,serial,3,t0,0,Infinite
1,1.00E+05,100,99,100,50k,serial,4,t0,0,3661.7
1,1.00E+05,100,99,100,50k,serial,5,t0,0,Infinite
1,1.00E+05,100,99,100,50k,serial,1,t30,0,Infinite
1,1.00E+05,100,99,100,50k,serial,2,t30,0,2014.3
1,1.00E+05,100,99,100,50k,serial,3,t30,0,Infinite
1,1.00E+05,100,99,100,50k,serial,4,t30,0,Infinite
1,1.00E+05,100,99,100,50k,serial,5,t30,0,Infinite
1,1.00E+05,100,99,100,50k,serial,1,t60,0,Infinite
1,1.00E+05,100,99,100,50k,serial,2,t60,0,Infinite
1,1.00E+05,100,99,100,50k,serial,3,t60,0,Infinite
1,1.00E+05,100,99,100,50k,serial,4,t60,0,Infinite
1,1.00E+05,100,99,100,50k,serial,5,t60,0,Infinite
1,1.00E+05,100,99,100,50k,serial,1,t90,0,Infinite
1,1.00E+05,100,99,100,50k,serial,2,t90,0,Infinite
1,1.00E+05,100,99,100,50k,serial,3,t90,0,Infinite
1,1.00E+05,100,99,100,50k,serial,4,t90,0,Infinite
1,1.00E+05,100,99,100,50k,serial,5,t90,0,Infinite
1,1.00E+05,100,99,100,50k,serial,1,t120,0,Infinite
1,1.00E+05,100,99,100,50k,serial,2,t120,0,Infinite
1,1.00E+05,100,99,100,50k,serial,3,t120,0,Infinite
1,1.00E+05,100,99,100,50k,serial,4,t120,0,Infinite
1,1.00E+05,100,99,100,50k,serial,5,t120,0,Infinite
1,1.00E+05,100,99,200,10k,contemp,1,t0,0,Infinite
1,1.00E+05,100,99,200,10k,contemp,2,t0,0,12820.5
1,1.00E+05,100,99,200,10k,contemp,3,t0,0,Infinite
1,1.00E+05,100,99,200,10k,contemp,4,t0,0,Infinite
1,1.00E+05,100,99,200,10k,contemp,5,t0,0,Infinite
1,1.00E+05,100,99,200,10k,2samp,1,t0,0,Infinite
1,1.00E+05,100,99,200,10k,2samp,2,t0,0,Infinite
1,1.00E+05,100,99,200,10k,2samp,3,t0,0,12070.6
1,1.00E+05,100,99,200,10k,2samp,4,t0,0,Infinite
1,1.00E+05,100,99,200,10k,2samp,5,t0,0,3493.2
1,1.00E+05,100,99,200,10k,2samp,1,t120,0,3946
1,1.00E+05,100,99,200,10k,2samp,2,t120,0,3321.9
1,1.00E+05,100,99,200,10k,2samp,3,t120,0,2496.8
1,1.00E+05,100,99,200,10k,2samp,4,t120,0,2908.9
1,1.00E+05,100,99,200,10k,2samp,5,t120,0,4391.6
1,1.00E+05,100,99,200,10k,serial,1,t0,0,2900.2
1,1.00E+05,100,99,200,10k,serial,2,t0,0,3119.9
1,1.00E+05,100,99,200,10k,serial,3,t0,0,5161.8
1,1.00E+05,100,99,200,10k,serial,4,t0,0,13072.2
1,1.00E+05,100,99,200,10k,serial,5,t0,0,Infinite
1,1.00E+05,100,99,200,10k,serial,1,t30,0,Infinite
