gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,3685.97,10875.9
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4324.37,12149.9
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,3674.6,10208.2
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,2153.26,9621.19
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4536.43,11189.4
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3516.03,9438.89
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3231.84,8791.19
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3165.92,8560.01
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2961.95,10385.7
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,4159.3,9687.4
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3158.3,8590.37
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3647.79,9755.68
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3602.2,10235.7
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3350.56,10346.1
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3256.96,8857.23
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,3422.66,11206.2
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,1417.98,12126
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,2991.78,8910.07
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,824.494,9384.63
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,2381.81,11153.4
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2347.65,9288.56
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2684.23,11018.9
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2746.96,10196
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2408.37,10275.1
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,3212.75,11313.7
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2720.63,9893.42
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2982.42,11213
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2942.3,10556
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,2748.96,10080.2
g1,n10e4,td190,l95,n500,wgs,n100,nomaf,3047.68,10609.8
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,13527.1,11903.7
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,16614.4,4205.45
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,12679.4,17570.4
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,9867.63,52306.7
g1,n10e4,constant,constant,n500,wgs,n20,nomaf,4179.49,6261.5
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,9309.01,11036.4
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,10315.6,9921.67
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,9831.87,10814.2
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,11155.1,12904.1
g1,n10e4,constant,constant,n500,wgs,n50,nomaf,9831.52,11034
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9434.05,9252.9
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,8916.1,9593.72
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,9385.45,10181.1
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,11165.3,11873.3
g1,n10e4,constant,constant,n500,wgs,n100,nomaf,8532.83,9273.86
