NeAnc,td,lambda,TrueNeH,TrueNec
n10e4,constant,constant,10000,10000
n10e4,td100,l99,10000,3056
n10e4,td130,l99,10000,4129
n10e4,td160,l99,10000,5583
n10e4,td190,l99,10000,7548
n10e4,td190,l95,10000,2377
n10e3,constant,constant,1000,1000
n10e3,td100,l99,1000,306
n10e3,td130,l99,1000,413
n10e3,td160,l99,1000,558
n10e3,td190,l99,1000,755
n10e3,td190,l95,1000,306
