gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,325.3370443,995.6869792
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,220.9492676,979.6428385
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,328.7172852,905.4903646
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,385.9286458,918.5214844
g1,n10e3,td100,l99,n500,wgs,n20,nomaf,280.5720052,1007.907747
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,929.6526042,942.3991536
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,299.4821615,988.8373047
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,408.8521159,798.8814453
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,235.5169108,957.0886068
g1,n10e3,td100,l99,n500,wgs,n50,nomaf,293.1347656,985.6
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,335.410319,977.0845052
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,187.8643066,963.4403646
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,422.8960612,864.617513
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,320.3248698,940.4689453
g1,n10e3,td100,l99,n500,wgs,n100,nomaf,313.7478841,998.036263
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,194.6151204,991.1904948
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,814.5098307,998.6735026
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,477.7323893,971.2098307
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,317.2635091,1016.324154
g1,n10e3,td130,l99,n500,wgs,n20,nomaf,463.5635417,986.7127604
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,552.1951172,995.6439453
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,916.6380859,986.9605469
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,524.0891927,983.6806641
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,480.7985677,1011.513216
g1,n10e3,td130,l99,n500,wgs,n50,nomaf,352.1919596,966.5678385
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,428.7292969,978.5886068
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,244.5762533,985.6658854
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,426.0699544,949.132487
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,246.2393392,1007.626042
g1,n10e3,td130,l99,n500,wgs,n100,nomaf,759.1604167,979.0849609
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,794.355599,996.5157552
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,1474.214323,1119.204818
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,527.1025716,1022.882227
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,530.1849284,980.0347656
g1,n10e3,td160,l99,n500,wgs,n20,nomaf,320.994694,1013.121549
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,512.9376953,988.3795573
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,652.0792318,1007.139714
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,456.0484049,996.7502604
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,693.913737,995.7694661
g1,n10e3,td160,l99,n500,wgs,n50,nomaf,946.1749349,1011.819922
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,242.559847,995.9408203
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,510.2139323,1001.587109
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,737.3651693,1020.836849
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,1023.141471,996.9328125
g1,n10e3,td160,l99,n500,wgs,n100,nomaf,428.9876953,1005.042773
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,922.536849,980.5908854
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,984.1097005,984.8509115
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,995.6596354,980.8613281
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,978.8763021,994.7355469
g1,n10e3,td190,l99,n500,wgs,n20,nomaf,958.6390625,1008.708724
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,868.0723958,1001.680013
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,804.2363932,990.3320313
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,526.5123698,983.7204427
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,646.719987,999.5309896
g1,n10e3,td190,l99,n500,wgs,n50,nomaf,970.4466146,1069.895052
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,891.322526,1009.66556
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,854.9508464,992.7914063
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,704.1037109,987.5023438
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,854.1345703,1007.879622
g1,n10e3,td190,l99,n500,wgs,n100,nomaf,667.2085938,1044.107292
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,271.171224,978.3690755
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,217.7397949,983.6335937
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,502.1500977,1013.796094
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,95.31964518,992.7386719
g1,n10e3,td190,l95,n500,wgs,n20,nomaf,165.8167643,981.5386068
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,437.4691081,988.4394531
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,332.5221029,1009.920117
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,298.4898438,1010.893164
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,68.29985352,991.2552083
g1,n10e3,td190,l95,n500,wgs,n50,nomaf,147.4918783,987.5195313
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,502.2733073,953.9835938
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,165.0220866,1003.414974
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,268.2223958,1007.69362
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,154.7446289,997.5904948
g1,n10e3,td190,l95,n500,wgs,n100,nomaf,327.8232096,988.8104167
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,999.7651042,999.647526
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1006.784701,994.7634766
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1057.707617,980.1669922
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1061.290625,994.9084635
g1,n10e3,constant,constant,n500,wgs,n20,nomaf,1822.659115,1041.215234
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1018.950326,1005.14987
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1047.833138,1006.372982
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,914.8611328,980.6930339
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1108.21237,997.6634766
g1,n10e3,constant,constant,n500,wgs,n50,nomaf,1550.335807,993.3103516
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,998.5720052,1004.463086
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1016.659701,1007.773047
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1718.253255,1093.16862
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,993.4535156,994.7355469
g1,n10e3,constant,constant,n500,wgs,n100,nomaf,1353.342188,994.163737
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,3136.941667,9781.526042
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,5738.785938,6862.461979
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,2750.803906,9919.832292
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,7308.722917,6775.218229
g1,n10e4,td100,l99,n500,wgs,n20,nomaf,4742.920833,8931.896875
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,6120.859375,9968.409375
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,3535.666667,9957.334375
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2287.983333,9967.277083
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,1435.183464,9975.007292
g1,n10e4,td100,l99,n500,wgs,n50,nomaf,2026.601823,9921.913542
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3792.669531,9982.738542
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4787.676563,9995.104167
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3847.869792,9986.302083
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,4546.879688,10039.14792
g1,n10e4,td100,l99,n500,wgs,n100,nomaf,3790.19401,9954.4375
g1,n10e4,td130,l99,n500,wgs,n20,nomaf,7162.60625,8348.950521
g1,n10e4,td130,l99,n500,wgs,n20,nomaf,7290.618229,8054.080208
g1,n10e4,td130,l99,n500,wgs,n20,nomaf,7824.954688,8297.463021
g1,n10e4,td130,l99,n500,wgs,n20,nomaf,5478.527604,9923.654167
g1,n10e4,td130,l99,n500,wgs,n20,nomaf,7130.426563,8310.022917
g1,n10e4,td130,l99,n500,wgs,n50,nomaf,4192.463802,10059.07708
g1,n10e4,td130,l99,n500,wgs,n50,nomaf,4014.048698,9949.570833
g1,n10e4,td130,l99,n500,wgs,n50,nomaf,6918.034375,7667.013542
g1,n10e4,td130,l99,n500,wgs,n50,nomaf,4616.353646,9948.357292
g1,n10e4,td130,l99,n500,wgs,n50,nomaf,6431.117188,9969.8375
g1,n10e4,td130,l99,n500,wgs,n100,nomaf,1823.85,9830.297917
g1,n10e4,td130,l99,n500,wgs,n100,nomaf,5624.082813,10049.89792
g1,n10e4,td130,l99,n500,wgs,n100,nomaf,6024.499479,10037.66979
g1,n10e4,td130,l99,n500,wgs,n100,nomaf,5629.260417,10027.77917
g1,n10e4,td130,l99,n500,wgs,n100,nomaf,4339.436198,9974.841667
g1,n10e4,td160,l99,n500,wgs,n20,nomaf,9458.23125,9470.108333
g1,n10e4,td160,l99,n500,wgs,n20,nomaf,8952.323958,9298.471875
g1,n10e4,td160,l99,n500,wgs,n20,nomaf,10434.69063,9895.157292
g1,n10e4,td160,l99,n500,wgs,n20,nomaf,7382.840104,8436.450521
g1,n10e4,td160,l99,n500,wgs,n20,nomaf,9773.98125,9605.355208
g1,n10e4,td160,l99,n500,wgs,n50,nomaf,8286.411979,9767.322917
g1,n10e4,td160,l99,n500,wgs,n50,nomaf,5140.528646,9964.791667
g1,n10e4,td160,l99,n500,wgs,n50,nomaf,125.4965576,132.1224772
g1,n10e4,td160,l99,n500,wgs,n50,nomaf,6239.059375,9966.486458
g1,n10e4,td160,l99,n500,wgs,n50,nomaf,8568.44375,9889.561458
g1,n10e4,td160,l99,n500,wgs,n100,nomaf,6265.03125,10004.12188
g1,n10e4,td160,l99,n500,wgs,n100,nomaf,6235.614583,9951.139583
g1,n10e4,td160,l99,n500,wgs,n100,nomaf,5987.839063,9985.532292
g1,n10e4,td160,l99,n500,wgs,n100,nomaf,6131.167708,9930.041667
g1,n10e4,td160,l99,n500,wgs,n100,nomaf,7633.928646,10010.66875
g1,n10e4,td190,l99,n500,wgs,n20,nomaf,10127.50104,9998.010417
g1,n10e4,td190,l99,n500,wgs,n20,nomaf,9829.879167,9842.4
g1,n10e4,td190,l99,n500,wgs,n20,nomaf,12029.88854,10472.88646
g1,n10e4,td190,l99,n500,wgs,n20,nomaf,9991.827083,9990.625
g1,n10e4,td190,l99,n500,wgs,n20,nomaf,9945.519792,9962.7625
g1,n10e4,td190,l99,n500,wgs,n50,nomaf,9865.038542,9894.71875
g1,n10e4,td190,l99,n500,wgs,n50,nomaf,9684.28125,9733.7375
g1,n10e4,td190,l99,n500,wgs,n50,nomaf,10005.90833,10009.175
g1,n10e4,td190,l99,n500,wgs,n50,nomaf,10029.50625,10025.23958
g1,n10e4,td190,l99,n500,wgs,n50,nomaf,10399.87813,10012.525
g1,n10e4,td190,l99,n500,wgs,n100,nomaf,9588.726042,9703.551042
g1,n10e4,td190,l99,n500,wgs,n100,nomaf,6740.591146,9983.282292
g1,n10e4,td190,l99,n500,wgs,n100,nomaf,9683.590625,9986.770833
g1,n10e4,td190,l99,n500,wgs,n100,nomaf,9647.638542,9996.409375
g1,n10e4,td190,l99,n500,wgs,n100,nomaf,8753.9,10072.20417
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,6973.305208,9980.446875
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,3400.334635,10257.05208
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,9194.476042,9186.122917
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,6566.691146,9320.351042
g1,n10e4,td190,l95,n500,wgs,n20,nomaf,6793.032813,9204.513542
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,3940.327083,9967.492708
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,3374.567969,10821.60625
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,2481.770052,10578.93125
g1,n10e4,td190,l95,n500,wgs,n50,nomaf,4751.908854,10062.89167
