gentime,NeAnc,td,lambda,maxn,sampn,data,botexp,model,scheme,it,Nh,Nc,Na,Td,Ta,lnL,AIC2C,Nh1C,Nc1C,Na1c,Td1C,Ta1c,lnL1C,AIC1C,NhC,NcC,NaC,TdC,TaC,lnLC,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Nha,Tdh,Tah,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,constant,constant,n500,n100,rad10k,bot,2change,all,1,9967.728737,13858.32004,10,117.1910648,12612.41681,-20608.41401,41226.82801,4498.892965,11665.07536,4498.892965,45.21104121,NA,-20776.48493,41558.96986,5124.917786,5124.917786,5124.917786,NA,NA,-20802.7561,41607.51221,-332.14185,-380.6842,10165.40068,10165.40068,10,NA,12710.63017,-20608.8981,41223.7962,3.03181,335.17366,383.71601
g1,n10e4,constant,constant,n500,n100,rad10k,bot,2change,all,2,9749.781159,7821.401868,1016.078535,116.9083663,9953.386221,-20324.42125,40658.8425,4282.338705,7446.995219,4282.338705,37.85493835,NA,-20492.26705,40990.5341,4779.521241,4779.521241,4779.521241,NA,NA,-20508.36797,41018.73593,-331.6916,-359.89343,9560.448554,9560.448554,802.6555971,NA,10360.34376,-20324.69624,40655.39247,3.45003,335.14163,363.34346
g1,n10e4,constant,constant,n500,n100,rad10k,bot,2change,all,3,10418.35988,8661.088759,1060.625911,119.8779477,9670.772639,-20709.76896,41429.53793,4261.354817,8221.090689,4261.354817,42.74243154,NA,-20909.66121,41825.32242,4830.448414,4830.448414,4830.448414,NA,NA,-20929.46716,41860.93433,-395.78449,-431.3964,10263.45187,10263.45187,940.0849102,NA,9881.106621,-20709.94654,41425.89307,3.64486,399.42935,435.04126
g1,n10e4,constant,constant,n500,n100,rad10k,bot,2change,all,4,10569.43072,10797.22056,1458.636568,10.7553976,9428.382979,-21221.41386,42452.82771,4511.091377,9895.775846,4511.091377,37.31219785,NA,-21409.37275,42824.74551,5113.083218,5113.083218,5113.083218,NA,NA,-21434.82051,42871.64102,-371.9178,-418.81331,10708.85593,10708.85593,1533.407517,NA,9301.658568,-21221.54981,42449.09961,3.7281,375.6459,422.54141
g1,n10e4,constant,constant,n500,n100,rad10k,bot,2change,all,5,10392.49058,7335.531263,10,93.59261376,11943.99611,-20903.00449,41816.00899,4302.39075,7519.730233,4302.39075,39.63127614,NA,-21102.97836,42211.95672,4792.170996,4792.170996,4792.170996,NA,NA,-21118.20803,42238.41605,-395.94773,-422.40706,10101.50404,10101.50404,10,NA,11799.20445,-20903.96626,41813.93251,2.07648,398.02421,424.48354
g1,n10e4,td190,l95,n500,n100,rad10k,bot,2change,all,1,9466.393619,6569.10698,10,119.6500215,12138.40154,-20450.78569,40911.57137,4226.434835,5851.186911,4226.434835,22.14230138,NA,-20610.19042,41226.38084,4676.624921,4676.624921,4676.624921,NA,NA,-20624.3086,41250.6172,-314.80947,-339.04583,9204.409709,9204.409709,10,NA,11993.13064,-20451.58986,40909.17972,2.39165,317.20112,341.43748
g1,n10e4,td190,l95,n500,n100,rad10k,bot,2change,all,2,10304.23399,7528.321913,1499.591573,119.6575976,8499.318539,-20285.52173,40581.04347,4224.623875,6946.160078,4224.623875,30.71703945,NA,-20476.43797,40958.87594,4771.070234,4771.070234,4771.070234,NA,NA,-20495.28212,40992.56423,-377.83247,-411.52076,10022.23274,10022.23274,1343.954677,NA,8758.611932,-20286.06423,40578.12847,2.915,380.74747,414.43576
g1,n10e4,td190,l95,n500,n100,rad10k,bot,2change,all,3,9917.710883,7516.281999,1392.721014,119.6761874,7475.563959,-19109.97776,38229.95553,3785.624974,7015.346066,3785.624974,36.60237602,NA,-19313.1046,38632.20921,4380.098618,4380.098618,4380.098618,NA,NA,-19335.85233,38673.70467,-402.25368,-443.74914,9666.995859,9666.995859,1313.859566,NA,7559.03565,-19110.35213,38226.70426,3.25127,405.50495,447.00041
g1,n10e4,td190,l95,n500,n100,rad10k,bot,2change,all,4,9789.905173,5404.682609,2145.204832,119.9999875,6813.661526,-19610.96517,39231.93033,4121.442756,4809.953708,4121.442756,10.00130121,NA,-19768.84054,39543.68107,4576.416941,4576.416941,4576.416941,NA,NA,-19784.13712,39570.27424,-311.75074,-338.34391,9224.703619,9224.703619,1942.148743,NA,7097.417223,-19613.11936,39232.23872,-0.30839,311.44235,338.03552
g1,n10e4,td190,l95,n500,n100,rad10k,bot,2change,all,5,9295.713483,9488.011884,761.5252233,10.001081,9467.639002,-20107.45867,40224.91734,3915.781611,4945.410358,3915.781611,10.2048019,NA,-20285.07112,40576.14224,4502.928507,4502.928507,4502.928507,NA,NA,-20312.79049,40627.58098,-351.2249,-402.66364,9449.459737,9449.459737,904.2813099,NA,9197.352186,-20107.61405,40221.22809,3.68925,354.91415,406.35289
g1,n10e4,td100,l99,n500,n100,rad10k,bot,2change,all,1,9404.558748,2619.130802,1478.59398,119.9636628,9271.414153,-20648.23337,41306.46673,4177.964384,4355.2582,4177.964384,10.02349706,NA,-20793.92253,41593.84506,4344.836529,4344.836529,4344.836529,NA,NA,-20795.66086,41593.32171,-287.37833,-286.85498,8035.972972,8035.972972,10,NA,11832.24681,-20663.89334,41333.78668,-27.31995,260.05838,259.53503
g1,n10e4,td100,l99,n500,n100,rad10k,bot,2change,all,2,9785.2476,3738.069355,916.749901,119.9836764,10200.13285,-20378.07694,40766.15389,4289.023124,6324.356307,4289.023124,79.10608449,NA,-20549.54345,41105.08689,4533.474083,4533.474083,4533.474083,NA,NA,-20552.84925,41107.6985,-338.933,-341.54461,8867.943474,8867.943474,258.4742359,NA,11176.09668,-20385.65614,40777.31229,-11.1584,327.7746,330.38621
g1,n10e4,td100,l99,n500,n100,rad10k,bot,2change,all,3,10211.41177,2775.255143,2379.737993,119.9740665,6557.861986,-20274.91527,40559.83054,4241.137525,4425.523004,4241.137525,10.00164995,NA,-20446.60578,40899.21156,4417.245148,4417.245148,4417.245148,NA,NA,-20448.55063,40899.10126,-339.38102,-339.27072,8639.733026,8639.733026,1789.617341,NA,7349.805329,-20291.7631,40589.5262,-29.69566,309.68536,309.57506
g1,n10e4,td100,l99,n500,n100,rad10k,bot,2change,all,4,9792.68888,3652.435885,10,108.6646191,12657.76679,-20395.95484,40801.90968,4486.588314,4735.97484,4486.588314,10.01118528,NA,-20555.80947,41117.61895,4683.02052,4683.02052,4683.02052,NA,NA,-20558.33866,41118.67732,-315.70927,-316.76764,8916.749143,8916.749143,10.41800227,NA,12176.81622,-20404.95234,40815.90468,-13.995,301.71427,302.77264
g1,n10e4,td100,l99,n500,n100,rad10k,bot,2change,all,5,10351.07057,3017.338697,1812.114677,119.9598394,7517.668372,-20164.15857,40338.31715,4094.877859,4486.882362,4094.877859,14.54331302,NA,-20358.777,40723.55399,4362.759799,4362.759799,4362.759799,NA,NA,-20362.78959,40727.57918,-385.23684,-389.26203,8912.756544,8912.756544,1102.147972,NA,8597.748088,-20178.11909,40362.23818,-23.92103,361.31581,365.341
g1,n10e4,constant,constant,n500,n200,rad10k,bot,2change,all,1,9536.096483,9965.091839,10,14.63111685,12147.22763,-27682.73013,55375.46027,4755.473608,7851.855615,4755.473608,31.80257457,NA,-27869.45058,55744.90116,5768.676816,5768.676816,5768.676816,NA,NA,-27912.08265,55826.1653,-369.44089,-450.70503,10022.91179,10022.91179,10,NA,12490.91996,-27683.63847,55373.27694,2.18333,371.62422,452.88836
g1,n10e4,constant,constant,n500,n200,rad10k,bot,2change,all,2,9575.462156,11135.13075,35.73526721,119.9999609,12199.83355,-27060.9165,54131.83301,4743.428388,17240.05317,4743.428388,116.5022267,NA,-27243.7755,54493.551,5691.17811,5691.17811,5691.17811,NA,NA,-27279.74129,54561.48257,-361.71799,-429.64956,9839.150531,9839.150531,477.754442,NA,11420.44127,-27061.24083,54128.48165,3.35136,365.06935,433.00092
g1,n10e4,constant,constant,n500,n200,rad10k,bot,2change,all,3,10430.17184,7914.928137,971.2005228,119.9975645,9807.740299,-27796.42551,55602.85102,4663.182992,6865.499794,4663.182992,32.52161242,NA,-28020.61147,56047.22294,5550.908475,5550.908475,5550.908475,NA,NA,-28051.4182,56104.83641,-444.37192,-501.98539,9841.114445,9841.114445,90.23836752,NA,11439.76625,-27797.68423,55601.36847,1.48255,445.85447,503.46794
g1,n10e4,constant,constant,n500,n200,rad10k,bot,2change,all,4,11019.38937,10665.90433,1440.090289,10.2289972,9774.734549,-28334.41442,56678.82883,5054.871679,15108.9563,5054.871679,114.539837,NA,-28552.09927,57110.19854,5914.644329,5914.644329,5914.644329,NA,NA,-28579.69655,57161.39309,-431.36971,-482.56426,10501.44695,10501.44695,1106.423497,NA,10310.6172,-28335.70084,56677.40168,1.42715,432.79686,483.99141
g1,n10e4,constant,constant,n500,n200,rad10k,bot,2change,all,5,10678.24712,8117.168227,10,119.9925957,12270.17172,-27845.08905,55700.17809,4872.140731,7225.13286,4872.140731,32.14139127,NA,-28067.17054,56140.34108,5716.094134,5716.094134,5716.094134,NA,NA,-28095.65088,56193.30177,-440.16299,-493.12368,10227.40626,10227.40626,10,NA,12001.81306,-27846.26976,55698.53951,1.63858,441.80157,494.76226
g1,n10e4,td190,l95,n500,n200,rad10k,bot,2change,all,1,9830.652854,6853.229996,240.0123413,119.9970272,11725.66269,-27291.86498,54593.72996,4629.725965,5286.8332,4629.725965,10.00946213,NA,-27475.66931,54957.33861,5434.450013,5434.450013,5434.450013,NA,NA,-27505.69271,55013.38543,-363.60865,-419.65547,9200.735776,9200.735776,10,NA,11821.54732,-27294.0873,54594.1746,-0.44464,363.16401,419.21083
