g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,all,3,10263.451869810337,10263.451869810337,940.0849101975624,NA,9881.106621120227,-20709.946537110856,41425.89307422171
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0,2,4534.334423813706,4534.334423813706,4534.334423813706,NA,NA,-8393.413670876409,16788.827341752818
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0,2,4281.430432076429,24297.321055110933,4281.430432076429,119.928092891067,NA,-8343.94331205705,16693.8866241141
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0t120,2,5556.9583542940545,5556.9583542940545,5556.9583542940545,NA,NA,-12454.222998790752,24910.445997581504
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0t120,2,4770.938158350982,17795.55162140185,4770.938158350982,119.88277019055943,NA,-12428.578304686884,24863.156609373767
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,all,2,4779.521240756677,4779.521240756677,4779.521240756677,NA,NA,-20508.36796573973,41018.73593147946
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,all,2,4282.338704637248,7446.995219012635,4282.338704637248,37.85493835393288,NA,-20492.26705045458,40990.53410090916
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0,2,9404.737303452614,5000000.000000003,10.66804304758403,19.018754366781273,12337.461526625675,-8210.329611774476,16430.65922354895
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0t120,2,9983.082945502169,10073.092165372354,10.000000000000002,102.41018220754485,12708.62982146163,-12259.62181615812,24529.24363231624
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,all,2,9749.78115914983,7821.401867728611,1016.0785353136122,116.90836633415165,9953.386220840646,-20324.4212512946,40658.8425025892
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0,2,9746.441286617832,9746.441286617832,1076.3182654108261,NA,9917.276238435677,-8211.511221600957,16429.022443201913
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0t120,2,9993.565808613403,9993.565808613403,42.58446046603447,NA,12644.751675177946,-12259.623000340936,24525.246000681873
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,all,2,9560.44855366135,9560.44855366135,802.6555971423229,NA,10360.3437550571,-20324.696235415355,40655.39247083071
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0,1,4617.303800918044,4617.303800918044,4617.303800918044,NA,NA,-8527.683961258495,17057.36792251699
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0,1,4377.306064001101,20385.612887598567,4377.306064001101,119.99916023097346,NA,-8486.341820006548,16978.683640013096
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0t120,1,5522.726748079063,5522.726748079063,5522.726748079063,NA,NA,-12815.394572999525,25632.78914599905
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0t120,1,4729.209413449341,16362.509223678688,4729.209413449341,119.94588450050414,NA,-12790.470876819663,25586.941753639327
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,all,1,5124.917785806029,5124.917785806029,5124.917785806029,NA,NA,-20802.75610296805,41607.5122059361
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,all,1,4498.892964589754,11665.075361404184,4498.892964589754,45.21104120684151,NA,-20776.48492803461,41558.96985606922
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0,1,9661.414839443118,184221.51525867244,10.000000000000002,10.0122121102636,12533.805323886143,-8346.710385717439,16703.420771434878
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0t120,1,10109.88443601306,9052.003951404598,10.000000000000002,98.26094243501511,12603.680884576468,-12612.003874096694,25234.007748193388
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,all,1,9967.728737170532,13858.32003816499,10.000000000000002,117.19106482601268,12612.416814949862,-20608.414007045794,41226.82801409159
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0,1,9780.09154849092,9780.09154849092,351.2927757565372,NA,11780.27590389115,-8346.92218925251,16699.84437850502
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0t120,1,9985.370988027551,9985.370988027551,27.186953651149008,NA,12486.51458050511,-12612.09732142659,25230.19464285318
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,all,1,10165.400682835547,10165.400682835547,10.000000000000002,NA,12710.630166919462,-20608.898101426912,41223.796202853824
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0,4,4676.037907707257,4676.037907707257,4676.037907707257,NA,NA,-8770.199648033205,17542.39929606641
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0,4,4386.425584203353,18928.29022875421,4386.425584203353,119.9758371401401,NA,-8728.996076700514,17463.99215340103
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0t120,4,5558.81434501794,5558.81434501794,5558.81434501794,NA,NA,-13044.11422162429,26090.22844324858
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0t120,4,4732.853482863199,16749.070974686947,4732.853482863199,119.98818680209712,NA,-13017.631647388425,26041.26329477685
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,all,4,5113.0832178900455,5113.0832178900455,5113.0832178900455,NA,NA,-21434.820510491172,42871.641020982344
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,all,4,4511.091377081939,9895.775846281782,4511.091377081939,37.312197847637954,NA,-21409.372754372467,42824.745508744934
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0,4,10301.433049573901,9506.624714199068,865.8850211933633,111.43102712109943,10659.909358901992,-8570.054458446444,17150.10891689289
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0t120,4,10007.628369902048,1620.5448526998166,131.28556950634976,33.145787799218965,12262.836534260001,-12834.305868281499,25678.611736562998
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,all,4,10569.430719106293,10797.220555618618,1458.6365679270973,10.755397596564114,9428.382978789507,-21221.413856357314,42452.82771271463
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0,4,10212.411507996569,10212.411507996569,654.352879917387,NA,11152.111900394955,-8570.094430412235,17146.18886082447
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0t120,4,10137.49935170327,10137.49935170327,220.55142039128182,NA,12227.76089647335,-12834.970285868209,25675.940571736417
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,all,4,10708.85592867812,10708.85592867812,1533.407517074279,NA,9301.658568425617,-21221.549805221763,42449.099610443525
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0,5,4572.229436880615,4572.229436880615,4572.229436880615,NA,NA,-8657.701648190643,17317.403296381286
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0,5,4246.223392745302,17338.848867436238,4246.223392745302,119.98799329237194,NA,-8616.406866054407,17238.813732108814
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0t120,5,5492.5109691842,5492.5109691842,5492.5109691842,NA,NA,-12841.85161971236,25685.70323942472
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0t120,5,4772.36082494444,4998597.37018005,4772.36082494444,57.38069220296455,NA,-12816.450112535353,25638.900225070705
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,all,5,4792.170996331173,4792.170996331173,4792.170996331173,NA,NA,-21118.208025158972,42238.416050317945
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,all,5,4302.390749659397,7519.730233212654,4302.390749659397,39.631276143389556,NA,-21102.978358150387,42211.956716300774
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0,5,10404.870939182892,3743.6677434673684,10.000000000000002,10.275956510795472,12032.59767790662,-8445.505962870255,16901.01192574051
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0t120,5,10422.480206651777,9144.060400326069,10.000000000000002,84.818379746284,12169.144357428204,-12614.69045298147,25239.38090596294
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,all,5,10392.490578653855,7335.531262536662,10.000000000000002,93.59261376395595,11943.996113598174,-20903.00449263569,41816.00898527138
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0,5,10307.269713062833,10307.269713062833,10.000000000000002,NA,12076.370069866252,-8445.775157215527,16897.550314431053
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0t120,5,10312.840288269661,10312.840288269661,10.000000000000002,NA,12108.13682870299,-12614.768419299357,25235.536838598713
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,all,5,10101.504042148235,10101.504042148235,10.000000000000002,NA,11799.204454368155,-20903.966256505613,41813.93251301123
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0,2,64699.51097797495,64699.51097797495,64699.51097797495,NA,NA,-63985.78129977347,127973.56259954695
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0,2,74863.08365678629,40.505513370151114,74863.08365678629,90.0840100558813,NA,-61412.817265171645,122831.63453034329
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0t120,2,64237.03339657642,64237.03339657642,64237.03339657642,NA,NA,-96201.61125642716,192405.22251285432
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0t120,2,65916.26691799084,1972.515821443947,65916.26691799084,113.39205143911013,NA,-95839.88685093557,191685.77370187113
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,all,2,65141.41367164704,65141.41367164704,65141.41367164704,NA,NA,-167398.79812859598,334799.59625719197
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,all,2,65456.44936194251,35217.72264502816,65456.44936194251,17.09066820248499,NA,-167247.87807936952,334501.75615873904
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0,2,11956.960231678262,5647.099843167964,454246.035766168,68.32835363034813,50827.53773913679,-60939.95921324763,121889.91842649526
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0t120,2,11352.290062828317,717.3232834057469,184313.75538860747,24.388951079237827,26600.742456128977,-92973.04843366724,185956.09686733448
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,all,2,10123.601485078752,12279.140995414105,102620.56252837264,76.74070941138088,10592.38105769652,-164278.0146024559,328566.0292049118
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0,2,10551.612861210151,10551.612861210151,103696.46553392534,NA,11450.685183981801,-60935.549734593566,121877.09946918713
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0t120,2,10625.224590811551,10625.224590811551,244178.58020206753,NA,31239.8676370169,-92978.20456276048,185962.40912552096
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,all,2,10462.621098571255,10462.621098571255,104550.81277923315,NA,11340.3913299728,-164278.91253381153,328563.82506762305
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0,1,64506.13470164543,64506.13470164543,64506.13470164543,NA,NA,-64064.16194396498,128130.32388792996
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0,1,74304.22628865232,34.701124515707406,74304.22628865232,76.17911924339161,NA,-61557.60784535642,123121.21569071284
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0t120,1,64155.19816230131,64155.19816230131,64155.19816230131,NA,NA,-95985.44400349386,191972.88800698772
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0t120,1,65591.44413153245,2199.5425114466225,65591.44413153245,105.80830081770671,NA,-95708.19947701634,191422.3989540327
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,all,1,64681.81830894869,64681.81830894869,64681.81830894869,NA,NA,-167577.6291079983,335157.2582159966
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,all,1,65005.88031471397,34741.58020188021,65005.88031471397,16.86781550744687,NA,-167401.86240534263,334809.72481068526
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0,1,11873.78803311611,6332.023217234331,423696.8641728029,37.24009393015049,48837.58151049768,-61078.3972776777,122166.7945553554
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0t120,1,9538.033514941397,17687.989764228936,94750.40991590572,84.81663537771182,8420.798794928747,-92817.17795015423,185644.35590030847
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,all,1,9868.793781305774,10678.16121618346,94919.7471977039,119.99147314757042,8774.902472370997,-164507.8258832555,329025.651766511
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0,1,10650.38714732629,10650.38714732629,98893.33864879313,NA,10518.333403332106,-61069.031350404264,122144.06270080853
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0t120,1,10323.380828617395,10323.380828617395,97530.97172678047,NA,9673.171947207811,-92819.89724826407,185645.79449652813
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,all,1,9978.699318765282,9978.699318765282,95307.36116173395,NA,8948.156822649018,-164507.9250219032,329021.8500438064
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0,3,64811.33941521654,64811.33941521654,64811.33941521654,NA,NA,-63825.01638002453,127652.03276004906
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0,3,75703.33541035045,39.061077044315184,75703.33541035045,93.03840603034385,NA,-61151.57484677643,122309.14969355286
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0t120,3,64540.873885707246,64540.873885707246,64540.873885707246,NA,NA,-95719.68480655829,191441.36961311658
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0t120,3,66022.16556510793,2360.7779293033627,66022.16556510793,116.73091410177099,NA,-95434.5527012451,190875.1054024902
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,all,3,65189.69636892161,65189.69636892161,65189.69636892161,NA,NA,-166710.9159405236,333423.8318810472
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,all,3,65404.32522386316,42652.8351138356,65404.32522386316,12.2545043377893,NA,-166583.95520019502,333173.91040039004
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0,3,11795.900572963095,2911.521724306319,464059.3459432764,39.39687112704249,50517.190482967795,-60692.53788179821,121395.07576359643
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0t120,3,10020.05678148286,12524.58296057832,104750.25856914361,115.54902344195918,10906.495189353584,-92483.47643302991,184976.95286605982
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,all,3,9905.913139282036,17035.02816096064,104400.57396633664,119.92870590613713,10724.748678788053,-163564.30089460284,327138.6017892057
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0,3,10238.055835468725,10238.055835468725,107753.64973429313,NA,11886.037002167617,-60691.89656492675,121389.7931298535
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0t120,3,10953.524367382854,10953.524367382854,227328.9588644826,NA,30315.522539228845,-92489.44239271757,184984.88478543513
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,all,3,10527.512882303494,10527.512882303494,108060.16814109535,NA,12124.835800080504,-163568.09689892305,327142.1937978461
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0,4,64593.32484571255,64593.32484571255,64593.32484571255,NA,NA,-63695.66636647115,127393.3327329423
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0,4,75506.15253427874,19.996163498379758,75506.15253427874,51.798472983817874,NA,-60998.27858475741,122002.55716951482
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0t120,4,64124.523833976404,64124.523833976404,64124.523833976404,NA,NA,-96040.66653913591,192083.33307827183
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0t120,4,65876.70430968286,150.25174014258556,65876.70430968286,13.977413597675035,NA,-95642.79854267112,191291.59708534225
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,all,4,64964.37218770269,64964.37218770269,64964.37218770269,NA,NA,-167246.0462695552,334494.0925391104
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,all,4,65293.56304626704,4695.0831129948465,65293.56304626704,74.34589891330981,NA,-167080.75582486755,334167.5116497351
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0,4,10432.127792277928,7414.589292753658,104819.62856158355,104.510093906251,11565.073228594938,-60559.19806264299,121128.39612528597
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0t120,4,10240.449580635639,2955.640337097549,105770.33184506881,52.22188140148025,11509.274516836387,-92724.6649198696,185459.3298397392
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,all,4,10175.821514623896,8702.983721777082,105431.64371370472,119.99978939539234,11312.89004021585,-164079.10303477108,328168.20606954215
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0,4,9898.660685088606,9898.660685088606,102221.21503017818,NA,10370.122726947417,-60559.630806864225,121125.26161372845
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0t120,4,9492.236119817851,9492.236119817851,101222.06751482235,NA,9811.647102430645,-92727.34656105051,185460.69312210102
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,all,4,9949.700453688674,9949.700453688674,103921.43411959147,NA,10771.161909388013,-164079.5171636988,328165.0343273976
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0,5,64594.048261464704,64594.048261464704,64594.048261464704,NA,NA,-64340.73020496045,128683.4604099209
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0,5,74586.981399559,31.355763080370107,74586.981399559,70.83214889582193,NA,-61625.078223216486,123256.15644643297
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,t0t120,5,64271.702539633705,64271.702539633705,64271.702539633705,NA,NA,-96530.49766267049,193062.99532534098
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,t0t120,5,65714.37999036156,180.89918626617467,65714.37999036156,13.234606136552841,NA,-96256.69585365072,192519.39170730143
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Constant,all,5,65005.03598534358,65005.03598534358,65005.03598534358,NA,NA,-168186.52818761303,336375.05637522606
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,Change,all,5,65263.65800831256,33274.04474716657,65263.65800831256,19.70205106287829,NA,-168071.9126328266,336149.8252656532
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0,5,9310.104690470838,9510.49410254593,90970.89829932994,92.12682660774,7264.653874953718,-61266.09327041492,122542.18654082985
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,t0t120,5,8803.121357799608,16037.659380415422,89751.22465940002,116.17145717733133,6632.719948115009,-93360.49979538893,186730.99959077785
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,2change,all,5,11232.116883652976,30506.351884534553,105217.19835304035,119.99999999669028,12745.449211985824,-165182.70438974962,330375.40877949924
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0,5,9337.144615023017,9337.144615023017,91017.58492654281,NA,7298.328608888836,-61266.09446642539,122538.18893285078
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,t0t120,5,10082.65612023929,10082.65612023929,93169.9012502442,NA,8237.092781853893,-93367.34776733846,186740.69553467692
g1_n10e4_constant_n500_n100_rad10k_exp_estimates_4mods.csv,ancient,all,5,10568.525868781438,10568.525868781438,94901.87869786666,NA,9175.498324249662,-165177.66443314168,330361.32886628335
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Constant,t0,1,4509.30036094292,4509.30036094292,4509.30036094292,NA,NA,-42933.0261785023,85868.0523570046
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Change,t0,1,4171.827320248787,20682.69868929033,4171.827320248787,119.99827999777423,NA,-42682.10426679257,85370.20853358514
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Constant,t0t120,1,5405.645526797417,5405.645526797417,5405.645526797417,NA,NA,-63782.0102613122,127566.0205226244
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Change,t0t120,1,4468.000461833418,20164.572485744247,4468.000461833418,119.96619637177756,NA,-63606.633337912855,127219.26667582571
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Constant,all,1,4874.180234218225,4874.180234218225,4874.180234218225,NA,NA,-104452.0225752516,208906.0451505032
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Change,all,1,4273.973919041943,11156.74106566298,4273.973919041943,54.12632568831352,NA,-104333.01175362049,208672.02350724099
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,2change,t0,1,10435.58675217777,10143.202456693536,1740.13675137395,79.77163324254406,7996.709246759748,-41858.35671654214,83726.71343308428
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,2change,t0t120,1,10198.821675655458,30660.76309331712,1397.509233891973,68.9844162623186,8945.1591288976,-62662.41965947687,125334.83931895375
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,2change,all,1,10283.711238741529,10877.082107981008,1479.848015627936,116.7856071288764,8744.332978425879,-103387.83737679191,206785.67475358382
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,ancient,t0,1,10413.403423980164,10413.403423980164,1714.6294362518915,NA,8070.494594921043,-41858.368927635864,83722.73785527173
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,ancient,t0t120,1,10243.544792151879,10243.544792151879,1465.8897390024833,NA,8761.15711186633,-62663.62859607874,125333.25719215749
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,ancient,all,1,10327.128898331379,10327.128898331379,1515.5845890022958,NA,8666.483774267106,-103387.91102868498,206781.82205736995
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Constant,t0,2,4555.60250977386,4555.60250977386,4555.60250977386,NA,NA,-42526.39080732255,85054.7816146451
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Change,t0,2,4268.309330469276,18619.515841896653,4268.309330469276,119.99337919760526,NA,-42317.56895925205,84641.1379185041
g1_n10e4_constant_n500_n100_rad50k_bot_estimates_4mods.csv,Constant,t0t120,2,5449.275880215771,5449.275880215771,5449.275880215771,NA,NA,-63614.29660206207,127230.59320412415
