g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Model,Data,it,Nh,Nc,Na,Td,Ta,lnL,AIC
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0,3,4532.940481679229,4532.940481679229,4532.940481679229,NA,NA,-8648.168715286185,17298.33743057237
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0,3,4220.648623599993,15195.209901997228,4220.648623599993,119.76701047858737,NA,-8611.956231701417,17229.912463402834
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,t0t120,3,5352.269241922786,5352.269241922786,5352.269241922786,NA,NA,-12873.068898695336,25748.13779739067
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,t0t120,3,4508.713391417131,15470.50269144975,4508.713391417131,119.9997740379856,NA,-12845.471980716267,25696.943961432535
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Constant,all,3,4830.448414077006,4830.448414077006,4830.448414077006,NA,NA,-20929.467163093483,41860.934326186965
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,Change,all,3,4261.354816751942,8221.090689269604,4261.354816751942,42.74243154132707,NA,-20909.661211849725,41825.32242369945
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0,3,10655.159227392727,1994.677598570885,1305.4656816888628,12.649927700542602,9038.325960090795,-8433.137473585191,16876.274947170383
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,t0t120,3,10203.378067615387,437.12218389693265,974.8670356898776,15.700016516546064,9575.017361077289,-12633.765355450358,25277.530710900715
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,2change,all,3,10418.359876833581,8661.088758550764,1060.625910640978,119.8779477492446,9670.772639237835,-20709.76896267782,41429.53792535564
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0,3,10216.306547530536,10216.306547530536,524.7091252484818,NA,10900.510952446271,-8434.36590912967,16874.73181825934
g1_n10e4_constant_n500_n100_rad10k_bot_estimates_4mods.csv,ancient,t0t120,3,10160.488752020685,10160.488752020685,808.5701477800384,NA,9996.000964813742,-12635.929839336999,25277.859678673998
