gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g1,n10e4,td100,l99,n500,wgs,n20,maf1,2545.42,6769.04
g1,n10e4,td100,l99,n500,wgs,n20,maf1,4367.63,9814.08
g1,n10e4,td100,l99,n500,wgs,n20,maf1,3851.49,5945.61
g1,n10e4,td100,l99,n500,wgs,n20,maf1,2686.36,10082.3
g1,n10e4,td100,l99,n500,wgs,n20,maf1,3769.82,8523.85
g1,n10e4,td100,l99,n500,wgs,n50,maf1,3111.63,10552.4
g1,n10e4,td100,l99,n500,wgs,n50,maf1,3080.57,9126.88
g1,n10e4,td100,l99,n500,wgs,n50,maf1,3464.91,9020.04
g1,n10e4,td100,l99,n500,wgs,n50,maf1,3299.08,10079.2
g1,n10e4,td100,l99,n500,wgs,n50,maf1,3878.46,9310.67
g1,n10e4,td100,l99,n500,wgs,n100,maf1,3014.91,9845.24
g1,n10e4,td100,l99,n500,wgs,n100,maf1,3489.01,10150.3
g1,n10e4,td100,l99,n500,wgs,n100,maf1,3309.55,9839.53
g1,n10e4,td100,l99,n500,wgs,n100,maf1,3445.92,10364.9
g1,n10e4,td100,l99,n500,wgs,n100,maf1,3182.7,8948.31
g1,n10e4,td190,l95,n500,wgs,n20,maf1,3887.06,10157
g1,n10e4,td190,l95,n500,wgs,n20,maf1,1829.22,10935.3
g1,n10e4,td190,l95,n500,wgs,n20,maf1,5446.67,16442.5
g1,n10e4,td190,l95,n500,wgs,n20,maf1,1428.94,13590.7
g1,n10e4,td190,l95,n500,wgs,n20,maf1,2105.5,10119.3
g1,n10e4,td190,l95,n500,wgs,n50,maf1,2340.66,9043.18
g1,n10e4,td190,l95,n500,wgs,n50,maf1,2913.41,11567.2
g1,n10e4,td190,l95,n500,wgs,n50,maf1,3279.35,10681.1
g1,n10e4,td190,l95,n500,wgs,n50,maf1,2519,8882.88
g1,n10e4,td190,l95,n500,wgs,n50,maf1,3151.26,12371.8
g1,n10e4,td190,l95,n500,wgs,n100,maf1,2529.52,10503
g1,n10e4,td190,l95,n500,wgs,n100,maf1,2764.26,9914.82
g1,n10e4,td190,l95,n500,wgs,n100,maf1,3038.85,10772.9
g1,n10e4,td190,l95,n500,wgs,n100,maf1,2968.83,9314.53
g1,n10e4,td190,l95,n500,wgs,n100,maf1,2940.77,11080.9
g1,n10e4,constant,n500,wgs,n20,maf1,10038,10731.9
g1,n10e4,constant,n500,wgs,n20,maf1,10500.9,5929.31
g1,n10e4,constant,n500,wgs,n20,maf1,17337.4,9402.51
g1,n10e4,constant,n500,wgs,n20,maf1,9800.75,8869.02
g1,n10e4,constant,n500,wgs,n20,maf1,4596.09,8578.91
g1,n10e4,constant,n500,wgs,n50,maf1,7169.67,11099.7
g1,n10e4,constant,n500,wgs,n50,maf1,8078.09,8251.52
g1,n10e4,constant,n500,wgs,n50,maf1,10615.5,10086.9
g1,n10e4,constant,n500,wgs,n50,maf1,10189.5,10242.8
g1,n10e4,constant,n500,wgs,n50,maf1,9134.98,9761.16
g1,n10e4,constant,n500,wgs,n100,maf1,9826.39,9707.14
g1,n10e4,constant,n500,wgs,n100,maf1,8311.66,9919.29
g1,n10e4,constant,n500,wgs,n100,maf1,9893.91,9798.47
g1,n10e4,constant,n500,wgs,n100,maf1,11265.2,11623.8
g1,n10e4,constant,n500,wgs,n100,maf1,8858.38,9247.77
