gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,Td1C,lnL1C,AIC1C,NhC,NcC,lnLC,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Th,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10108.27236,10227.3505,10,13.50324243,12607.15359,-12612.02836,25234.05673,4734.541268,16936.26761,119.1392374,-13017.67278,26041.34556,5558.814345,5558.814345,-13044.11422,26090.22844,-807.2888366,-856.1717181,10312.80391,10,12108.08387,-12614.76842,25235.53684,-1.480108604,805.8087214,854.6916014
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9968.487697,13908.09657,10,119.8230015,12610.96382,-20608.41368,41226.82735,4510.438255,9933.572524,37.53337754,-21409.37268,42824.74536,5113.083191,5113.083191,-21434.82051,42871.64102,-1597.918012,-1644.813671,10101.09983,10,11798.61256,-20903.96626,41813.93251,-587.1051637,1010.812846,1057.708506
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,10404.93056,3667.694096,10,10.00331726,12032.0939,-8445.505371,16901.01074,4252.746525,17552.89435,119.9151016,-8616.418898,17238.8378,4572.229436,4572.229436,-8657.701648,17317.4033,-337.8270524,-416.3925536,10212.44845,646.6557669,11170.55005,-8570.094434,17146.18887,-245.178127,92.64893298,171.214433
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10326.75572,4118.468522,10,48.85575263,12090.05589,-12614.56191,25239.12381,4641.806997,17560.32111,119.9957462,-12813.48895,25632.97789,5492.510977,5492.510977,-12841.85162,25685.70324,-393.8540833,-446.5794294,10121.06389,91.00958893,12484.88302,-12834.96392,25675.92784,-436.8040306,-42.94995055,9.77539945
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,10392.00665,7125.073924,10,104.7274561,11945.00573,-20903.0025,41816.005,4298.988268,7445.678763,39.29428114,-21102.97738,42211.95475,4792.170991,4792.170991,-21118.20803,42238.41605,-395.9497552,-422.4110551,10706.69114,1542.240262,9273.202623,-21221.54969,42449.09937,-633.0943747,-237.1446247,-210.6833247
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10440.43702,10195.96654,1736.59404,110.0596892,8009.593133,-41858.35275,83726.7055,4161.826238,20591.69708,119.9968532,-42682.10883,85370.21765,4509.300362,4509.300362,-42933.02618,85868.05236,-1643.512157,-2141.346861,9951.011034,1216.339251,9587.292549,-41572.90277,83151.80554,574.8999554,2218.412105,2716.246815
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10164.69289,9778.195847,1433.078191,36.97419008,8796.944948,-62663.53988,125337.0798,4468.869408,19931.60697,119.4927507,-63606.71831,127219.4366,5405.645527,5405.645527,-63782.01026,127566.0205,-1882.356854,-2228.940764,10178.2719,1442.537912,9093.316605,-62548.44304,125102.8861,234.1937195,2116.55052,2463.13442
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10289.2313,10684.37257,1484.67263,82.40773431,8734.591602,-103387.8544,206785.7088,4271.740821,11709.87543,57.72922426,-104333.0415,208672.0829,4874.180234,4874.180234,-104452.0226,208906.0452,-1886.374136,-2120.336371,9867.729702,39.28671064,12159.25949,-103256.286,206518.572,267.1368313,2153.510931,2387.473231
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,9698.550843,10556.03457,55.008713,102.93544,12315.38906,-41608.76602,83227.53203,4315.351786,19111.69866,119.989555,-42318.04204,84642.08408,4590.259252,4590.259252,-42525.17601,85052.35201,-1414.552051,-1824.819984,9799.295574,506.0764249,11354.16627,-41608.9847,83223.96941,3.562620517,1418.114671,1828.382601
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,9831.911888,9260.500164,1009.424562,37.88298331,10208.61136,-62550.06664,125110.1333,4569.261113,17967.91057,119.9892165,-63403.46176,126812.9235,5434.855248,5434.855248,-63552.46377,127106.9275,-1702.79025,-1996.794276,9931.194336,1097.371012,10060.39207,-62550.23248,125106.465,3.668338874,1706.458539,2000.462539
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,9975.20992,10458.52332,721.8294539,82.73833257,11067.81853,-102467.3849,204944.7698,4470.798044,11692.92916,57.56238877,-103306.3884,206618.7767,5023.606927,5023.606927,-103408.3832,206818.7665,-1674.006922,-1873.996662,9940.925062,47.02666576,12525.62461,-102467.7712,204941.5424,3.227414501,1677.234315,1877.224115
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10005.33991,9508.141997,1302.773545,110.0548487,9368.053756,-41572.82479,83155.64958,4268.662082,18631.64528,119.9999625,-42317.56475,84641.1295,4555.60272,4555.60272,-42526.39081,85054.78161,-1485.479913,-1899.132033,10145.97329,1228.715531,9448.874663,-41858.39993,83722.79985,-567.1502702,918.3296498,1331.98176
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10129.66717,9847.939231,1417.532754,38.57244953,9123.324563,-62548.40819,125106.8164,4578.500986,18645.15824,119.9247762,-63459.41261,126924.8252,5449.27588,5449.27588,-63614.2966,127230.5932,-1818.008829,-2123.77682,10275.58174,1357.497275,9245.892724,-63019.75918,126045.5184,-938.701957,879.306843,1185.074843
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10141.10096,9808.104906,1518.331477,119.9868515,8855.266372,-103253.5349,206517.0698,4300.877029,8294.534947,35.40814457,-104139.1868,208284.3737,4881.502455,4881.502455,-104250.6283,208503.2566,-1767.303914,-1986.186804,9948.37507,36.977371,12088.35447,-103491.848,206989.696,-472.6261588,1294.677741,1513.560641
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,9917.674321,5477.32554,1260.52802,14.19702107,9216.358318,-40929.1396,81868.27921,4243.7841,18993.78121,119.9985066,-42650.99161,85307.98321,4548.791947,4548.791947,-42870.81433,85743.62867,-3439.704002,-3875.349457,9673.78619,37.40607584,11952.01114,-40930.51198,81867.02396,1.255252752,3440.959253,3876.604713
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,9845.705781,9483.674806,1181.028893,119.9604179,9485.345878,-61801.90197,123613.8039,4579.214471,18938.50344,119.5660997,-63964.55477,127935.1095,5468.37992,5468.37992,-64121.13385,128244.2677,-4321.305607,-4630.463765,9791.549063,1165.692749,9498.198982,-61801.97698,123609.954,3.849940088,4325.15554,4634.31374
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,9659.476934,9926.201337,1081.622632,52.35491058,9523.745275,-101171.1757,202352.3513,4297.480836,12035.66828,61.40300791,-104402.4712,208810.9424,4880.252113,4880.252113,-104514.2965,209030.5931,-6458.5911,-6678.24176,9546.178208,11.07025012,11873.89713,-101172.2879,202350.5759,1.775434566,6460.366535,6680.017235
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0,10205.98563,7397.133543,1312.307914,14.3863343,9238.441613,-41858.28796,83726.57592,4181.662834,17077.7247,119.9948438,-41679.5417,83365.0834,4476.72524,4476.72524,-41879.04458,83760.08917,361.4925229,-33.51324834,10424.47417,1715.848048,8075.99744,-41858.36943,83722.73885,3.837068166,-357.6554518,37.35031817
g1,n10e4,constant,constant,n500,n100,rad50k,2change,t0t120,10252.11423,10347.44134,1297.571754,111.7388082,9383.28451,-63019.74796,126049.4959,4492.477751,16869.81348,119.9931742,-62684.79402,125375.588,5334.583268,5334.583268,-62826.41681,125654.8336,673.9078808,394.662292,10235.16357,1463.668405,8762.18861,-62663.62802,125333.256,716.239857,42.33195695,321.577557
g1,n10e4,constant,constant,n500,n100,rad50k,2change,all,10112.67444,10289.34213,1199.702757,53.07576448,9523.153231,-103490.2217,206990.4434,4157.007092,9011.263834,44.33721031,-102022.1194,204050.2388,4748.198234,4748.198234,-102134.2901,204270.5802,2940.204566,2719.863104,10327.59673,1502.224966,8707.901694,-103387.9095,206781.819,208.6243707,-2731.580229,-2511.238829
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10052.89952,9391.756076,932.5911431,54.62350295,10080.63263,-4188661.834,8377333.669,4241.567624,19713.55207,119.9867734,-4276969.852,8553945.705,4547.49984,4547.49984,-4299787.325,8599576.651,-176612.0359,-222242.9823,9931.467132,182.398048,11733.03999,-4188707.533,8377421.065,-87.39630039,176524.6397,222155.5857
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10022.97105,9303.940351,938.8228446,87.47512326,10064.32134,-6302063.635,12604137.27,4536.452418,17642.40298,119.9821902,-6403281.155,12806568.31,5410.964594,5410.964594,-6418427.2,12836856.4,-202431.0399,-232719.1305,9840.567189,13.64851181,12027.51411,-6302130.012,12604266.02,-128.7535161,202302.2865,232590.3765
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9973.376196,9855.317621,825.2325062,20.59765234,10299.42465,-10349548.48,20699106.95,4310.759068,10010.64143,52.37992009,-10440029.15,20880064.3,4873.115541,4873.115541,-10450215.09,20900432.18,-180957.3503,-201325.229,9879.984645,356.6904178,11316.54737,-10349578.48,20699162.97,-56.0160646,180901.3339,201269.2139
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10043.43069,10609.38695,1082.297269,54.11240013,9819.013385,-4199519.135,8399048.269,4241.968992,18937.8877,119.9945816,-4264042.351,8528090.702,4540.261917,4540.261917,-4285868.901,8571739.803,-129042.4327,-172691.5332,9919.354016,10.02334633,12098.69281,-4194315.934,8388637.869,10410.40018,139452.8332,183101.9342
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10045.90994,9817.245005,1004.636598,75.71963337,10011.0316,-6311047.094,12622104.19,4558.747887,19243.50164,119.9867592,-6381322.428,12762650.86,5458.640651,5458.640651,-6397599.942,12795201.88,-140546.6696,-173097.6967,10061.47718,13.00678302,12188.69046,-6302771.836,12605549.67,16554.51742,157101.1874,189652.2074
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,10073.02153,9889.122509,1071.528156,19.58560434,9875.229091,-10349790.35,20699590.69,4315.945277,10842.71248,52.1255365,-10411732.15,20823470.29,4905.318128,4905.318128,-10423224.98,20846451.97,-123879.6,-146861.2736,10056.77096,1008.646977,9942.562683,-10346423.23,20692852.47,6738.221502,130617.8215,153599.5015
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10012.98471,10065.0821,1025.555859,54.46515587,9899.695071,-4184021.019,8368052.037,4230.919976,18845.96717,119.9909049,-4272984.681,8545975.362,4534.27631,4534.27631,-4294967.681,8589937.361,-177923.3252,-221885.3243,9931.166241,386.8592151,11370.72421,-4187040.293,8374086.585,-6034.548436,171888.7766,215850.7756
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10058.93809,10285.68957,926.0548183,99.82187983,10152.06047,-6291532.736,12583075.47,4555.122092,19077.15218,119.9880992,-6397118.234,12794242.47,5457.147478,5457.147478,-6413332.66,12826667.32,-211166.9972,-243591.8486,10026.51948,13.43143543,12240.16113,-6288997.209,12578000.42,5075.052733,216242.0527,248666.9027
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,10005.75748,10049.02867,961.6656391,19.80089506,10059.67078,-10328797.55,20657605.09,4297.266436,10163.63336,52.15150175,-10437909.11,20875824.22,4872.992638,4872.992638,-10448627.67,20897257.34,-218219.1292,-239652.2491,10070.0685,801.7803537,10536.0539,-10322024.06,20644054.13,13550.96394,231770.0939,253203.2139
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10082.56502,9546.389203,1056.329582,54.1100045,9814.575457,-4194226.786,8388463.571,4228.035625,19148.0274,119.7726027,-4261493.723,8522993.447,4530.860716,4530.860716,-4283719.928,8567441.857,-134529.8756,-178978.2855,10074.04376,1135.997627,9686.268511,-4199522.163,8399050.327,-10586.75566,123943.1203,168391.5303
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10178.00468,2186.082777,1077.740757,36.81039925,9855.053718,-6302806.608,12605623.22,4549.930977,18386.1528,119.9918038,-6384980.33,12769966.66,5432.996648,5432.996648,-6400595.734,12801193.47,-164343.4451,-195570.2531,9889.633055,13.66797269,12150.20506,-6311134.118,12622274.24,-16651.01644,147692.4236,178919.2336
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,10076.5294,10031.22822,1042.09816,20.3177138,9872.255611,-10346422.11,20692854.22,4292.282914,10344.24729,52.06916452,-10419032.15,20838070.29,4872.748821,4872.748821,-10430002.39,20860006.77,-145216.0738,-167152.5539,10003.60735,1018.029053,9968.765395,-10349809.4,20699624.81,-6770.587393,138445.4826,160381.9626
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,9973.06856,10030.105,838.3418018,54.48674276,10364.4027,-4187020.397,8374050.793,4228.143673,18563.67173,119.9953621,-4267488.658,8534983.315,4528.655017,4528.655017,-4289132.268,8578266.535,-160932.5221,-204215.7417,10014.79747,1020.389335,9911.876446,-4184021.07,8368048.14,6002.653232,166935.1752,210218.3952
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,9988.934904,9623.746001,860.9328828,25.10129126,10340.03888,-6288866.087,12577742.17,4516.880923,16940.02721,119.9562669,-6395575.106,12791156.21,5377.180402,5377.180402,-6410097.508,12820197.02,-213414.038,-242454.8425,9981.577098,13.39252978,12163.04652,-6291639.397,12583284.79,-5542.623684,207871.4163,236912.2263
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,10022.6555,10173.79234,905.6829252,21.10882135,10250.36643,-10322010.03,20644030.07,4286.28066,7008.570963,27.87295909,-10440697.59,20881401.17,4830.794029,4830.794029,-10450871.85,20901745.7,-237371.1075,-257715.6323,10021.75488,977.6435944,10029.45376,-10328798.51,20657603.02,-13572.94769,223798.1523,244142.6823
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9952.409593,11552.14965,724.6640425,54.47849474,10620.32317,-1792248.333,3584506.665,4116.87556,5000000,119.8460207,-1844676.536,3689359.072,4545.219094,4545.219094,-1860008.596,3720019.192,-104852.4067,-135512.5274,9936.726704,787.633698,10428.53012,-1785273.458,3570552.915,13953.74966,118806.1567,149466.2767
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,9963.191528,12254.23396,844.4328603,116.1233332,10352.21921,-2729987.024,5459984.047,4285.167268,5000000,108.9584192,-2802143.312,5604292.624,4456.972018,4456.972018,-2805651.252,5611304.504,-144308.5764,-151320.4564,9949.511687,804.5543239,10361.02731,-2733420.603,5466847.206,-6863.15915,137445.4179,144457.2979
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10017.86125,9851.989992,1100.93782,22.07453995,9744.125296,-4419921.31,8839852.619,4270.322825,4723996.24,34.91675063,-4497250.623,8994507.246,4419.536308,4419.536308,-4501651.318,9003304.635,-154654.6267,-163452.0161,9856.093282,10.00007551,12089.54589,-4417971.899,8835949.798,3902.821297,158557.4483,167354.8373
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,10060.44909,8915.508957,978.0514708,54.40194459,9995.565368,-1790202.701,3580415.403,4110.268413,5000000,119.9305179,-1842117.586,3684241.172,4533.199383,4533.199383,-1857301.259,3714604.518,-103825.7698,-134189.1157,10053.08901,1085.134185,9801.24876,-1793424.233,3586854.465,-6439.062237,97386.70676,127750.0528
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10073.05333,9065.733472,1046.720446,115.7927566,9824.637816,-2730005.131,5460020.263,4264.693067,5000000,100.1795327,-2793233.038,5586472.076,4435.364907,4435.364907,-2796623.24,5593248.48,-126451.8135,-133228.2174,10067.04922,1091.428381,9794.61368,-2739605.93,5479217.86,-19197.5971,107254.2159,114030.6199
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10110.4982,9664.682246,1160.819898,21.4869761,9549.355712,-4423777.777,8847565.553,4248.575771,4997914.749,31.86099914,-4486006.794,8972019.589,4394.076595,4394.076595,-4490283.54,8980569.08,-124454.0354,-133003.5266,9831.310958,10.00618246,12180.7703,-4436535.842,8873077.684,-25512.13148,98941.90452,107491.3955
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9987.357259,12927.274,971.9417477,54.21907839,10077.31615,-1793422.604,3586855.209,4118.917242,5000000,119.9085285,-1843703.387,3687412.774,4541.071348,4541.071348,-1858847.951,3717697.901,-100557.5653,-130842.6923,9983.49722,769.7686394,10511.40863,-1792249.131,3584504.263,2350.946335,102908.5113,133193.6383
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10071.64135,9853.064223,1095.399355,116.2225016,9785.955792,-2739605.801,5479221.602,4280.75647,5000000,114.5465052,-2791877.392,5583760.784,4461.540062,4461.540062,-2795773.361,5591548.722,-104539.1825,-112327.1205,10004.68392,894.7722377,10243.13782,-2729996.831,5459999.662,19221.94037,123761.1224,131549.0604
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,9993.442742,10087.70994,950.917919,21.31943955,10131.80192,-4436496.817,8873003.635,4255.286998,4998790.164,34.70965531,-4480533.984,8961073.968,4406.570071,4406.570071,-4485006.844,8970015.688,-88070.33293,-97012.05329,9807.490309,10.00004334,12148.74123,-4419975.711,8839957.423,33046.21221,121116.5452,130058.2652
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9970.44992,10031.32716,938.0417512,53.55327356,10119.51305,-1787923.892,3575857.785,4111.882863,5000000,119.9112537,-1836561.878,3673129.755,4523.176778,4523.176778,-1851377.823,3702757.646,-97271.97068,-126899.8615,9977.117967,958.3296405,10072.81776,-1787923.92,3575853.839,3.94578406,97275.91578,126903.8068
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10045.67558,7831.338037,1022.786555,113.8435865,9912.160354,-2730119.013,5460248.026,4264.308477,5000000,95.57702632,-2796657.881,5593321.762,4416.142204,4416.142204,-2799376.714,5598755.428,-133073.7354,-138507.4013,9989.387447,963.4389196,10043.81632,-2730137.198,5460280.395,-32.36909223,133041.3669,138475.0329
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10037.07438,9446.280304,1052.647183,22.7591517,9828.317113,-4426101.232,8852212.463,4246.986626,937968.4923,27.00304201,-4479852.979,8959711.959,4397.497959,4397.497959,-4484280.179,8968562.358,-107499.4955,-116349.8947,9816.396476,10.49300788,12114.46583,-4426154.362,8852314.723,-102.2601863,107397.2358,116247.6348
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,10057.74613,6778.462644,1006.640886,54.41828814,9904.167309,-1785268.092,3570546.184,4113.239729,5000000,119.9911474,-1838801.179,3677608.358,4532.699467,4532.699467,-1853868.82,3707739.64,-107062.1735,-137193.4557,10028.81184,928.0120005,10119.56286,-1790203.124,3580412.248,-9866.064318,97196.10968,127327.3917
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10063.41965,6587.612421,968.6874298,113.1204285,9999.157936,-2733362.242,5466734.484,4276.459991,5000000,101.856501,-2792709.185,5585424.371,4437.508376,4437.508376,-2795793.303,5591588.606,-118689.8868,-124854.1218,10035.76125,960.8178656,10020.53942,-2730008.204,5460022.409,6712.075028,125401.962,131566.197
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10055.35082,9887.908702,1019.058827,20.05192397,9881.039482,-4417923.106,8835856.212,4252.470049,342112.2394,21.92077096,-4487385.588,8974777.176,4396.394888,4396.394888,-4491621.546,8983245.092,-138920.9633,-147388.88,10063.4471,1065.391957,9777.613171,-4423782.433,8847570.867,-11714.6545,127206.3095,135674.2255
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10319.84901,8951.509255,10,64.36124648,12030.15837,-11101.56729,22213.13457,4217.53483,10382.5889,119.8017158,-11285.26568,22576.53136,4563.315588,4563.315588,-11328.86838,22659.73677,-363.3967884,-446.602197,10319.75537,984.7074645,9873.672434,-11178.93336,22363.86673,-150.7321563,212.6646337,295.8700437
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10420.41009,10465.43552,10,98.47298345,12244.83443,-16826.02461,33662.04921,5231.005296,16345.39423,119.8890734,-17048.62903,34103.25805,6483.907191,6483.907191,-17095.59165,34193.18331,-441.208839,-531.1340956,10485.96423,872.5932409,10268.77527,-16841.50606,33689.01213,-26.96291829,414.2459217,504.1711817
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,10677.62085,8129.079905,10,119.2185997,12269.97813,-27845.09345,55700.18689,4866.61973,7499.456388,35.74399973,-28067.19636,56140.39272,5716.094187,5716.094187,-28095.65088,56193.30177,-440.2058309,-493.1148758,9881.649587,615.7536476,10306.03071,-27797.65645,55601.3129,98.87399038,539.0798204,591.9888704
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,9752.130785,11599.3528,10,65.24945812,12448.26686,-11015.78711,22041.57422,4157.139709,9768.082725,119.9980394,-11374.24216,22754.48433,4532.947512,4532.947512,-11415.76437,22833.52874,-712.9101063,-791.9545178,10290.16847,1157.665798,10106.92916,-11348.49905,22702.99809,-661.423871,51.48623899,130.530649
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,9824.103682,9263.489174,10,119.9388606,12361.76881,-16781.15867,33572.31734,5183.46812,16812.7075,119.9872169,-17071.9723,34149.94459,6459.345655,6459.345655,-17121.69847,34245.39694,-577.6272481,-673.0795933,10332.13122,62.39376138,12719.59539,-17130.86388,34267.72776,-695.4104228,-117.7831728,-22.33082279
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9731.603131,10339.48232,10,20.83853077,12451.03588,-27682.81737,55375.63475,4662.411384,6892.858551,32.91011602,-28020.61186,56047.22372,5550.908726,5550.908726,-28051.4182,56104.83641,-671.5889746,-729.2016576,10504.69626,1106.313556,10316.99224,-28335.70081,56677.40161,-1301.766861,-630.1778911,-572.5652011
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,9611.15386,10253.80323,455.9337975,119.9893734,11260.79902,-10809.22635,21628.4527,4273.765418,11590.36373,119.9935985,-11170.90211,22347.80422,4608.055373,4608.055373,-11221.25919,22444.51838,-719.3515156,-816.06568,10221.46628,10.48189839,12049.21243,-11101.78674,22209.57349,-581.1207869,138.2307331,234.9448931
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,9483.70786,16272.56022,23.12798939,72.37317702,12211.14817,-16375.76552,32761.53105,5162.199455,14108.07983,119.4965281,-16980.75985,33967.51969,6277.966585,6277.966585,-17018.30219,34038.60438,-1205.988647,-1277.073338,10429.2499,10,12250.12913,-16826.02495,33658.04989,-896.5188438,309.4697962,380.5544862
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9572.23845,11123.20051,10,119.6769225,12249.52504,-27060.91735,54131.8347,4756.430278,7796.951621,31.26795942,-27869.45146,55744.90292,5768.678016,5768.678016,-27912.08265,55826.1653,-1613.068218,-1694.330597,10229.81791,10,12010.79719,-27846.26968,55698.53936,-1566.70466,46.36355981,127.6259398
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10216.39876,9542.44678,437.6540525,62.40988666,11702.3083,-11348.60799,22707.21599,4355.978748,11023.06468,119.998536,-11520.93228,23047.86456,4702.21824,4702.21824,-11566.40173,23134.80347,-340.6485748,-427.5874784,9708.159873,772.1762303,10537.71655,-10809.30434,21624.60868,1082.607309,1423.255879,1510.194789
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10320.58529,10381.10807,32.1698348,97.64998984,12778.86013,-17130.86532,34271.73064,5351.362827,15994.36789,119.9822488,-17340.27695,34686.55391,6574.149136,6574.149136,-17383.32655,34768.6531,-414.8232676,-496.9224544,9796.05108,124.4672292,12153.49778,-16376.86499,32759.72997,1512.000668,1926.823938,2008.923128
