gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,Td1C,lnL1C,AIC1C,NhC,NcC,lnLC,AICC,AIC2C-AIC1C,AIC2C-AICC,Nch,Nhh,Th,lnLh,AICh,AIC2C-AICh,AIC1C-AICh,AICC-AICh
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,10654.67235,2098.214146,1294.760579,13.3265888,9063.958797,-8433.137425,16876.27485,4376.723096,20372.13334,119.9988771,-8486.341854,16978.68371,4617.303801,4617.303801,-8527.683961,17057.36792,-102.4088581,-181.0930717,10223.28046,539.3881034,10878.73132,-8434.366041,16874.73208,1.542767346,103.9516273,182.6358373
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10370.02601,10491.0741,965.8116084,10.00007444,9754.794689,-12635.8077,25281.6154,4728.446324,16340.26032,119.9577438,-12790.47044,25586.94089,5522.728003,5522.728003,-12815.39457,25632.78915,-305.325487,-351.1737459,10170.65574,827.5666667,9965.273732,-12635.9295,25277.85901,3.75639248,309.0818825,354.9301425
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,10419.23328,9088.779925,1082.204857,81.9780794,9616.722019,-20709.78105,41429.56209,4499.574962,11895.49518,46.32318919,-20776.48455,41558.9691,5124.917786,5124.917786,-20802.7561,41607.51221,-129.4070092,-177.9501144,10127.52898,31.56186556,11845.1098,-20710.11912,41426.23824,3.323848009,132.730858,181.273968
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,10300.75306,9493.881464,863.6700746,109.1808198,10664.58067,-8570.054459,17150.10892,4212.317119,14979.44933,119.8267083,-8611.94943,17229.89886,4532.939867,4532.939867,-8648.168715,17298.33743,-79.7899437,-148.2285135,9800.646818,517.6699561,11431.62958,-8346.92579,16699.85158,450.2573406,530.0472806,598.4858506
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,10004.71739,1732.296261,83.36599659,34.21085904,12366.11718,-12834.30486,25678.60972,4508.851239,15480.23197,119.9483498,-12845.4756,25696.95121,5352.269242,5352.269242,-12873.0689,25748.1378,-18.34148093,-69.52807295,10007.74913,184.5005867,12193.08966,-12612.13848,25230.27697,448.3327521,466.6742421,517.8608321
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,10579.9164,10795.72672,1456.843243,10.06019623,9437.152066,-21221.41343,42452.82686,4256.016025,9946.556853,58.58567273,-20909.77325,41825.5465,4830.448414,4830.448414,-20929.46716,41860.93433,627.2803678,591.8925373,10167.16755,45.76368474,12636.79953,-20608.90472,41223.80945,1229.017414,601.7370538,637.1248838
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,9408.674669,5000000,10.44474567,18.97500616,12340.18389,-8210.329579,16430.65916,4281.341661,24277.04382,119.9961111,-8343.935828,16693.87166,4534.334424,4534.334424,-8393.413671,16788.82734,-263.2124986,-358.1681834,9747.565394,1072.131617,9928.577293,-8211.511218,16429.02244,1.636723521,264.8492235,359.8049035
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0t120,9831.991813,2371.528453,10.3023083,38.41871774,12564.22579,-12259.22631,24528.45262,4771.623945,17898.64827,119.5802205,-12428.59006,24863.18012,5556.958354,5556.958354,-12454.223,24910.446,-334.7275006,-381.9933811,10003.25567,65.88162877,12611.3078,-12259.62369,24525.24737,3.205245793,337.9327458,385.1986258
g1,n10e4,constant,constant,n500,n100,rad10k,2change,all,9747.699428,7805.911568,1021.527147,118.6226246,9939.080082,-20324.42121,40658.84243,4281.905267,7492.997945,38.38141858,-20492.26737,40990.53474,4779.521241,4779.521241,-20508.36797,41018.73593,-331.6923153,-359.8935052,9471.781918,43.14424278,11990.51026,-20324.77053,40655.54106,3.30137088,334.9936809,363.1948709
g1,n10e4,constant,constant,n500,n100,rad10k,2change,t0,9668.160854,187752.5169,10,10.12263583,12539.14347,-8346.710794,16703.42159,4372.879093,18452.02288,119.7661654,-8729.029051,17464.0581,4676.038337,4676.038337,-8770.199648,17542.3993,-760.6365141,-838.977708,10294.06581,10,12059.96343,-8445.775169,16897.55034,-194.128749,566.507761,644.848961
