gentime,NeAnc,td,lambda,maxn,data,sampn,maf,Nec,Neh
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,304.564,980.259
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,180.36,937.955
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,257.32,1756.77
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,184.57,1021.58
g3,n10e3,td100,l99,n500,wgs,n20,nomaf,243.673,1739.75
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,205.799,878.606
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,210.094,1085.79
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,242.285,1448.32
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,193.669,1282.92
g3,n10e3,td100,l99,n500,wgs,n50,nomaf,210.577,1402.03
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,213.131,958.661
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,220.473,1426.05
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,227.077,1481.32
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,210.222,1215.57
g3,n10e3,td100,l99,n500,wgs,n100,nomaf,217.866,1148.51
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,204.925,1682.52
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,220.629,1371.48
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,151.805,2055.89
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,279.876,899.441
g3,n10e3,td190,l95,n500,wgs,n20,nomaf,247.735,1238.48
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,279.577,1240.59
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,274.106,1046.82
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,221.518,1489.87
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,234.763,1039.75
g3,n10e3,td190,l95,n500,wgs,n50,nomaf,251.184,1129.64
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,301.433,1670.42
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,214.959,1017.95
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,235.772,1147.46
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,253.545,1189.61
g3,n10e3,td190,l95,n500,wgs,n100,nomaf,258.193,997.191
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,1231.43,9444.53
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,1935.49,10112.4
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,1106.95,10217.3
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,3350.06,9449.49
g3,n10e4,td100,l99,n500,wgs,n20,nomaf,1405.61,5957.93
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,1802.41,9097.44
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,2302.14,9710.65
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,1587.64,9241.83
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,2162.64,8445.24
g3,n10e4,td100,l99,n500,wgs,n50,nomaf,2119.6,9629.03
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,1847.01,9002.84
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,2358.54,9890.16
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,1819.21,9359.21
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,2295.43,10338.6
g3,n10e4,td100,l99,n500,wgs,n100,nomaf,2444.78,9978.48
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,5196.99,10970.6
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,3776.69,12074
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,1674.05,9403.18
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,2647.64,10802.9
g3,n10e4,td190,l95,n500,wgs,n20,nomaf,1059.38,9399.36
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,3896.18,10616.6
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,3955.07,9212.73
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,3251.21,9261.7
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,2449.53,8205.64
g3,n10e4,td190,l95,n500,wgs,n50,nomaf,3140.5,9884.97
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,2412.98,8147.65
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,2822.85,9553.84
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,2900.42,9272.93
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,2833.5,8122.74
g3,n10e4,td190,l95,n500,wgs,n100,nomaf,2859.71,8357.25
